类别：所有类别

月份,环境、社会和公司治理: (奥地利),企业社会责任: (奥地利),Impact investing: (奥地利),社會責任投資: (奥地利),可持续发展: (奥地利)
2005-01,38,69,0,0,0
2005-02,31,73,0,0,0
2005-03,0,74,0,0,0
2005-04,0,57,0,0,0
2005-05,37,74,0,0,30
2005-06,36,78,0,0,0
2005-07,59,51,0,0,0
2005-08,45,51,0,0,0
2005-09,53,48,0,0,0
2005-10,44,67,0,0,32
2005-11,38,76,0,0,0
2005-12,25,78,0,0,0
2006-01,52,56,0,0,22
2006-02,31,60,0,0,0
2006-03,38,69,0,0,0
2006-04,44,70,0,0,0
2006-05,26,54,0,0,23
2006-06,39,65,0,0,0
2006-07,60,49,0,0,0
2006-08,30,56,0,0,0
2006-09,25,65,0,0,22
2006-10,36,93,0,0,18
2006-11,35,89,0,0,16
2006-12,26,59,0,0,0
2007-01,32,67,0,0,0
2007-02,36,83,0,0,0
2007-03,30,87,0,0,21
2007-04,50,73,0,0,22
2007-05,20,82,0,0,18
2007-06,41,100,0,0,15
2007-07,39,61,0,0,0
2007-08,35,54,0,0,0
2007-09,47,89,0,0,0
2007-10,38,78,0,0,17
2007-11,40,75,0,0,0
2007-12,24,70,0,0,14
2008-01,38,68,0,0,11
2008-02,46,79,0,0,13
2008-03,31,60,0,0,0
2008-04,32,98,0,0,19
2008-05,21,95,0,0,20
2008-06,25,76,0,0,16
2008-07,40,50,0,0,0
2008-08,32,55,0,0,14
2008-09,41,53,0,0,17
2008-10,31,65,0,0,13
2008-11,38,60,0,0,13
2008-12,32,54,0,0,20
2009-01,33,57,0,0,14
2009-02,46,52,0,0,15
2009-03,34,61,0,0,15
2009-04,39,65,0,0,12
2009-05,37,64,0,0,11
2009-06,27,58,0,0,12
2009-07,35,50,0,0,12
2009-08,28,54,0,0,0
2009-09,37,50,0,0,11
2009-10,37,39,0,0,11
2009-11,32,64,0,0,16
2009-12,29,49,0,0,12
2010-01,30,49,0,0,18
2010-02,34,57,0,0,10
2010-03,35,51,0,0,11
2010-04,26,54,0,0,10
2010-05,35,69,0,0,10
2010-06,38,52,0,0,9
2010-07,29,52,0,0,13
2010-08,27,30,0,0,9
2010-09,32,46,0,9,9
2010-10,27,52,0,0,14
2010-11,33,66,0,0,15
2010-12,28,44,0,0,11
2011-01,34,59,0,0,11
2011-02,31,48,0,0,11
2011-03,37,65,0,0,14
2011-04,30,50,0,0,8
2011-05,34,66,0,0,8
2011-06,35,54,0,0,7
2011-07,37,45,0,0,9
2011-08,32,35,0,0,0
2011-09,42,49,0,9,7
2011-10,32,64,0,0,7
2011-11,29,61,0,0,12
2011-12,26,54,0,0,9
2012-01,32,64,0,0,13
2012-02,32,48,0,0,11
2012-03,35,55,0,0,12
2012-04,35,49,0,0,9
2012-05,26,64,0,0,11
2012-06,31,46,0,0,13
2012-07,24,38,0,0,7
2012-08,24,36,0,0,8
2012-09,28,43,0,0,7
2012-10,30,51,0,0,7
2012-11,34,47,0,0,14
2012-12,22,34,0,0,9
