类别：所有类别

月份,环境、社会和公司治理: (巴西),企业社会责任: (巴西),Impact investing: (巴西),社會責任投資: (巴西),可持续发展: (巴西)
2005-01,0,7,0,0,24
2005-02,0,9,0,0,44
2005-03,0,7,0,0,85
2005-04,0,10,0,0,84
2005-05,0,8,0,0,97
2005-06,0,9,0,0,100
2005-07,4,5,0,0,39
2005-08,4,6,0,0,75
2005-09,3,6,0,0,81
2005-10,3,9,0,0,76
2005-11,0,8,0,0,87
2005-12,3,7,0,0,46
2006-01,3,4,0,0,26
2006-02,0,7,0,0,43
2006-03,0,6,0,0,69
2006-04,2,9,0,0,67
2006-05,2,9,0,0,69
2006-06,2,10,0,0,62
2006-07,3,5,0,0,31
2006-08,3,6,0,0,57
2006-09,3,7,0,0,57
2006-10,2,8,0,0,55
2006-11,3,7,0,0,65
2006-12,0,5,0,0,29
2007-01,2,4,0,0,18
2007-02,2,5,0,0,39
2007-03,2,8,0,0,64
2007-04,2,8,0,0,61
2007-05,2,7,0,0,73
2007-06,2,6,0,1,70
2007-07,2,5,0,0,37
2007-08,2,6,0,0,68
2007-09,2,7,0,0,72
2007-10,2,7,0,0,66
2007-11,2,7,0,0,70
2007-12,1,5,0,0,30
2008-01,2,4,0,1,23
2008-02,2,5,0,0,41
2008-03,2,7,0,0,57
2008-04,2,6,0,0,56
2008-05,1,7,0,0,63
2008-06,1,7,0,0,68
2008-07,2,5,0,0,32
2008-08,2,6,0,0,60
2008-09,1,8,0,0,66
2008-10,2,7,0,0,54
2008-11,2,7,0,0,65
2008-12,1,4,0,0,28
2009-01,1,4,0,0,17
2009-02,2,6,0,0,29
2009-03,2,7,0,0,50
2009-04,2,8,0,0,45
2009-05,2,8,0,0,49
2009-06,1,8,0,0,52
2009-07,1,6,0,0,24
2009-08,2,8,0,0,36
2009-09,1,8,0,0,57
2009-10,2,8,0,0,50
2009-11,1,8,0,0,55
2009-12,1,6,0,0,26
2010-01,1,4,0,0,15
2010-02,1,4,0,0,25
2010-03,1,8,0,0,42
2010-04,1,6,0,0,41
2010-05,1,8,0,0,46
2010-06,1,7,0,0,44
2010-07,2,5,0,0,22
2010-08,1,6,0,0,42
2010-09,1,7,0,0,50
2010-10,2,8,0,0,48
2010-11,1,7,0,0,55
2010-12,1,6,0,0,22
2011-01,1,4,0,0,14
2011-02,1,5,0,0,26
2011-03,1,5,0,0,33
2011-04,1,6,0,0,30
2011-05,1,6,0,0,40
2011-06,1,6,0,0,36
2011-07,1,4,0,0,19
2011-08,1,5,0,0,35
2011-09,1,6,0,0,38
2011-10,1,6,0,0,38
2011-11,1,7,0,0,44
2011-12,1,4,0,0,19
2012-01,1,3,0,0,14
2012-02,1,4,0,0,23
2012-03,1,5,0,0,32
2012-04,1,5,0,0,30
2012-05,1,5,0,0,39
2012-06,1,5,0,0,60
2012-07,1,4,0,0,28
2012-08,1,5,0,0,39
2012-09,1,5,0,0,50
2012-10,1,5,0,0,41
2012-11,1,5,0,0,45
2012-12,1,4,0,0,21
2013-01,1,4,0,0,14
2013-02,1,4,0,0,19
2013-03,1,5,0,0,27
2013-04,1,6,0,0,30
2013-05,1,5,0,0,26
2013-06,1,5,0,0,29
2013-07,1,4,0,0,19
2013-08,1,4,0,0,29
2013-09,1,5,0,0,36
2013-10,1,5,0,0,33
2013-11,1,5,0,0,33
2013-12,1,4,<1,0,16
2014-01,1,3,0,0,11
2014-02,1,4,0,0,21
2014-03,1,5,0,0,24
2014-04,1,4,0,0,23
2014-05,1,5,0,0,29
2014-06,1,4,0,0,20
2014-07,1,4,0,0,18
2014-08,1,4,0,0,25
2014-09,1,5,0,0,31
2014-10,1,5,<1,0,29
2014-11,1,6,<1,0,36
2014-12,1,4,0,0,14
2015-01,1,4,0,0,9
2015-02,1,4,0,0,16
2015-03,1,5,0,0,24
2015-04,1,5,0,0,25
2015-05,1,5,0,0,27
2015-06,1,5,0,0,24
2015-07,1,4,0,0,16
2015-08,1,4,0,0,23
2015-09,1,5,0,0,30
2015-10,1,6,0,0,29
2015-11,1,5,0,0,34
2015-12,1,4,0,0,15
2016-01,1,4,0,0,9
2016-02,1,4,0,0,15
2016-03,1,4,0,0,21
2016-04,1,4,0,0,25
2016-05,1,5,0,0,27
2016-06,1,4,0,0,25
2016-07,1,4,0,0,14
2016-08,1,4,0,0,21
2016-09,1,4,0,0,26
2016-10,1,4,0,0,23
2016-11,<1,3,<1,0,24
2016-12,0,2,0,0,12
2017-01,0,1,0,0,6
