类别：所有类别

月份,环境、社会和公司治理: (加拿大),企业社会责任: (加拿大),Impact investing: (加拿大),社會責任投資: (加拿大),可持续发展: (加拿大)
2005-01,0,40,0,12,65
2005-02,10,52,0,0,84
2005-03,0,47,0,0,84
2005-04,0,56,0,0,74
2005-05,8,48,0,9,64
2005-06,7,49,0,0,64
2005-07,0,42,0,0,57
2005-08,0,35,0,0,51
2005-09,0,47,0,7,66
2005-10,7,45,0,6,65
2005-11,0,46,0,0,80
2005-12,8,34,0,0,49
2006-01,6,46,0,0,50
2006-02,0,38,0,12,72
2006-03,5,49,0,9,74
2006-04,6,38,0,6,63
2006-05,5,45,5,5,60
2006-06,9,39,0,6,52
2006-07,6,38,0,8,41
2006-08,8,35,0,0,31
2006-09,6,38,0,5,51
2006-10,7,48,0,7,54
2006-11,9,52,0,4,69
2006-12,0,32,0,0,39
2007-01,6,37,0,5,50
2007-02,7,46,0,8,53
2007-03,9,44,0,6,57
2007-04,8,50,0,6,51
2007-05,7,46,0,7,47
2007-06,7,42,0,5,45
2007-07,5,39,0,6,41
2007-08,9,40,0,4,34
2007-09,8,43,0,0,52
2007-10,6,46,0,7,64
2007-11,5,52,0,4,56
2007-12,5,37,0,7,44
2008-01,8,48,0,7,46
2008-02,8,45,0,6,50
2008-03,8,48,0,6,57
2008-04,10,59,0,4,54
2008-05,9,47,0,5,49
2008-06,4,43,0,4,46
2008-07,3,46,0,6,37
2008-08,8,39,0,3,31
2008-09,11,47,0,5,48
2008-10,7,55,0,4,61
2008-11,7,53,0,3,53
2008-12,5,36,0,3,40
2009-01,7,43,0,3,46
2009-02,5,49,0,5,53
2009-03,9,56,0,3,52
2009-04,10,54,0,4,55
2009-05,7,48,0,4,49
2009-06,5,49,0,4,41
2009-07,7,42,0,4,27
2009-08,5,35,0,2,31
2009-09,8,39,0,4,46
2009-10,7,56,0,3,54
2009-11,7,58,0,5,51
2009-12,3,36,0,3,48
2010-01,8,51,0,3,46
2010-02,4,53,0,3,45
2010-03,7,60,0,5,45
2010-04,8,62,0,4,51
2010-05,7,49,0,3,44
2010-06,4,50,0,5,38
2010-07,5,39,0,2,29
2010-08,5,38,0,5,27
2010-09,8,47,0,0,36
2010-10,5,58,0,5,45
2010-11,6,66,0,4,48
2010-12,4,45,0,3,33
2011-01,8,45,0,2,36
2011-02,9,54,0,2,44
2011-03,8,59,0,3,44
2011-04,9,51,0,4,38
2011-05,6,49,0,3,38
2011-06,7,51,0,5,35
2011-07,6,40,0,2,26
2011-08,6,41,0,3,29
2011-09,8,45,0,3,39
2011-10,9,62,1,2,53
2011-11,8,61,2,4,49
2011-12,6,44,0,3,38
2012-01,9,47,1,2,39
2012-02,9,56,0,3,44
2012-03,12,59,2,3,43
2012-04,7,56,0,3,42
2012-05,8,49,0,2,40
2012-06,6,48,0,2,38
2012-07,6,45,0,2,32
2012-08,6,40,2,2,27
2012-09,7,46,2,2,37
2012-10,8,62,1,3,40
2012-11,9,65,2,2,41
2012-12,6,42,1,3,31
2013-01,9,51,1,3,38
2013-02,9,60,2,3,42
2013-03,10,56,1,4,38
2013-04,9,60,1,4,45
2013-05,6,56,1,3,35
2013-06,5,54,1,2,30
2013-07,5,41,2,2,22
2013-08,7,38,1,2,21
2013-09,11,53,1,2,33
2013-10,9,66,2,4,34
2013-11,9,59,1,3,35
2013-12,8,48,1,3,26
2014-01,11,50,1,2,31
2014-02,8,52,2,5,35
2014-03,11,64,2,3,32
2014-04,8,59,2,3,32
2014-05,8,54,2,3,34
2014-06,6,53,2,2,29
2014-07,7,44,2,2,22
2014-08,8,40,2,3,18
2014-09,14,56,2,3,32
2014-10,11,67,2,2,37
2014-11,10,66,3,3,39
2014-12,9,47,2,3,27
2015-01,12,55,1,3,34
2015-02,12,61,2,3,36
2015-03,11,66,2,3,32
2015-04,11,58,2,4,33
2015-05,8,58,3,3,30
2015-06,9,54,2,3,30
2015-07,6,48,2,2,19
2015-08,8,43,2,3,21
2015-09,12,54,1,2,34
2015-10,11,65,2,3,37
2015-11,12,67,2,3,41
2015-12,9,49,1,3,28
2016-01,12,56,2,3,35
2016-02,13,57,2,4,35
2016-03,12,64,3,4,35
2016-04,12,61,2,3,35
2016-05,8,61,2,4,34
2016-06,8,51,2,3,32
2016-07,6,40,2,3,19
2016-08,9,39,2,2,19
2016-09,14,54,1,3,33
2016-10,10,67,2,4,35
2016-11,7,62,2,4,48
2016-12,5,43,2,4,34
2017-01,5,52,2,4,42
2017-02,6,56,3,5,39
2017-03,5,68,3,5,46
2017-04,4,55,1,5,42
2017-05,6,48,3,4,37
2017-06,5,49,2,3,36
2017-07,6,40,2,3,23
2017-08,4,34,2,2,22
2017-09,6,50,2,4,40
2017-10,7,61,2,5,43
2017-11,6,60,3,4,44
2017-12,4,43,2,4,32
2018-01,7,47,3,6,42
2018-02,6,58,3,4,47
2018-03,6,66,2,4,46
2018-04,6,60,2,6,56
2018-05,6,57,2,5,51
2018-06,6,52,3,5,44
2018-07,6,44,2,3,28
2018-08,5,35,2,3,27
2018-09,8,51,3,6,44
2018-10,10,61,3,6,49
2018-11,8,61,3,5,59
2018-12,5,44,2,5,42
2019-01,7,46,2,7,44
2019-02,9,52,3,7,49
2019-03,10,58,3,8,48
2019-04,12,54,3,10,48
2019-05,12,50,3,8,45
2019-06,10,47,2,6,40
2019-07,10,42,2,7,32
2019-08,10,35,2,5,25
2019-09,15,48,3,9,38
2019-10,13,59,2,8,42
2019-11,15,57,3,9,42
2019-12,13,40,2,8,30
2020-01,22,50,3,11,42
2020-02,24,51,3,13,40
2020-03,16,50,2,7,32
2020-04,15,45,2,8,31
2020-05,16,40,2,8,29
2020-06,20,42,3,12,30
2020-07,24,38,3,9,21
2020-08,27,35,2,8,22
2020-09,30,43,2,8,30
2020-10,30,51,2,7,39
2020-11,31,44,3,6,40
2020-12,31,40,2,7,34
2021-01,42,38,2,7,30
2021-02,48,48,3,7,38
2021-03,51,49,2,7,38
2021-04,42,45,2,6,38
2021-05,47,39,1,6,27
2021-06,52,41,2,6,24
2021-07,43,33,2,4,18
2021-08,40,31,1,5,21
2021-09,50,45,2,7,37
2021-10,55,56,2,6,42
2021-11,56,55,2,7,42
2021-12,44,41,1,5,30
2022-01,73,53,3,8,41
2022-02,87,66,3,8,53
2022-03,84,72,3,8,57
2022-04,82,66,3,8,57
2022-05,89,53,2,6,44
2022-06,80,57,2,6,41
2022-07,72,47,2,6,28
2022-08,72,42,3,6,33
2022-09,87,60,3,6,46
2022-10,85,72,3,5,50
2022-11,87,66,4,7,56
2022-12,68,53,2,5,42
2023-01,84,61,2,6,48
2023-02,88,70,2,7,55
2023-03,100,74,3,6,49
2023-04,94,64,3,6,46
2023-05,92,62,3,6,39
2023-06,100,60,3,6,40
2023-07,82,50,2,4,26
2023-08,80,43,2,5,27
2023-09,81,59,2,5,40
2023-10,81,69,3,5,47
2023-11,80,64,3,5,49
2023-12,59,48,3,4,36
2024-01,76,55,3,4,41
2024-02,84,64,3,4,46
2024-03,81,61,2,5,40
2024-04,73,55,2,6,42
2024-05,63,52,2,5,38
2024-06,56,58,2,4,30
2024-07,52,42,2,4,23
2024-08,45,38,2,4,22
2024-09,55,46,2,4,37
2024-10,59,57,3,5,41
2024-11,63,53,3,5,40
2024-12,43,40,2,4,29
2025-01,56,49,3,6,39
2025-02,59,50,3,5,37
2025-03,58,50,2,7,35
