类别：所有类别

月份,环境、社会和公司治理: (智利),企业社会责任: (智利),Impact investing: (智利),社會責任投資: (智利),可持续发展: (智利)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,43,0,0,58
2005-04,0,42,0,0,43
2005-05,0,58,0,0,100
2005-06,0,51,0,0,67
2005-07,0,27,0,0,40
2005-08,0,38,0,0,70
2005-09,0,40,0,0,86
2005-10,0,47,0,0,91
2005-11,0,33,0,0,85
2005-12,0,43,0,0,32
2006-01,0,36,0,0,0
2006-02,0,35,0,0,0
2006-03,0,45,0,0,37
2006-04,0,63,0,0,51
2006-05,0,57,0,0,43
2006-06,0,37,0,0,67
2006-07,0,27,0,0,37
2006-08,0,33,0,0,54
2006-09,17,41,0,0,54
2006-10,0,31,0,0,76
2006-11,0,50,0,0,70
2006-12,0,42,0,0,25
2007-01,0,32,0,0,0
2007-02,0,21,0,0,0
2007-03,0,24,0,0,19
2007-04,0,52,0,0,59
2007-05,0,55,0,0,55
2007-06,0,40,0,0,62
2007-07,0,28,0,0,28
2007-08,0,53,0,0,55
2007-09,0,37,0,0,47
2007-10,0,47,0,0,69
2007-11,0,47,0,0,45
2007-12,0,26,0,0,34
2008-01,0,25,0,0,19
2008-02,0,26,0,0,0
2008-03,0,33,0,0,30
2008-04,0,56,0,0,48
2008-05,0,32,0,0,42
2008-06,0,46,0,0,37
2008-07,0,33,0,0,28
2008-08,0,32,0,0,37
2008-09,0,33,0,0,39
2008-10,0,46,0,0,57
2008-11,0,41,0,0,52
2008-12,0,36,0,0,24
2009-01,0,33,0,0,11
2009-02,0,13,0,0,0
2009-03,0,34,0,0,21
2009-04,0,29,0,0,32
2009-05,0,32,0,0,35
2009-06,0,49,0,0,36
2009-07,0,20,0,0,20
2009-08,0,24,0,0,47
2009-09,0,33,0,0,30
2009-10,0,47,0,0,49
2009-11,0,47,0,0,43
2009-12,0,27,0,0,16
2010-01,0,17,0,0,16
2010-02,0,24,0,0,0
2010-03,0,27,0,0,13
2010-04,0,40,0,0,29
2010-05,0,35,0,0,29
2010-06,0,34,0,0,42
2010-07,0,27,0,0,23
2010-08,0,41,0,0,30
2010-09,0,34,0,0,22
2010-10,0,43,0,0,32
2010-11,0,35,0,0,41
2010-12,0,25,0,0,17
2011-01,0,15,0,0,7
2011-02,0,11,0,0,6
2011-03,0,23,0,0,16
2011-04,0,27,0,0,29
2011-05,0,27,0,0,30
2011-06,0,28,0,0,27
2011-07,0,20,0,0,19
2011-08,0,21,0,0,20
2011-09,0,23,0,0,26
2011-10,0,27,0,0,29
2011-11,0,29,0,0,34
2011-12,0,25,0,0,23
2012-01,0,15,0,0,15
2012-02,0,14,0,0,11
2012-03,0,25,0,0,25
2012-04,0,29,0,0,25
2012-05,0,30,0,0,29
2012-06,0,35,0,0,27
2012-07,0,24,0,0,20
2012-08,0,21,0,0,26
2012-09,0,24,0,0,22
2012-10,0,30,0,0,22
2012-11,0,29,0,0,27
2012-12,0,18,0,0,14
2013-01,0,14,0,0,11
2013-02,0,8,0,0,6
2013-03,0,21,0,0,21
2013-04,0,27,0,0,29
2013-05,0,26,0,0,27
2013-06,0,31,2,0,23
2013-07,0,24,0,0,14
2013-08,0,22,0,0,23
2013-09,0,19,0,0,24
2013-10,0,27,0,0,22
2013-11,0,29,0,0,26
2013-12,0,19,0,0,14
2014-01,0,13,0,0,11
2014-02,0,11,0,0,7
2014-03,0,19,0,0,20
2014-04,0,27,0,0,26
2014-05,0,27,0,0,31
2014-06,0,31,0,0,38
2014-07,0,26,0,0,21
2014-08,0,21,0,0,32
2014-09,0,21,0,0,32
2014-10,0,24,0,0,35
2014-11,0,29,0,0,34
2014-12,0,20,0,0,13
2015-01,0,14,0,0,7
2015-02,0,12,0,0,7
2015-03,0,22,0,0,19
2015-04,0,30,0,0,26
2015-05,2,23,0,0,29
2015-06,0,31,0,0,30
2015-07,0,24,0,0,18
2015-08,0,25,0,0,32
2015-09,0,22,0,0,32
2015-10,2,22,0,0,33
2015-11,0,31,0,0,34
2015-12,0,14,0,0,11
2016-01,3,11,0,0,10
2016-02,0,11,0,0,7
2016-03,2,25,0,0,19
2016-04,0,38,0,0,26
2016-05,0,25,0,0,32
2016-06,0,31,0,0,28
2016-07,0,16,0,0,18
2016-08,3,19,0,0,32
2016-09,0,21,0,0,33
2016-10,0,21,0,0,28
2016-11,0,47,0,0,30
2016-12,0,35,0,0,16
2017-01,0,18,0,0,11
2017-02,0,10,0,0,6
2017-03,0,29,0,0,26
2017-04,0,47,0,0,36
2017-05,0,33,0,0,43
2017-06,0,46,0,0,44
2017-07,0,31,0,0,25
2017-08,0,31,0,0,36
2017-09,2,33,0,0,38
2017-10,0,32,0,0,46
2017-11,2,40,0,0,44
2017-12,0,22,0,0,18
2018-01,0,14,0,0,13
2018-02,0,15,0,0,12
2018-03,0,24,0,0,33
2018-04,0,30,0,2,51
2018-05,0,29,0,3,48
2018-06,0,35,0,2,46
2018-07,0,25,0,2,32
2018-08,0,28,0,0,49
2018-09,0,31,0,0,40
2018-10,0,31,0,2,53
2018-11,0,41,0,0,62
2018-12,0,27,0,0,28
2019-01,0,14,0,0,19
2019-02,0,11,0,0,13
2019-03,0,24,0,2,35
2019-04,0,31,0,0,47
2019-05,0,27,0,3,48
2019-06,0,35,0,2,48
2019-07,0,29,0,3,27
2019-08,0,27,0,2,51
2019-09,0,26,0,0,49
2019-10,0,21,0,0,42
2019-11,0,21,0,0,41
2019-12,0,18,0,2,24
2020-01,0,12,0,0,17
2020-02,0,10,0,2,11
2020-03,0,13,0,2,34
2020-04,0,24,0,2,39
2020-05,0,25,0,2,44
2020-06,2,28,0,2,42
2020-07,2,26,0,2,37
2020-08,0,17,0,2,38
2020-09,1,23,0,3,46
2020-10,0,16,0,0,48
2020-11,0,24,0,0,69
2020-12,1,15,0,2,33
2021-01,3,8,0,1,11
2021-02,4,6,0,0,6
2021-03,4,13,0,0,38
2021-04,4,21,0,0,61
2021-05,4,18,0,0,63
2021-06,6,20,0,0,54
2021-07,4,16,0,0,34
2021-08,6,13,0,0,45
2021-09,7,22,0,3,47
2021-10,6,19,0,3,51
2021-11,6,18,0,2,66
2021-12,5,18,0,2,27
2022-01,7,10,0,2,15
2022-02,8,7,0,3,8
2022-03,7,17,0,2,47
2022-04,9,25,0,2,77
2022-05,11,25,0,1,58
2022-06,10,30,0,2,61
2022-07,11,22,0,2,31
2022-08,13,18,0,1,56
2022-09,11,21,0,1,59
2022-10,12,20,0,2,74
2022-11,13,23,0,1,89
2022-12,10,19,0,2,34
2023-01,12,11,0,0,19
2023-02,9,7,0,0,14
2023-03,13,16,0,0,52
2023-04,12,20,0,0,72
2023-05,14,21,0,0,55
2023-06,14,20,0,0,59
2023-07,15,17,0,0,36
2023-08,12,16,0,0,50
2023-09,11,14,0,0,53
2023-10,13,17,0,0,56
2023-11,15,19,0,0,64
2023-12,10,12,0,0,24
2024-01,14,9,0,0,13
2024-02,10,7,0,0,10
2024-03,14,12,0,0,37
2024-04,16,18,0,0,64
2024-05,13,19,0,0,50
2024-06,13,16,0,0,30
2024-07,12,12,0,0,31
2024-08,14,14,0,0,37
2024-09,12,12,0,0,39
2024-10,11,14,0,0,41
2024-11,11,16,0,0,49
2024-12,12,11,0,0,20
2025-01,14,7,0,0,15
2025-02,9,8,0,0,12
2025-03,12,13,0,<1,34
