类别：所有类别

月份,环境、社会和公司治理: (丹麦),企业社会责任: (丹麦),Impact investing: (丹麦),社會責任投資: (丹麦),可持续发展: (丹麦)
2005-01,0,26,0,0,0
2005-02,0,0,0,0,0
2005-03,0,21,0,0,18
2005-04,41,22,0,0,0
2005-05,0,23,0,0,0
2005-06,0,19,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,18,0,0,0
2005-10,0,30,0,0,0
2005-11,0,33,0,0,0
2005-12,0,32,0,0,0
2006-01,0,19,0,0,0
2006-02,0,21,0,0,0
2006-03,0,29,0,0,16
2006-04,0,30,0,0,0
2006-05,0,22,0,0,0
2006-06,0,29,0,0,19
2006-07,0,17,0,0,0
2006-08,0,24,0,0,0
2006-09,0,23,0,0,0
2006-10,0,29,0,0,12
2006-11,0,37,0,0,10
2006-12,0,26,0,0,0
2007-01,0,26,0,0,0
2007-02,0,30,0,0,11
2007-03,0,32,0,0,12
2007-04,0,32,0,0,13
2007-05,0,45,0,0,11
2007-06,0,33,0,0,9
2007-07,0,14,0,0,0
2007-08,0,26,0,0,0
2007-09,0,39,0,0,12
2007-10,0,35,0,0,8
2007-11,0,37,0,0,10
2007-12,0,30,0,0,8
2008-01,0,27,0,0,12
2008-02,0,35,0,0,13
2008-03,0,32,0,0,8
2008-04,0,43,0,0,13
2008-05,0,42,0,0,6
2008-06,0,34,0,0,8
2008-07,0,30,0,0,0
2008-08,0,26,0,0,0
2008-09,6,45,0,0,12
2008-10,0,43,0,0,10
2008-11,0,53,0,0,6
2008-12,0,40,0,0,12
2009-01,0,31,0,0,9
2009-02,0,31,0,0,9
2009-03,0,50,0,0,9
2009-04,0,61,0,0,6
2009-05,0,48,0,0,6
2009-06,0,38,0,0,5
2009-07,0,28,0,0,0
2009-08,6,37,0,0,0
2009-09,0,42,0,0,8
2009-10,0,52,0,0,7
2009-11,6,59,0,0,10
2009-12,0,45,0,0,10
2010-01,5,37,0,0,7
2010-02,0,56,0,0,8
2010-03,0,47,0,0,10
2010-04,7,44,0,0,9
2010-05,0,65,0,0,8
2010-06,0,47,0,0,7
2010-07,0,28,0,0,0
2010-08,0,43,0,0,0
2010-09,0,55,0,0,5
2010-10,0,54,0,0,5
2010-11,0,65,0,0,7
2010-12,0,41,0,0,5
2011-01,5,50,0,0,4
2011-02,0,52,0,0,7
2011-03,4,53,0,0,11
2011-04,6,47,0,0,7
2011-05,0,60,0,3,6
2011-06,3,52,0,0,4
2011-07,3,23,0,0,0
2011-08,6,33,0,0,6
2011-09,4,71,0,0,5
2011-10,4,54,0,0,5
2011-11,4,65,0,0,8
2011-12,3,56,0,0,6
2012-01,5,55,0,0,7
2012-02,3,50,0,0,10
2012-03,4,50,0,0,8
2012-04,6,50,0,0,4
2012-05,5,53,0,0,8
2012-06,3,51,0,0,7
2012-07,5,26,0,0,6
2012-08,4,40,0,0,6
2012-09,3,49,0,0,5
2012-10,3,54,0,0,6
2012-11,4,84,0,0,7
2012-12,0,53,0,0,2
2013-01,0,49,0,0,7
2013-02,3,54,0,0,6
2013-03,0,46,0,0,6
2013-04,2,56,0,0,6
2013-05,2,51,0,0,8
2013-06,2,45,0,0,5
2013-07,3,20,0,0,3
2013-08,4,44,0,0,5
2013-09,4,64,0,0,6
2013-10,4,55,0,0,5
2013-11,4,60,0,0,4
2013-12,3,50,0,0,5
2014-01,2,40,0,0,7
2014-02,3,55,0,0,7
2014-03,3,55,0,0,8
2014-04,4,54,0,0,7
2014-05,4,52,0,0,6
2014-06,0,45,0,0,5
2014-07,5,22,0,0,3
2014-08,6,34,0,0,4
2014-09,4,53,0,0,7
2014-10,3,59,0,0,5
2014-11,3,53,0,0,6
2014-12,0,48,0,0,4
2015-01,2,42,0,0,8
2015-02,3,44,0,0,9
2015-03,4,50,0,0,10
2015-04,3,53,0,0,10
2015-05,2,47,0,0,11
2015-06,2,41,0,2,8
2015-07,0,20,0,0,4
2015-08,2,33,0,0,6
2015-09,5,45,0,0,10
2015-10,2,45,0,0,9
2015-11,3,47,0,0,8
2015-12,0,49,0,0,5
2016-01,0,44,0,0,8
2016-02,0,50,0,0,12
2016-03,2,47,0,0,6
2016-04,2,55,0,0,11
2016-05,3,56,0,0,15
2016-06,4,37,0,0,7
2016-07,0,20,0,0,4
2016-08,3,31,0,0,6
2016-09,4,45,0,0,11
2016-10,4,44,2,0,9
2016-11,0,57,0,0,8
2016-12,0,45,0,0,9
2017-01,2,50,0,0,9
2017-02,0,56,0,0,10
2017-03,0,61,0,0,14
2017-04,0,56,0,0,11
2017-05,2,53,0,0,12
2017-06,4,35,0,0,10
2017-07,0,22,0,0,4
2017-08,2,34,0,0,7
2017-09,2,47,0,0,11
2017-10,2,48,0,0,11
2017-11,0,55,0,0,12
2017-12,0,48,0,0,4
2018-01,5,43,0,0,12
2018-02,3,46,0,0,11
2018-03,0,44,0,0,15
2018-04,4,44,0,0,13
2018-05,2,49,0,0,15
2018-06,4,38,0,0,9
2018-07,3,18,0,0,5
2018-08,3,33,0,0,8
2018-09,5,44,2,0,12
2018-10,7,47,0,0,13
2018-11,6,54,0,0,14
2018-12,4,47,2,0,9
2019-01,6,42,0,0,11
2019-02,7,39,0,0,12
2019-03,9,45,0,0,12
2019-04,6,41,0,0,11
2019-05,7,44,0,0,12
2019-06,7,35,0,0,14
2019-07,4,16,0,0,7
2019-08,6,31,0,0,10
2019-09,6,45,0,0,10
2019-10,9,39,2,0,9
2019-11,8,45,0,0,10
2019-12,6,39,0,2,7
2020-01,12,43,0,2,9
2020-02,12,44,0,2,11
2020-03,10,49,0,2,9
2020-04,9,37,2,2,7
2020-05,10,37,3,3,6
2020-06,14,31,1,3,7
2020-07,8,17,0,0,3
2020-08,12,29,0,2,6
2020-09,13,41,0,2,9
2020-10,13,36,0,3,8
2020-11,15,44,0,0,10
2020-12,15,30,0,2,7
2021-01,21,33,0,2,7
2021-02,21,34,2,0,8
2021-03,21,37,0,2,6
2021-04,19,40,0,2,6
2021-05,20,36,0,0,7
2021-06,21,29,2,0,6
2021-07,13,14,0,0,2
2021-08,20,19,0,0,6
2021-09,28,32,0,2,10
2021-10,26,34,0,0,8
2021-11,32,46,2,0,10
2021-12,26,30,0,0,6
2022-01,32,47,0,2,13
2022-02,36,47,0,3,10
2022-03,44,69,2,2,14
2022-04,36,46,0,2,14
2022-05,42,56,0,1,13
2022-06,41,41,0,2,10
2022-07,23,15,0,0,5
2022-08,36,31,2,2,10
2022-09,48,46,0,2,15
2022-10,43,43,0,2,10
2022-11,56,56,0,2,13
2022-12,43,38,0,0,11
2023-01,50,44,0,0,10
2023-02,55,40,2,0,10
2023-03,57,49,0,0,12
2023-04,55,42,0,0,12
2023-05,70,43,0,0,15
2023-06,60,34,0,2,9
2023-07,39,18,0,0,6
2023-08,64,27,0,0,10
2023-09,88,42,0,2,10
2023-10,87,39,0,3,10
2023-11,93,47,0,0,11
2023-12,66,35,0,0,7
2024-01,90,43,0,0,10
2024-02,100,41,0,2,12
2024-03,89,40,2,2,10
2024-04,92,43,0,2,11
2024-05,95,39,0,2,9
2024-06,78,36,0,0,6
2024-07,41,13,0,2,2
2024-08,69,22,0,2,7
2024-09,95,34,0,2,12
2024-10,88,35,0,4,10
2024-11,93,40,0,0,11
2024-12,69,24,0,0,7
2025-01,85,38,0,3,12
2025-02,86,34,0,2,10
2025-03,80,40,1,4,8
