类别：所有类别

月份,环境、社会和公司治理: (埃及),企业社会责任: (埃及),Impact investing: (埃及),社會責任投資: (埃及),可持续发展: (埃及)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,100
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,46
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,54
2007-05,0,0,0,0,29
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,24
2007-11,0,0,0,0,31
2007-12,0,0,33,0,0
2008-01,0,23,0,0,0
2008-02,0,0,0,0,31
2008-03,0,0,0,0,25
2008-04,0,0,0,0,39
2008-05,0,0,0,0,37
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,13,0,0,26
2008-11,0,17,0,0,28
2008-12,0,13,0,0,19
2009-01,0,14,0,0,18
2009-02,0,13,0,0,18
2009-03,0,10,0,0,15
2009-04,0,0,0,0,24
2009-05,0,0,0,0,16
2009-06,0,10,0,0,10
2009-07,0,14,0,0,12
2009-08,0,10,0,0,10
2009-09,0,0,0,0,0
2009-10,0,14,0,0,20
2009-11,0,10,0,0,18
2009-12,0,11,0,0,22
2010-01,0,11,0,0,8
2010-02,0,11,0,0,0
2010-03,0,11,0,0,12
2010-04,0,16,0,0,13
2010-05,0,15,0,0,14
2010-06,0,9,0,0,0
2010-07,0,14,0,0,10
2010-08,0,9,0,0,9
2010-09,0,9,0,0,10
2010-10,0,14,0,0,16
2010-11,0,10,0,0,12
2010-12,0,14,0,0,19
2011-01,0,11,0,0,11
2011-02,0,7,0,0,0
2011-03,0,12,0,0,8
2011-04,0,11,0,0,8
2011-05,0,9,0,0,9
2011-06,0,7,0,0,8
2011-07,0,7,0,0,0
2011-08,0,6,0,0,5
2011-09,0,9,0,4,7
2011-10,0,14,0,0,18
2011-11,0,13,0,0,29
2011-12,0,11,0,0,21
2012-01,0,7,0,0,9
2012-02,0,9,0,0,13
2012-03,0,13,0,0,11
2012-04,0,11,0,0,13
2012-05,0,7,0,0,7
2012-06,0,7,0,0,7
2012-07,0,6,0,0,7
2012-08,0,9,0,0,4
2012-09,0,11,0,0,8
2012-10,5,12,0,0,12
2012-11,0,11,0,0,16
2012-12,0,10,0,0,13
2013-01,0,9,0,0,9
2013-02,0,12,0,0,14
2013-03,0,12,0,0,15
2013-04,0,11,0,0,19
2013-05,0,13,0,0,13
2013-06,0,8,0,0,9
2013-07,0,5,0,0,5
2013-08,0,6,0,0,8
2013-09,0,8,0,0,8
2013-10,0,12,0,0,19
2013-11,0,11,0,0,40
2013-12,0,11,0,0,17
2014-01,0,8,0,0,9
2014-02,0,8,0,0,8
2014-03,3,8,0,0,8
2014-04,0,8,0,0,12
2014-05,0,11,0,0,13
2014-06,0,7,0,0,8
2014-07,0,8,0,0,4
2014-08,0,7,0,0,7
2014-09,0,7,0,0,9
2014-10,0,11,0,0,10
2014-11,0,10,0,0,18
2014-12,0,10,0,0,16
2015-01,0,8,0,0,8
2015-02,0,7,0,0,10
2015-03,0,12,0,0,18
2015-04,0,14,0,0,14
2015-05,0,9,0,0,14
2015-06,0,9,0,0,9
2015-07,0,7,0,0,6
2015-08,0,7,0,0,9
2015-09,0,8,0,0,12
2015-10,0,13,0,0,24
2015-11,0,11,0,0,23
2015-12,0,10,0,0,24
2016-01,0,9,0,0,15
2016-02,0,9,0,0,20
2016-03,0,12,0,0,26
2016-04,0,11,0,0,27
2016-05,0,10,0,0,20
2016-06,0,8,0,0,10
2016-07,0,4,0,0,11
2016-08,0,8,0,0,10
2016-09,0,8,0,0,12
2016-10,0,9,0,0,22
2016-11,0,11,0,0,27
2016-12,2,12,0,0,27
2017-01,0,8,0,0,16
2017-02,0,10,0,0,19
2017-03,0,13,0,0,24
2017-04,0,12,0,0,23
2017-05,0,12,0,0,20
2017-06,0,7,0,0,13
2017-07,0,6,0,0,14
2017-08,0,7,0,0,17
2017-09,0,7,0,0,15
2017-10,0,11,0,0,31
2017-11,0,12,0,0,32
2017-12,0,10,0,0,27
2018-01,0,10,0,2,21
2018-02,0,13,0,0,28
2018-03,0,16,0,0,33
2018-04,0,14,0,0,32
2018-05,0,12,0,0,19
2018-06,0,6,0,0,13
2018-07,0,10,0,0,17
2018-08,2,13,0,0,21
2018-09,2,13,0,0,21
2018-10,0,13,0,0,40
2018-11,0,14,0,3,60
2018-12,2,13,0,0,35
2019-01,0,9,0,0,21
2019-02,2,13,0,0,29
2019-03,2,12,0,2,34
2019-04,2,11,0,0,32
2019-05,0,12,0,2,20
2019-06,0,9,0,0,19
2019-07,0,12,0,0,22
2019-08,0,9,0,0,22
2019-09,2,11,0,0,27
2019-10,3,17,0,3,37
2019-11,4,14,0,2,49
2019-12,3,15,0,3,41
2020-01,3,12,0,3,25
2020-02,3,11,0,3,34
2020-03,3,12,0,2,27
2020-04,2,11,0,2,33
2020-05,3,15,0,2,84
2020-06,2,11,0,2,49
2020-07,2,9,0,0,20
2020-08,2,8,0,0,17
2020-09,0,8,0,0,21
2020-10,0,8,0,0,35
2020-11,2,12,0,0,39
2020-12,2,9,0,0,32
2021-01,2,7,0,0,22
2021-02,3,7,0,0,20
2021-03,3,10,2,0,28
2021-04,3,10,0,0,31
2021-05,4,9,0,0,28
2021-06,3,9,0,0,23
2021-07,3,8,0,0,20
2021-08,4,9,0,0,29
2021-09,7,8,0,0,31
2021-10,5,11,0,0,32
2021-11,5,11,0,0,46
2021-12,5,10,0,0,49
2022-01,4,11,0,0,39
2022-02,5,11,0,0,42
2022-03,4,16,0,0,64
2022-04,4,12,0,0,40
2022-05,5,11,0,0,37
2022-06,6,11,0,0,34
2022-07,5,9,0,0,31
2022-08,5,10,0,0,37
2022-09,8,12,0,0,51
2022-10,8,13,0,1,60
2022-11,8,14,0,0,66
2022-12,7,11,0,1,65
2023-01,8,10,0,0,32
2023-02,8,11,0,0,42
2023-03,8,18,0,0,53
2023-04,7,12,0,0,41
2023-05,9,11,0,1,40
2023-06,9,7,0,0,32
2023-07,9,8,0,0,39
2023-08,9,10,0,0,33
2023-09,7,10,0,0,41
2023-10,7,11,0,0,56
2023-11,7,14,0,0,57
2023-12,8,12,0,0,52
2024-01,8,10,0,0,40
2024-02,10,13,0,0,45
2024-03,8,13,0,2,43
2024-04,9,12,0,0,60
2024-05,8,12,0,1,50
2024-06,6,9,0,0,27
2024-07,9,10,0,1,33
2024-08,9,11,0,0,34
2024-09,9,10,0,0,38
2024-10,12,13,0,0,55
2024-11,10,17,0,2,69
2024-12,10,12,0,0,51
2025-01,7,10,0,0,31
2025-02,12,13,0,0,41
2025-03,9,11,<1,<1,39
