类别：所有类别

月份,环境、社会和公司治理: (芬兰),企业社会责任: (芬兰),Impact investing: (芬兰),社會責任投資: (芬兰),可持续发展: (芬兰)
2005-01,0,19,0,0,53
2005-02,0,30,0,0,73
2005-03,0,24,0,0,61
2005-04,0,25,0,0,61
2005-05,0,0,0,0,72
2005-06,0,0,0,0,26
2005-07,0,0,0,0,39
2005-08,0,0,0,0,36
2005-09,0,18,0,0,61
2005-10,0,38,0,0,70
2005-11,0,24,0,0,63
2005-12,0,0,0,0,23
2006-01,0,18,0,0,59
2006-02,0,23,0,0,63
2006-03,0,21,0,0,56
2006-04,0,32,0,0,55
2006-05,0,21,0,0,68
2006-06,0,15,0,0,21
2006-07,0,0,0,0,0
2006-08,0,0,0,0,20
2006-09,0,20,0,0,59
2006-10,0,22,0,0,40
2006-11,0,13,0,0,54
2006-12,0,13,0,10,31
2007-01,0,26,0,0,44
2007-02,0,16,0,0,37
2007-03,0,24,0,0,44
2007-04,0,14,0,0,42
2007-05,0,24,0,0,40
2007-06,0,31,0,0,26
2007-07,0,11,0,0,11
2007-08,0,17,0,0,24
2007-09,0,25,0,0,40
2007-10,0,17,0,0,43
2007-11,0,20,0,0,45
2007-12,0,20,0,0,33
2008-01,0,22,0,0,46
2008-02,0,20,0,0,48
2008-03,0,19,0,0,50
2008-04,0,19,0,0,47
2008-05,0,14,0,0,43
2008-06,0,10,0,0,20
2008-07,0,13,0,0,11
2008-08,0,9,0,0,24
2008-09,0,21,0,0,38
2008-10,0,20,0,0,42
2008-11,9,25,0,6,44
2008-12,0,14,0,0,34
2009-01,0,23,0,0,36
2009-02,0,25,0,0,44
2009-03,0,16,0,0,44
2009-04,0,24,0,0,45
2009-05,6,20,0,0,48
2009-06,0,8,0,0,20
2009-07,0,12,0,0,10
2009-08,0,7,0,0,27
2009-09,0,21,0,0,39
2009-10,0,18,0,0,47
2009-11,0,25,0,0,54
2009-12,0,16,0,0,28
2010-01,0,15,0,0,35
2010-02,0,21,0,0,38
2010-03,0,23,0,6,42
2010-04,0,26,0,0,57
2010-05,0,15,0,0,35
2010-06,0,11,0,0,22
2010-07,0,8,0,0,9
2010-08,0,10,0,0,22
2010-09,0,20,0,0,37
2010-10,0,22,0,0,42
2010-11,0,24,0,0,39
2010-12,0,15,0,0,30
2011-01,0,21,0,0,36
2011-02,0,25,0,0,39
2011-03,0,18,0,0,39
2011-04,0,23,0,0,31
2011-05,0,20,0,0,39
2011-06,0,6,0,0,22
2011-07,0,7,0,0,10
2011-08,0,14,0,0,25
2011-09,0,16,0,0,38
2011-10,0,28,0,0,40
2011-11,0,29,0,0,43
2011-12,0,17,0,0,24
2012-01,0,21,0,0,45
2012-02,0,30,0,0,41
2012-03,0,23,0,0,39
2012-04,0,22,0,0,40
2012-05,0,21,0,0,39
2012-06,0,13,0,0,18
2012-07,0,11,0,0,14
2012-08,0,16,0,0,24
2012-09,0,22,0,0,40
2012-10,0,27,0,0,35
2012-11,0,28,0,0,40
2012-12,0,17,0,0,25
2013-01,0,21,0,0,42
2013-02,0,18,0,0,36
2013-03,0,20,0,0,42
2013-04,0,21,0,0,38
2013-05,3,23,0,0,31
2013-06,0,13,0,0,16
2013-07,3,8,0,0,11
2013-08,0,13,0,0,23
2013-09,0,23,0,0,36
2013-10,0,21,0,0,38
2013-11,0,24,0,0,43
2013-12,0,18,0,0,24
2014-01,0,17,0,0,34
2014-02,0,19,0,0,36
2014-03,0,16,0,2,35
2014-04,0,22,0,0,35
2014-05,0,19,0,0,31
2014-06,0,12,0,0,16
2014-07,3,8,0,0,11
2014-08,4,13,0,0,27
2014-09,0,22,0,0,38
2014-10,0,20,0,0,36
2014-11,0,20,0,0,42
2014-12,0,16,0,0,32
2015-01,0,19,0,0,32
2015-02,0,18,0,0,38
2015-03,0,20,0,0,43
2015-04,0,18,0,0,37
2015-05,0,18,0,0,37
2015-06,0,14,0,0,17
2015-07,0,9,0,0,10
2015-08,0,13,0,0,24
2015-09,4,25,0,0,50
2015-10,0,19,0,0,39
2015-11,3,27,0,0,49
2015-12,0,15,0,0,33
2016-01,0,19,0,0,35
2016-02,0,20,0,0,45
2016-03,3,18,0,0,40
2016-04,3,25,0,0,46
2016-05,0,15,0,0,40
2016-06,0,12,0,0,16
2016-07,0,5,0,0,12
2016-08,0,10,0,0,26
2016-09,3,16,0,0,46
2016-10,0,19,0,0,43
2016-11,0,25,0,0,47
2016-12,0,17,0,0,26
2017-01,4,18,0,0,38
2017-02,0,23,0,0,40
2017-03,4,23,0,0,42
2017-04,2,20,0,0,43
2017-05,0,14,0,0,48
2017-06,0,13,0,0,17
2017-07,0,10,0,0,9
2017-08,0,14,0,0,30
2017-09,4,22,0,0,46
2017-10,3,19,0,0,43
2017-11,0,25,0,0,50
2017-12,0,17,0,0,24
2018-01,3,20,0,0,43
2018-02,3,19,0,0,38
2018-03,3,17,0,0,50
2018-04,4,18,0,0,46
2018-05,3,13,0,0,53
2018-06,3,10,0,0,22
2018-07,0,8,0,0,13
2018-08,5,11,0,0,36
2018-09,4,18,0,0,49
2018-10,5,17,0,0,54
2018-11,6,19,2,0,58
2018-12,4,13,0,0,32
2019-01,5,16,0,0,50
2019-02,5,17,0,3,50
2019-03,7,17,0,0,58
2019-04,5,16,0,0,52
2019-05,6,14,0,3,55
2019-06,7,13,0,0,30
2019-07,4,8,0,0,16
2019-08,7,9,0,2,48
2019-09,9,18,0,3,63
2019-10,9,19,0,3,62
2019-11,11,19,0,3,58
2019-12,6,10,0,2,37
2020-01,7,17,0,3,62
2020-02,11,17,0,6,61
2020-03,8,15,0,3,63
2020-04,8,15,0,4,76
2020-05,8,15,0,3,59
2020-06,9,9,0,3,28
2020-07,6,7,0,0,19
2020-08,7,7,0,0,45
2020-09,12,16,0,2,76
2020-10,14,16,0,3,65
2020-11,18,18,0,0,66
2020-12,12,13,0,0,50
2021-01,16,13,0,3,62
2021-02,20,17,0,0,73
2021-03,20,14,0,4,71
