类别：所有类别

月份,环境、社会和公司治理: (法国),企业社会责任: (法国),Impact investing: (法国),社會責任投資: (法国),可持续发展: (法国)
2005-01,15,8,0,0,85
2005-02,25,8,0,0,83
2005-03,18,8,0,2,85
2005-04,17,8,0,0,79
2005-05,16,6,0,0,91
2005-06,19,6,0,2,71
2005-07,16,8,0,0,45
2005-08,10,6,0,0,38
2005-09,16,8,0,0,67
2005-10,14,8,0,0,78
2005-11,12,7,0,0,84
2005-12,12,7,0,2,68
2006-01,13,6,0,2,89
2006-02,15,7,0,0,84
2006-03,17,8,0,0,88
2006-04,14,7,0,0,76
2006-05,15,7,0,2,84
2006-06,13,6,0,2,68
2006-07,14,5,0,0,38
2006-08,13,4,0,0,33
2006-09,15,6,0,3,64
2006-10,15,5,0,0,81
2006-11,13,7,0,1,83
2006-12,12,6,0,0,64
2007-01,15,7,0,1,80
2007-02,15,6,0,0,78
2007-03,17,6,0,1,84
2007-04,16,6,0,1,77
2007-05,14,7,0,1,75
2007-06,16,6,0,1,63
2007-07,17,6,0,1,47
2007-08,10,5,0,0,37
2007-09,14,6,0,1,71
2007-10,16,7,0,1,90
2007-11,13,7,0,1,100
2007-12,14,6,0,0,69
2008-01,14,6,0,1,89
2008-02,16,8,0,1,79
2008-03,18,8,0,1,93
2008-04,16,8,0,1,89
2008-05,17,7,0,1,71
2008-06,15,7,0,1,71
2008-07,14,5,0,0,48
2008-08,10,6,0,0,38
2008-09,14,7,0,1,90
2008-10,11,8,0,1,81
2008-11,13,9,0,1,84
2008-12,11,6,0,1,66
2009-01,12,6,0,0,77
2009-02,14,7,0,1,77
2009-03,15,9,0,1,96
2009-04,13,7,0,1,90
2009-05,13,7,0,1,73
2009-06,11,7,0,1,70
2009-07,10,6,0,1,50
2009-08,8,5,0,1,42
2009-09,11,6,0,1,77
2009-10,10,9,0,1,76
2009-11,9,9,0,2,78
2009-12,9,7,0,1,61
2010-01,12,7,0,1,69
2010-02,12,7,0,1,73
2010-03,12,9,0,1,89
2010-04,13,8,0,1,75
2010-05,14,8,0,1,68
2010-06,11,8,0,1,58
2010-07,9,6,0,1,37
2010-08,7,6,0,1,35
2010-09,12,7,0,1,73
2010-10,11,8,0,2,71
2010-11,11,9,0,1,69
2010-12,9,7,0,3,53
2011-01,12,8,0,1,60
2011-02,12,7,0,1,60
2011-03,14,8,0,1,63
2011-04,11,8,0,1,62
2011-05,14,8,0,1,66
2011-06,10,7,0,1,48
2011-07,10,6,0,1,34
2011-08,7,6,0,1,32
2011-09,11,9,0,1,57
2011-10,11,10,0,1,69
2011-11,11,11,0,1,75
2011-12,9,9,0,1,50
2012-01,12,9,0,1,61
2012-02,11,9,0,1,52
2012-03,13,9,0,1,68
2012-04,11,8,<1,1,56
2012-05,12,8,0,1,48
2012-06,9,8,0,1,46
2012-07,9,9,0,1,31
2012-08,7,6,0,1,27
2012-09,10,9,0,1,52
2012-10,9,10,<1,1,65
2012-11,9,11,0,1,57
2012-12,8,9,0,1,43
2013-01,11,10,0,1,54
2013-02,9,11,0,1,51
2013-03,10,10,<1,1,56
2013-04,11,10,<1,<1,54
2013-05,9,9,0,1,43
2013-06,8,9,0,1,34
2013-07,7,8,0,1,27
2013-08,5,6,0,1,22
2013-09,8,9,0,1,49
2013-10,8,13,0,1,56
2013-11,7,12,0,1,60
2013-12,6,10,0,1,39
2014-01,8,10,0,1,53
2014-02,8,11,0,1,51
2014-03,9,12,0,1,52
2014-04,9,11,0,1,47
2014-05,8,9,0,1,41
2014-06,7,8,0,1,34
2014-07,7,8,0,<1,23
2014-08,5,6,0,<1,19
2014-09,8,10,<1,1,47
2014-10,8,12,<1,1,61
2014-11,7,12,<1,1,54
2014-12,6,10,0,1,36
2015-01,8,11,0,1,43
2015-02,9,12,0,1,44
2015-03,8,13,0,1,48
2015-04,7,11,<1,1,43
2015-05,7,11,<1,1,43
2015-06,8,11,<1,1,37
2015-07,6,8,<1,1,21
2015-08,5,7,0,<1,18
2015-09,7,12,0,1,50
2015-10,5,12,<1,1,54
2015-11,6,14,0,1,56
2015-12,5,10,<1,1,37
2016-01,6,13,<1,1,44
2016-02,7,13,<1,1,38
2016-03,7,14,<1,1,44
2016-04,6,13,<1,1,35
2016-05,6,12,<1,1,41
2016-06,7,11,<1,1,33
2016-07,5,8,<1,1,18
2016-08,5,8,0,<1,18
2016-09,7,12,<1,1,37
2016-10,6,13,<1,1,39
2016-11,1,30,<1,3,55
2016-12,0,23,<1,3,37
2017-01,<1,25,1,3,52
2017-02,<1,25,<1,3,47
2017-03,<1,29,<1,4,60
2017-04,<1,25,1,4,41
2017-05,<1,24,<1,4,51
2017-06,0,25,<1,3,39
2017-07,<1,16,<1,3,21
2017-08,0,12,<1,2,18
2017-09,<1,22,<1,3,37
2017-10,<1,26,<1,4,46
2017-11,<1,29,<1,4,59
2017-12,<1,22,<1,3,36
2018-01,<1,26,<1,4,46
2018-02,1,25,<1,3,48
2018-03,<1,28,<1,4,60
2018-04,<1,25,1,5,52
2018-05,<1,27,<1,4,58
2018-06,<1,26,<1,4,40
2018-07,<1,18,<1,3,28
2018-08,0,12,<1,2,23
2018-09,<1,24,<1,3,41
2018-10,<1,29,1,4,53
2018-11,<1,31,<1,4,65
2018-12,<1,23,<1,3,42
2019-01,<1,26,<1,3,51
2019-02,<1,29,<1,4,51
2019-03,<1,29,1,4,53
2019-04,<1,27,1,4,45
2019-05,<1,27,1,4,51
2019-06,1,27,1,4,43
2019-07,1,22,<1,3,29
2019-08,1,16,<1,3,23
2019-09,1,31,1,4,41
2019-10,2,36,1,5,43
2019-11,2,31,<1,5,45
2019-12,1,27,1,4,34
2020-01,2,34,1,5,51
2020-02,2,34,1,5,49
2020-03,2,25,<1,6,48
2020-04,2,26,1,6,46
2020-05,2,28,<1,6,42
2020-06,3,29,1,7,38
2020-07,5,26,1,5,27
2020-08,3,19,<1,4,23
2020-09,6,36,<1,6,47
2020-10,5,34,<1,6,39
2020-11,5,37,1,6,48
2020-12,4,29,<1,6,36
2021-01,7,36,<1,6,49
2021-02,8,37,<1,7,48
2021-03,8,43,1,8,55
2021-04,7,36,<1,8,49
2021-05,8,37,<1,7,57
2021-06,8,36,<1,7,41
2021-07,6,24,<1,6,29
2021-08,5,19,<1,5,25
2021-09,9,40,1,6,50
2021-10,10,42,1,7,64
2021-11,9,45,<1,7,51
2021-12,8,35,<1,7,44
2022-01,11,53,<1,8,59
2022-02,12,57,1,9,53
2022-03,13,65,1,10,63
2022-04,11,55,1,7,49
2022-05,12,64,1,8,52
2022-06,13,61,1,8,44
