类别：所有类别

月份,环境、社会和公司治理: (德国),企业社会责任: (德国),Impact investing: (德国),社會責任投資: (德国),可持续发展: (德国)
2005-01,38,48,0,0,26
2005-02,46,50,0,0,22
2005-03,44,55,0,0,21
2005-04,51,56,0,0,27
2005-05,49,54,0,0,26
2005-06,52,49,0,0,28
2005-07,53,55,0,0,23
2005-08,43,51,0,0,24
2005-09,50,45,0,0,17
2005-10,50,45,0,0,19
2005-11,48,46,0,0,24
2005-12,39,49,0,0,24
2006-01,40,51,0,0,25
2006-02,51,46,0,0,21
2006-03,46,47,0,0,24
2006-04,47,47,0,0,19
2006-05,50,53,0,0,25
2006-06,47,52,0,0,19
2006-07,42,51,0,0,18
2006-08,44,48,0,0,13
2006-09,44,43,0,0,12
2006-10,42,52,0,0,18
2006-11,43,48,0,0,18
2006-12,40,55,0,0,17
2007-01,41,53,0,3,20
2007-02,41,57,0,0,20
2007-03,51,60,0,0,19
2007-04,48,62,0,0,16
2007-05,41,67,0,0,21
2007-06,45,65,0,0,20
2007-07,41,62,0,0,17
2007-08,43,65,0,0,15
2007-09,46,58,0,0,18
2007-10,49,72,0,0,22
2007-11,44,64,0,0,18
2007-12,37,63,0,0,14
2008-01,41,65,0,2,18
2008-02,43,63,0,0,24
2008-03,35,66,0,0,19
2008-04,44,68,0,3,26
2008-05,38,75,0,0,27
2008-06,40,73,0,0,29
2008-07,38,68,0,0,20
2008-08,37,60,0,2,23
2008-09,42,55,0,0,26
2008-10,42,59,0,0,33
2008-11,38,66,0,2,28
2008-12,32,55,0,2,22
2009-01,34,57,0,0,23
2009-02,38,62,0,0,26
2009-03,38,65,0,2,34
2009-04,35,65,0,0,32
2009-05,34,60,0,0,36
2009-06,36,65,0,0,35
2009-07,34,60,0,2,25
2009-08,32,57,0,2,33
2009-09,38,55,0,0,39
2009-10,36,57,0,0,37
2009-11,33,65,0,2,43
2009-12,26,48,0,0,26
2010-01,31,57,0,0,29
2010-02,30,56,0,0,37
2010-03,37,59,0,1,39
2010-04,33,59,0,0,44
2010-05,30,69,0,2,45
2010-06,33,65,0,3,41
2010-07,28,60,0,0,29
2010-08,31,57,0,2,34
2010-09,37,56,0,0,40
2010-10,35,61,0,0,43
2010-11,38,63,0,0,43
2010-12,30,53,0,2,28
2011-01,36,62,0,1,16
2011-02,39,62,0,1,16
2011-03,35,60,0,2,17
2011-04,37,60,0,1,15
2011-05,41,66,0,0,17
2011-06,38,61,0,0,17
2011-07,40,60,0,2,13
2011-08,42,50,0,2,12
2011-09,46,56,0,1,14
2011-10,46,60,0,1,14
2011-11,45,67,0,1,18
2011-12,35,60,0,1,15
2012-01,43,61,0,1,17
2012-02,42,64,0,1,16
2012-03,42,64,0,1,17
2012-04,37,66,0,1,15
2012-05,43,70,0,1,14
2012-06,39,65,0,1,18
2012-07,42,68,0,1,13
2012-08,38,54,0,1,12
2012-09,46,57,0,2,14
2012-10,43,63,0,1,14
2012-11,42,65,0,1,14
2012-12,32,55,0,1,11
2013-01,44,64,0,1,16
2013-02,40,62,0,1,14
2013-03,39,58,0,1,13
2013-04,51,64,0,1,15
2013-05,41,65,0,1,15
2013-06,43,66,0,1,15
2013-07,43,60,0,1,13
2013-08,37,47,0,1,11
2013-09,41,47,0,1,10
2013-10,42,58,0,1,13
2013-11,43,67,0,1,13
2013-12,37,54,0,1,12
2014-01,40,58,0,1,14
2014-02,40,60,0,2,14
2014-03,39,55,0,1,14
2014-04,41,65,0,1,15
2014-05,41,68,1,2,13
2014-06,38,57,0,1,15
2014-07,40,55,1,1,13
2014-08,39,48,0,1,10
2014-09,45,54,0,1,12
2014-10,44,60,0,1,12
2014-11,45,64,1,1,16
2014-12,37,55,0,1,13
2015-01,44,65,1,1,15
2015-02,45,62,1,1,17
2015-03,44,59,0,1,15
2015-04,43,57,2,1,13
2015-05,39,60,1,1,15
2015-06,40,64,1,1,16
2015-07,44,58,1,1,12
2015-08,40,45,1,0,12
2015-09,46,50,1,1,17
2015-10,44,52,0,1,18
2015-11,43,59,1,1,16
2015-12,36,44,1,1,12
2016-01,36,59,1,2,16
2016-02,47,61,1,2,19
2016-03,46,58,1,2,16
2016-04,47,65,1,1,17
2016-05,39,65,1,1,17
2016-06,42,62,2,1,19
2016-07,41,57,1,1,14
2016-08,38,44,0,1,13
2016-09,42,52,0,0,13
2016-10,47,51,1,1,15
2016-11,8,56,1,1,20
2016-12,1,44,1,2,16
2017-01,2,56,2,1,19
2017-02,1,54,1,2,21
2017-03,1,59,1,1,23
2017-04,2,51,1,1,19
2017-05,2,60,1,1,23
2017-06,1,55,1,0,20
2017-07,1,51,2,1,17
2017-08,1,45,1,0,17
2017-09,3,45,1,0,19
2017-10,3,49,2,1,19
2017-11,2,57,1,0,22
2017-12,2,43,1,1,16
2018-01,3,53,1,1,22
2018-02,3,52,2,1,19
2018-03,1,50,1,1,20
2018-04,2,52,1,1,21
2018-05,2,48,1,2,20
2018-06,2,45,1,2,22
2018-07,2,44,1,2,17
2018-08,3,37,1,3,16
2018-09,2,40,2,3,18
2018-10,2,47,1,2,20
2018-11,2,50,2,3,23
2018-12,1,39,1,3,17
2019-01,2,49,1,3,21
2019-02,2,49,2,3,21
2019-03,3,47,1,3,20
2019-04,3,47,2,4,19
2019-05,4,50,1,4,21
2019-06,4,48,1,4,21
2019-07,3,46,2,5,18
2019-08,5,36,1,5,16
2019-09,6,42,2,6,16
2019-10,7,43,2,6,16
2019-11,8,47,2,7,17
2019-12,6,39,1,9,14
2020-01,9,47,2,13,17
2020-02,11,43,2,15,17
2020-03,11,34,1,13,16
2020-04,11,42,2,13,17
2020-05,12,44,2,14,19
2020-06,13,44,2,13,16
2020-07,25,44,2,24,15
2020-08,19,32,2,26,13
2020-09,24,40,2,28,19
2020-10,27,37,2,28,18
2020-11,32,45,2,31,19
2020-12,23,35,1,27,17
2021-01,34,43,2,47,20
2021-02,39,45,2,52,20
2021-03,38,42,1,53,19
2021-04,36,40,2,53,19
2021-05,38,39,2,52,19
2021-06,39,40,2,46,15
2021-07,40,36,2,33,12
2021-08,40,32,2,32,14
2021-09,50,37,1,32,17
2021-10,46,42,2,55,19
2021-11,56,44,2,71,21
2021-12,43,38,2,58,19
2022-01,62,54,3,74,27
2022-02,60,54,3,66,26
2022-03,57,50,2,43,28
2022-04,52,45,2,36,22
2022-05,57,45,2,46,26
2022-06,57,47,2,36,21
2022-07,54,43,2,34,19
2022-08,50,38,1,37,19
2022-09,57,42,2,47,24
2022-10,59,39,2,44,20
2022-11,62,48,2,39,25
2022-12,48,37,2,31,19
2023-01,60,46,2,42,24
2023-02,62,44,2,37,26
2023-03,78,43,2,23,25
2023-04,74,40,2,18,23
2023-05,84,45,3,17,26
2023-06,83,42,3,20,24
2023-07,77,41,2,16,19
2023-08,89,37,2,14,20
2023-09,82,37,2,13,22
2023-10,84,39,2,12,22
2023-11,100,44,2,13,24
2023-12,73,34,2,10,18
2024-01,86,38,2,10,24
2024-02,92,43,2,8,26
2024-03,91,39,2,12,21
2024-04,87,42,2,12,26
2024-05,70,39,2,13,25
2024-06,71,40,2,11,22
2024-07,77,35,2,11,20
2024-08,73,32,2,7,20
2024-09,83,32,3,4,21
2024-10,92,33,3,4,21
2024-11,92,38,2,5,23
2024-12,73,33,2,6,18
2025-01,95,38,2,12,26
2025-02,95,37,2,8,26
2025-03,91,34,2,8,25
