类别：所有类别

月份,环境、社会和公司治理: (印度),企业社会责任: (印度),Impact investing: (印度),社會責任投資: (印度),可持续发展: (印度)
2005-01,0,72,0,0,21
2005-02,0,84,0,0,34
2005-03,0,82,0,0,23
2005-04,0,57,0,0,23
2005-05,0,63,0,0,20
2005-06,0,56,0,0,21
2005-07,0,51,0,0,30
2005-08,0,75,0,0,31
2005-09,0,71,0,0,29
2005-10,0,65,0,0,24
2005-11,0,73,0,0,23
2005-12,0,61,0,0,22
2006-01,0,55,0,0,21
2006-02,0,89,0,0,25
2006-03,0,78,0,0,21
2006-04,0,72,0,0,25
2006-05,0,52,0,0,20
2006-06,6,50,0,0,23
2006-07,0,45,0,0,15
2006-08,0,67,0,0,25
2006-09,0,82,0,0,22
2006-10,0,60,0,0,22
2006-11,0,74,0,0,27
2006-12,0,65,0,0,19
2007-01,0,74,0,0,21
2007-02,0,87,0,0,13
2007-03,0,72,0,0,20
2007-04,0,57,0,0,20
2007-05,0,63,0,0,19
2007-06,0,51,0,0,15
2007-07,0,66,0,0,20
2007-08,0,73,0,0,23
2007-09,3,96,0,0,21
2007-10,0,80,0,0,24
2007-11,0,85,0,0,23
2007-12,0,74,0,0,21
2008-01,0,89,0,0,25
2008-02,0,100,0,0,23
2008-03,0,91,0,0,19
2008-04,0,78,0,0,18
2008-05,3,61,0,0,18
2008-06,0,66,0,0,16
2008-07,3,73,0,0,19
2008-08,0,87,0,0,18
2008-09,2,96,0,0,22
2008-10,0,90,0,0,17
2008-11,0,92,0,2,21
2008-12,0,82,0,0,18
2009-01,0,77,0,0,20
2009-02,0,91,0,0,20
2009-03,0,78,0,0,15
2009-04,0,72,0,2,15
2009-05,2,53,0,0,15
2009-06,2,54,0,0,15
2009-07,0,63,0,0,15
2009-08,3,80,0,0,18
2009-09,0,78,0,0,19
2009-10,0,77,0,0,18
2009-11,3,75,0,0,19
2009-12,0,69,0,0,15
2010-01,0,65,0,0,20
2010-02,0,73,0,2,20
2010-03,0,69,0,0,18
2010-04,0,62,0,0,22
2010-05,0,62,0,0,14
2010-06,2,50,0,0,16
2010-07,2,54,0,0,14
2010-08,1,70,0,0,16
2010-09,1,66,0,0,15
2010-10,1,59,0,0,15
2010-11,0,62,0,0,19
2010-12,0,61,0,0,14
2011-01,1,56,0,0,15
2011-02,1,61,0,0,16
2011-03,1,54,0,0,14
2011-04,1,50,0,0,13
2011-05,1,44,0,0,14
2011-06,1,39,0,0,15
2011-07,1,46,0,<1,11
2011-08,1,48,0,1,13
2011-09,1,55,0,0,13
2011-10,1,47,0,0,13
2011-11,1,49,0,0,16
2011-12,<1,40,0,0,11
2012-01,1,43,0,<1,14
2012-02,1,44,0,<1,14
2012-03,1,42,0,<1,13
2012-04,1,38,0,0,12
2012-05,1,35,0,0,11
2012-06,1,32,0,0,11
2012-07,1,37,0,0,10
2012-08,1,42,0,0,12
2012-09,1,44,0,<1,13
2012-10,1,37,<1,<1,13
2012-11,1,33,<1,0,10
2012-12,1,35,0,<1,9
2013-01,1,45,<1,0,11
2013-02,1,49,0,0,13
2013-03,1,42,<1,<1,12
2013-04,1,39,<1,0,12
2013-05,1,36,<1,<1,12
2013-06,1,30,<1,<1,10
2013-07,1,35,<1,0,9
2013-08,1,43,<1,<1,11
2013-09,1,46,<1,<1,10
2013-10,1,40,<1,0,12
2013-11,1,34,<1,0,11
2013-12,<1,34,<1,<1,10
2014-01,1,35,<1,0,9
2014-02,1,42,<1,<1,11
2014-03,1,39,<1,<1,9
2014-04,1,34,<1,0,9
2014-05,1,28,<1,0,11
2014-06,1,38,<1,0,11
2014-07,1,38,<1,0,9
2014-08,1,41,<1,0,10
2014-09,1,43,<1,0,10
2014-10,1,39,<1,<1,9
2014-11,1,45,<1,0,10
2014-12,1,36,<1,<1,9
2015-01,2,40,<1,<1,9
2015-02,1,44,<1,<1,10
2015-03,1,44,<1,<1,10
2015-04,1,42,<1,<1,11
2015-05,1,33,<1,0,12
2015-06,1,34,<1,<1,11
2015-07,1,33,<1,<1,8
2015-08,1,37,<1,0,10
2015-09,1,42,<1,<1,14
2015-10,1,37,<1,0,13
2015-11,1,34,<1,<1,13
2015-12,1,37,<1,0,12
2016-01,1,33,<1,<1,12
2016-02,1,41,<1,<1,13
2016-03,1,37,<1,0,12
2016-04,1,35,<1,<1,13
2016-05,1,33,<1,<1,13
2016-06,1,30,<1,0,14
2016-07,1,28,<1,<1,13
2016-08,1,38,<1,0,14
2016-09,1,37,<1,<1,14
2016-10,1,32,<1,<1,12
2016-11,<1,35,<1,<1,15
2016-12,<1,27,<1,<1,13
2017-01,<1,28,<1,<1,13
2017-02,<1,34,<1,<1,14
2017-03,1,36,<1,<1,15
2017-04,1,32,<1,<1,14
2017-05,1,29,<1,<1,15
2017-06,1,25,<1,<1,12
2017-07,1,25,<1,0,12
2017-08,1,27,<1,<1,12
2017-09,1,33,<1,<1,15
2017-10,1,30,<1,<1,13
2017-11,1,33,<1,<1,13
2017-12,1,28,<1,<1,13
2018-01,1,30,<1,<1,14
2018-02,1,32,<1,<1,14
2018-03,1,34,<1,<1,14
2018-04,1,31,<1,<1,15
2018-05,1,28,<1,<1,14
2018-06,1,24,<1,<1,12
2018-07,1,25,<1,<1,11
2018-08,1,26,<1,<1,10
2018-09,1,27,<1,<1,11
2018-10,1,25,<1,<1,12
2018-11,1,24,<1,<1,11
2018-12,1,26,<1,<1,13
2019-01,1,25,<1,<1,15
2019-02,1,29,<1,1,13
2019-03,1,28,<1,1,13
2019-04,1,25,<1,<1,14
2019-05,1,24,<1,1,21
2019-06,1,22,<1,<1,28
2019-07,1,28,<1,<1,18
2019-08,1,35,<1,<1,14
2019-09,1,32,1,<1,14
2019-10,2,26,1,1,15
2019-11,2,29,1,1,20
2019-12,2,28,1,1,18
2020-01,4,29,1,1,19
2020-02,4,31,<1,1,18
2020-03,2,29,<1,1,15
2020-04,2,32,<1,1,19
2020-05,2,25,<1,1,21
2020-06,2,20,1,1,23
2020-07,2,21,<1,<1,19
2020-08,3,22,<1,<1,21
2020-09,5,26,1,1,27
2020-10,5,23,<1,1,25
2020-11,6,21,<1,<1,24
2020-12,8,27,<1,<1,30
2021-01,6,26,<1,<1,25
2021-02,6,31,<1,<1,29
2021-03,6,34,<1,1,32
2021-04,6,31,<1,<1,25
2021-05,6,27,<1,<1,31
2021-06,8,29,<1,1,32
