类别：所有类别

月份,环境、社会和公司治理: (印度尼西亚),企业社会责任: (印度尼西亚),Impact investing: (印度尼西亚),社會責任投資: (印度尼西亚),可持续发展: (印度尼西亚)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,74,0,0,0
2005-05,0,36,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,50,0,0,0
2005-09,0,0,0,0,0
2005-10,0,56,0,0,0
2005-11,0,53,0,0,0
2005-12,0,42,0,0,36
2006-01,0,61,0,0,0
2006-02,0,66,0,0,28
2006-03,0,83,0,0,41
2006-04,0,49,0,0,33
2006-05,0,55,0,0,0
2006-06,0,36,0,0,0
2006-07,0,46,0,0,0
2006-08,0,35,0,0,0
2006-09,0,56,0,0,0
2006-10,0,56,0,0,0
2006-11,0,63,0,0,0
2006-12,0,58,0,0,0
2007-01,0,45,0,0,0
2007-02,0,48,0,0,23
2007-03,0,62,16,0,0
2007-04,0,80,0,0,15
2007-05,0,86,0,0,24
2007-06,0,79,0,0,0
2007-07,0,80,0,0,11
2007-08,0,93,0,0,0
2007-09,0,98,0,0,10
2007-10,0,78,0,0,15
2007-11,0,75,0,0,18
2007-12,0,94,0,0,12
2008-01,0,88,0,0,15
2008-02,0,82,0,0,16
2008-03,0,100,0,0,17
2008-04,0,95,0,0,12
2008-05,0,86,0,0,14
2008-06,0,72,0,0,9
2008-07,0,72,0,0,7
2008-08,0,61,0,0,0
2008-09,0,72,0,0,5
2008-10,0,69,0,0,10
2008-11,0,75,0,0,7
2008-12,0,61,0,0,9
2009-01,0,57,0,0,17
2009-02,0,57,0,0,12
2009-03,0,76,0,0,20
2009-04,0,73,0,0,11
2009-05,0,59,0,0,10
2009-06,0,57,0,0,12
2009-07,0,48,0,0,6
2009-08,0,41,0,0,7
2009-09,0,40,0,5,10
2009-10,0,64,0,0,9
2009-11,0,52,0,0,12
2009-12,0,48,0,0,7
2010-01,0,43,0,0,13
2010-02,0,45,0,0,13
2010-03,0,56,0,0,10
2010-04,0,51,0,0,8
2010-05,0,50,0,0,8
2010-06,0,51,0,0,8
2010-07,0,31,0,0,4
2010-08,0,33,0,0,4
2010-09,0,37,0,0,0
2010-10,0,53,0,0,8
2010-11,0,46,0,0,5
2010-12,0,40,0,0,6
2011-01,0,36,0,0,9
2011-02,0,32,0,0,9
2011-03,0,42,0,0,7
2011-04,0,37,0,0,6
2011-05,1,35,0,0,8
2011-06,0,35,0,0,7
2011-07,0,29,0,0,4
2011-08,0,23,0,0,4
2011-09,0,31,0,0,6
2011-10,0,47,0,0,6
2011-11,0,40,0,0,6
2011-12,0,33,0,0,5
2012-01,0,31,0,0,8
2012-02,0,31,0,0,9
2012-03,0,36,0,0,8
2012-04,0,33,0,0,7
2012-05,0,34,0,0,8
2012-06,0,34,0,0,7
2012-07,0,27,0,0,3
2012-08,0,19,0,0,3
2012-09,0,36,0,0,6
2012-10,0,39,<1,0,6
2012-11,0,35,0,0,6
2012-12,0,26,<1,0,4
2013-01,0,30,0,0,8
2013-02,0,26,0,0,10
2013-03,0,29,0,0,9
2013-04,0,29,0,0,8
2013-05,<1,27,0,0,7
2013-06,0,27,0,0,6
2013-07,0,20,0,0,2
2013-08,0,16,0,0,2
2013-09,0,30,0,0,6
2013-10,0,34,0,0,6
2013-11,<1,29,0,0,5
2013-12,0,25,0,0,4
2014-01,0,26,0,0,7
2014-02,0,22,0,0,10
2014-03,0,26,0,0,9
2014-04,0,25,0,0,7
2014-05,0,24,0,0,8
2014-06,<1,25,0,0,8
2014-07,<1,14,0,0,2
2014-08,0,15,0,0,4
2014-09,0,30,0,0,6
2014-10,0,31,0,0,5
2014-11,0,31,0,0,5
2014-12,0,26,0,0,5
2015-01,<1,24,0,0,6
2015-02,0,22,0,0,9
2015-03,0,26,0,0,9
2015-04,0,30,0,0,10
2015-05,0,24,0,0,11
2015-06,0,26,0,0,7
2015-07,<1,15,0,0,1
2015-08,0,20,0,0,4
2015-09,0,27,0,0,7
2015-10,<1,32,0,0,7
2015-11,0,31,0,0,6
2015-12,0,27,0,0,5
2016-01,0,23,0,0,7
2016-02,0,21,0,0,10
2016-03,0,23,0,0,10
2016-04,0,29,0,0,9
2016-05,0,26,0,0,12
2016-06,0,23,0,0,5
2016-07,0,12,0,0,2
2016-08,<1,15,0,0,4
2016-09,0,25,0,0,6
2016-10,0,29,0,0,6
2016-11,0,27,0,<1,6
2016-12,0,25,0,0,5
2017-01,0,22,0,0,8
2017-02,0,22,0,0,11
2017-03,0,24,0,0,12
2017-04,<1,26,0,0,11
2017-05,<1,24,0,0,12
2017-06,0,18,0,0,5
2017-07,<1,17,0,0,3
2017-08,<1,16,0,0,5
2017-09,<1,23,0,0,6
2017-10,0,29,0,0,8
2017-11,0,26,0,<1,10
2017-12,0,22,0,0,6
2018-01,0,22,0,0,7
2018-02,0,21,0,<1,11
2018-03,0,24,0,<1,16
2018-04,0,23,0,<1,14
2018-05,0,27,0,<1,12
2018-06,<1,13,0,0,4
2018-07,<1,20,0,0,6
2018-08,<1,16,<1,0,9
2018-09,<1,21,0,<1,11
2018-10,<1,30,0,<1,13
2018-11,<1,27,0,<1,14
2018-12,<1,23,<1,<1,12
2019-01,<1,23,0,<1,8
2019-02,<1,22,<1,<1,9
2019-03,<1,23,<1,<1,12
2019-04,<1,24,<1,<1,12
2019-05,1,23,<1,<1,7
2019-06,<1,17,<1,<1,3
2019-07,1,21,<1,<1,5
2019-08,1,17,<1,<1,6
2019-09,1,25,<1,<1,7
2019-10,1,29,<1,1,10
2019-11,1,28,<1,1,9
2019-12,1,23,<1,1,6
2020-01,1,21,<1,1,5
2020-02,1,23,<1,1,7
2020-03,1,24,<1,1,9
2020-04,1,20,<1,1,8
2020-05,1,19,<1,1,5
2020-06,1,21,<1,1,6
2020-07,1,19,<1,1,3
2020-08,1,13,<1,<1,4
2020-09,1,16,<1,<1,8
2020-10,1,22,<1,<1,9
2020-11,1,25,<1,<1,12
2020-12,1,19,<1,<1,9
2021-01,1,17,<1,<1,5
2021-02,1,20,<1,<1,5
2021-03,1,21,<1,1,9
2021-04,1,21,<1,1,8
2021-05,1,16,<1,<1,5
2021-06,2,21,<1,1,5
2021-07,2,15,1,1,3
2021-08,2,13,<1,1,5
2021-09,3,16,<1,1,8
2021-10,2,20,<1,<1,10
2021-11,3,26,<1,1,14
2021-12,2,18,<1,<1,11
2022-01,3,23,<1,<1,7
2022-02,2,25,<1,<1,9
2022-03,3,33,<1,<1,15
2022-04,3,27,<1,<1,10
2022-05,3,20,<1,<1,7
2022-06,3,27,<1,<1,8
2022-07,3,19,<1,<1,5
2022-08,3,17,<1,<1,10
2022-09,3,27,<1,<1,12
2022-10,4,33,<1,<1,18
2022-11,3,32,<1,<1,25
2022-12,3,26,<1,<1,13
2023-01,4,23,<1,<1,7
2023-02,4,24,<1,<1,9
2023-03,4,28,<1,<1,11
2023-04,3,17,<1,<1,7
2023-05,4,27,<1,<1,10
2023-06,4,23,<1,<1,9
2023-07,5,17,<1,<1,6
2023-08,5,19,0,<1,9
2023-09,5,23,<1,<1,12
2023-10,5,30,<1,<1,14
2023-11,5,26,0,<1,20
2023-12,5,21,0,0,14
2024-01,5,18,0,<1,7
2024-02,5,19,0,0,9
2024-03,5,23,0,<1,11
2024-04,4,21,0,<1,8
2024-05,6,25,0,<1,11
2024-06,6,21,<1,<1,9
2024-07,7,19,0,<1,6
2024-08,7,16,0,<1,9
2024-09,7,22,0,<1,13
2024-10,9,34,0,<1,17
2024-11,8,29,<1,<1,24
2024-12,7,28,0,<1,21
2025-01,6,22,<1,<1,8
2025-02,8,24,0,<1,11
2025-03,7,25,<1,<1,13
