类别：所有类别

月份,环境、社会和公司治理: (爱尔兰),企业社会责任: (爱尔兰),Impact investing: (爱尔兰),社會責任投資: (爱尔兰),可持续发展: (爱尔兰)
2005-01,0,0,0,0,74
2005-02,0,0,0,0,0
2005-03,0,61,0,0,0
2005-04,0,0,0,0,100
2005-05,0,0,0,0,56
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,53,0,0,0
2005-11,0,82,0,0,61
2005-12,0,0,0,0,0
2006-01,0,36,0,0,0
2006-02,0,81,0,0,46
2006-03,0,52,0,0,34
2006-04,0,91,0,0,51
2006-05,0,47,0,0,32
2006-06,0,53,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,31,0,0,0
2006-11,0,53,0,0,29
2006-12,0,29,0,0,36
2007-01,0,38,0,0,21
2007-02,0,46,0,0,0
2007-03,0,57,0,0,26
2007-04,0,32,0,0,37
2007-05,0,34,0,0,25
2007-06,0,0,0,0,0
2007-07,0,37,0,0,0
2007-08,0,16,0,0,16
2007-09,0,30,0,0,17
2007-10,0,50,0,0,30
2007-11,0,45,0,0,19
2007-12,0,21,0,0,0
2008-01,0,38,0,0,15
2008-02,0,48,0,0,24
2008-03,0,52,0,0,13
2008-04,0,46,0,0,26
2008-05,0,31,0,0,23
2008-06,0,29,0,0,0
2008-07,0,25,0,0,18
2008-08,0,28,0,0,0
2008-09,0,38,0,0,13
2008-10,0,40,0,0,21
2008-11,0,62,0,0,23
2008-12,0,46,0,0,0
2009-01,0,22,0,0,25
2009-02,0,33,0,0,25
2009-03,0,44,0,0,24
2009-04,0,40,0,0,24
2009-05,0,36,0,0,15
2009-06,0,28,0,0,10
2009-07,0,22,0,0,11
2009-08,0,16,0,0,16
2009-09,0,27,0,0,17
2009-10,0,37,0,0,17
2009-11,0,49,0,0,23
2009-12,0,22,0,0,19
2010-01,0,38,0,0,14
2010-02,0,52,0,0,18
2010-03,0,41,0,0,15
2010-04,0,45,0,0,18
2010-05,0,39,0,0,24
2010-06,0,13,0,0,19
2010-07,0,18,0,0,12
2010-08,0,23,0,0,0
2010-09,0,21,0,0,11
2010-10,0,35,0,0,18
2010-11,0,45,0,0,0
2010-12,0,22,0,0,8
2011-01,0,25,0,0,11
2011-02,0,23,0,0,14
2011-03,6,38,0,0,16
2011-04,0,35,0,0,22
2011-05,0,21,0,0,13
2011-06,0,15,0,0,0
2011-07,0,12,0,0,6
2011-08,0,18,0,0,5
2011-09,0,23,0,0,10
2011-10,0,32,0,0,10
2011-11,0,36,0,0,21
2011-12,0,25,0,0,8
2012-01,0,24,0,0,13
2012-02,0,23,0,0,8
2012-03,0,36,0,0,11
2012-04,0,34,0,0,14
2012-05,0,29,0,0,10
2012-06,0,20,0,0,7
2012-07,0,20,0,0,6
2012-08,0,24,0,0,7
2012-09,0,22,0,0,9
2012-10,0,41,0,0,11
2012-11,0,43,0,0,12
2012-12,0,31,0,0,8
2013-01,0,29,0,0,7
2013-02,0,28,0,0,11
2013-03,0,31,0,3,12
2013-04,0,46,0,0,11
2013-05,0,30,0,0,8
2013-06,0,17,0,0,4
2013-07,0,18,0,0,0
2013-08,0,23,0,0,4
2013-09,0,27,0,0,8
2013-10,3,43,0,0,8
2013-11,0,40,0,0,8
2013-12,0,27,0,0,7
2014-01,3,30,3,0,9
2014-02,0,34,0,3,7
2014-03,0,31,0,0,9
2014-04,0,43,0,0,10
2014-05,0,31,0,0,8
2014-06,0,25,0,0,3
2014-07,4,20,0,0,6
2014-08,0,22,0,0,4
2014-09,0,25,0,0,7
2014-10,0,36,0,0,13
2014-11,3,41,0,0,9
2014-12,0,30,0,0,7
2015-01,0,30,0,0,8
2015-02,0,35,0,0,7
2015-03,0,43,0,0,13
2015-04,4,45,0,0,12
2015-05,5,38,0,0,10
2015-06,0,27,0,0,0
2015-07,0,21,0,0,4
2015-08,0,27,0,0,5
2015-09,0,26,0,0,12
2015-10,5,38,0,0,12
2015-11,0,43,0,0,13
2015-12,0,39,0,4,11
2016-01,0,28,0,0,11
2016-02,3,38,0,0,12
2016-03,0,46,0,0,9
2016-04,0,47,0,0,17
2016-05,4,44,0,0,11
2016-06,0,27,0,0,5
2016-07,0,25,0,0,6
2016-08,4,19,0,0,6
2016-09,0,31,0,0,8
2016-10,4,40,0,0,12
2016-11,0,42,0,0,14
2016-12,0,25,0,0,9
2017-01,0,37,0,0,13
2017-02,0,36,0,3,16
2017-03,0,46,0,3,17
2017-04,0,39,0,0,14
2017-05,0,30,0,0,15
2017-06,0,21,0,0,8
2017-07,3,26,0,0,8
2017-08,0,22,0,0,8
