类别：所有类别

月份,环境、社会和公司治理: (意大利),企业社会责任: (意大利),Impact investing: (意大利),社會責任投資: (意大利),可持续发展: (意大利)
2005-01,0,99,0,14,92
2005-02,0,94,0,0,81
2005-03,0,93,0,0,65
2005-04,0,80,0,0,91
2005-05,0,78,0,0,97
2005-06,0,82,0,0,65
2005-07,0,78,0,0,69
2005-08,0,53,0,0,40
2005-09,0,88,0,0,71
2005-10,0,88,0,0,65
2005-11,0,83,0,0,75
2005-12,0,68,0,0,54
2006-01,0,67,0,0,71
2006-02,0,65,0,0,80
2006-03,0,65,0,0,59
2006-04,0,54,0,0,50
2006-05,0,54,0,0,66
2006-06,0,62,0,0,45
2006-07,0,56,0,0,28
2006-08,0,38,0,0,29
2006-09,0,60,0,0,49
2006-10,0,55,0,0,49
2006-11,0,57,0,0,60
2006-12,0,39,0,0,50
2007-01,0,56,0,0,63
2007-02,0,57,0,0,56
2007-03,0,52,0,0,61
2007-04,0,48,0,0,44
2007-05,0,54,0,0,71
2007-06,0,56,0,0,58
2007-07,0,44,0,0,37
2007-08,0,38,0,0,21
2007-09,0,45,0,0,39
2007-10,0,52,0,0,48
2007-11,0,50,0,0,53
2007-12,0,38,0,0,42
2008-01,0,45,0,0,47
2008-02,0,46,0,0,50
2008-03,3,40,0,0,44
2008-04,0,37,0,0,46
2008-05,0,51,0,0,46
2008-06,0,39,0,0,45
2008-07,0,37,0,0,25
2008-08,0,29,0,0,19
2008-09,3,47,0,0,35
2008-10,5,43,0,0,35
2008-11,0,45,0,0,47
2008-12,0,35,0,0,34
2009-01,0,38,0,0,35
2009-02,4,38,0,0,39
2009-03,0,36,0,0,35
2009-04,0,38,0,0,34
2009-05,0,36,0,0,37
2009-06,0,38,0,0,33
2009-07,0,28,0,0,21
2009-08,0,28,0,0,15
2009-09,3,30,0,0,30
2009-10,0,38,0,0,33
2009-11,0,37,0,0,33
2009-12,0,26,0,0,28
2010-01,0,34,0,0,30
2010-02,0,31,0,2,26
2010-03,0,33,0,0,30
2010-04,3,34,0,0,31
2010-05,0,32,0,0,33
2010-06,0,29,0,0,26
2010-07,0,30,0,0,14
2010-08,3,20,0,0,15
2010-09,3,32,0,0,22
2010-10,0,35,0,0,27
2010-11,0,38,0,0,31
2010-12,0,32,0,0,19
2011-01,1,32,0,0,21
2011-02,1,28,0,0,24
2011-03,1,29,0,0,23
2011-04,2,27,0,0,24
2011-05,1,30,0,0,27
2011-06,2,33,0,0,23
2011-07,2,29,0,0,16
2011-08,1,23,0,0,12
2011-09,1,29,0,0,18
2011-10,3,35,0,0,22
2011-11,2,34,0,0,29
2011-12,1,28,0,0,21
2012-01,2,30,0,1,24
2012-02,2,30,0,0,28
2012-03,2,33,0,0,29
2012-04,2,29,0,0,20
2012-05,2,31,0,0,23
2012-06,2,31,0,0,22
2012-07,2,34,0,0,13
2012-08,2,28,0,0,10
2012-09,2,35,0,0,15
2012-10,2,36,0,1,22
2012-11,2,33,1,0,23
2012-12,2,28,0,0,15
2013-01,1,32,0,0,23
2013-02,2,31,0,1,20
2013-03,2,33,0,0,18
2013-04,2,33,0,0,22
2013-05,2,36,0,0,20
2013-06,2,32,0,0,34
2013-07,2,30,0,1,10
2013-08,2,24,0,0,8
2013-09,2,30,0,0,14
2013-10,2,34,0,1,18
2013-11,1,33,0,1,20
2013-12,1,30,0,0,14
2014-01,2,34,0,0,17
