类别：所有类别

月份,环境、社会和公司治理: (日本),企业社会责任: (日本),Impact investing: (日本),社會責任投資: (日本),可持续发展: (日本)
2005-01,0,81,0,0,9
2005-02,0,70,0,0,0
2005-03,0,75,0,3,5
2005-04,0,66,0,0,0
2005-05,0,65,0,0,6
2005-06,0,74,0,0,6
2005-07,0,81,0,0,4
2005-08,0,75,0,0,5
2005-09,0,76,0,0,5
2005-10,0,79,0,0,5
2005-11,0,77,0,0,5
2005-12,0,71,0,0,4
2006-01,0,87,0,3,6
2006-02,3,83,0,0,4
2006-03,0,73,0,0,3
2006-04,0,83,0,3,3
2006-05,0,70,0,3,6
2006-06,3,87,0,2,5
2006-07,4,82,0,0,4
2006-08,0,77,0,0,0
2006-09,0,71,0,0,3
2006-10,0,82,0,0,5
2006-11,0,87,0,0,4
2006-12,2,77,0,2,2
2007-01,0,87,0,3,4
2007-02,2,82,0,0,3
2007-03,0,79,0,0,2
2007-04,0,100,0,0,2
2007-05,2,85,0,0,3
2007-06,0,85,0,2,4
2007-07,0,94,0,2,5
2007-08,0,81,0,0,3
2007-09,2,77,0,2,3
2007-10,0,93,0,2,4
2007-11,2,85,0,0,3
2007-12,2,91,0,2,5
2008-01,0,97,0,0,7
2008-02,0,89,0,0,4
2008-03,2,83,0,0,4
2008-04,0,89,0,1,5
2008-05,1,82,0,1,6
2008-06,1,93,0,1,5
2008-07,2,97,0,0,5
2008-08,0,80,0,0,6
2008-09,0,75,0,0,6
2008-10,2,90,0,1,8
2008-11,2,78,0,0,8
2008-12,2,84,0,0,6
2009-01,0,82,0,0,6
2009-02,1,78,0,1,6
2009-03,2,69,0,1,7
2009-04,2,72,0,0,7
2009-05,1,64,0,0,8
2009-06,2,82,0,0,11
2009-07,2,79,0,1,7
2009-08,1,68,0,0,9
2009-09,2,69,0,0,8
2009-10,2,78,0,0,10
2009-11,2,74,0,0,11
2009-12,2,66,0,0,7
2010-01,1,77,0,0,8
2010-02,2,75,0,0,9
2010-03,2,66,0,1,9
2010-04,2,75,0,0,11
2010-05,2,72,0,0,11
2010-06,2,78,0,0,8
2010-07,2,71,0,0,7
2010-08,2,62,0,0,8
2010-09,2,66,0,0,11
2010-10,2,71,0,0,10
2010-11,2,72,0,1,11
2010-12,2,65,0,0,6
2011-01,2,70,0,1,3
2011-02,1,64,0,1,2
2011-03,1,50,0,0,1
2011-04,1,58,0,1,2
2011-05,1,54,0,1,2
2011-06,1,62,0,1,2
2011-07,1,59,0,1,3
2011-08,1,45,0,0,1
2011-09,1,49,0,1,1
2011-10,1,54,0,0,2
2011-11,1,56,0,0,1
2011-12,1,49,0,0,2
2012-01,1,54,0,1,2
2012-02,1,49,0,0,2
2012-03,1,43,0,0,1
2012-04,1,45,0,0,1
2012-05,1,44,0,<1,2
2012-06,2,46,0,0,3
2012-07,1,46,0,0,2
2012-08,1,36,0,0,2
2012-09,1,37,0,0,1
2012-10,1,41,0,0,2
2012-11,1,39,0,<1,1
2012-12,1,35,0,0,1
2013-01,1,39,0,<1,2
2013-02,1,36,0,0,1
2013-03,1,34,0,0,1
2013-04,1,38,0,0,1
2013-05,1,33,0,0,2
2013-06,1,37,0,<1,1
2013-07,1,39,0,<1,1
2013-08,1,28,0,<1,1
2013-09,1,29,0,0,1
2013-10,1,33,0,<1,1
2013-11,1,35,0,0,1
2013-12,1,33,0,<1,1
2014-01,1,39,0,0,2
2014-02,1,33,0,<1,1
2014-03,1,27,0,0,1
2014-04,1,35,0,<1,1
2014-05,1,31,0,<1,1
2014-06,1,36,0,<1,2
2014-07,1,38,0,<1,2
2014-08,1,28,0,0,1
2014-09,1,32,<1,0,1
2014-10,1,35,<1,<1,2
2014-11,1,36,0,<1,2
2014-12,1,31,0,<1,1
2015-01,2,36,0,<1,2
2015-02,1,31,0,<1,2
2015-03,1,31,0,0,1
2015-04,2,34,0,0,1
2015-05,1,33,0,<1,1
2015-06,2,35,0,0,1
2015-07,2,35,0,<1,2
2015-08,1,25,0,<1,1
2015-09,2,27,0,<1,2
2015-10,3,31,0,<1,3
