类别：所有类别

月份,环境、社会和公司治理: (墨西哥),企业社会责任: (墨西哥),Impact investing: (墨西哥),社會責任投資: (墨西哥),可持续发展: (墨西哥)
2005-01,0,0,0,0,51
2005-02,0,9,0,0,68
2005-03,0,0,0,0,62
2005-04,0,0,0,0,73
2005-05,0,4,0,0,77
2005-06,0,0,0,0,55
2005-07,0,0,0,0,23
2005-08,0,4,0,0,92
2005-09,0,3,0,0,73
2005-10,0,4,0,0,68
2005-11,0,4,0,0,90
2005-12,0,0,0,0,51
2006-01,0,3,0,0,37
2006-02,0,0,0,0,63
2006-03,0,4,0,0,58
2006-04,0,0,0,0,47
2006-05,0,3,0,0,76
2006-06,0,3,0,0,56
2006-07,0,3,0,0,17
2006-08,0,4,0,0,76
2006-09,0,3,0,0,88
2006-10,0,2,0,0,70
2006-11,0,2,0,0,64
2006-12,0,3,0,0,42
2007-01,0,3,0,0,32
2007-02,0,2,0,0,49
2007-03,0,4,0,0,39
2007-04,0,3,0,0,35
2007-05,0,3,0,0,72
2007-06,0,3,0,0,48
2007-07,0,2,0,0,15
2007-08,0,2,0,0,77
2007-09,0,3,0,0,79
2007-10,0,4,0,0,74
2007-11,0,4,0,0,69
2007-12,0,2,0,0,45
2008-01,0,3,0,0,37
2008-02,0,3,0,0,46
2008-03,0,3,0,0,32
2008-04,0,3,0,0,51
2008-05,0,4,0,0,62
2008-06,0,3,0,0,42
2008-07,0,2,0,0,15
2008-08,0,2,0,0,77
2008-09,1,3,0,0,79
2008-10,0,3,0,0,63
2008-11,1,4,0,0,62
2008-12,0,2,0,0,37
2009-01,1,2,0,0,31
2009-02,0,3,0,0,42
2009-03,0,3,0,0,45
2009-04,0,4,0,0,30
2009-05,0,4,0,0,55
2009-06,0,3,0,0,51
2009-07,0,2,0,0,14
2009-08,0,3,0,0,58
2009-09,0,4,0,0,76
2009-10,0,4,0,0,64
2009-11,0,5,0,0,64
2009-12,0,2,0,0,44
2010-01,0,3,0,0,38
2010-02,0,3,0,0,53
2010-03,0,4,0,0,41
2010-04,0,4,0,0,44
2010-05,0,4,0,0,58
2010-06,0,3,0,0,39
2010-07,0,3,0,0,12
2010-08,0,2,0,0,47
2010-09,0,3,0,0,61
2010-10,0,4,0,0,61
2010-11,0,6,0,0,62
2010-12,0,2,0,0,42
2011-01,0,2,0,0,44
2011-02,0,3,0,0,45
2011-03,0,4,0,0,38
2011-04,0,3,0,0,30
2011-05,0,3,0,0,53
2011-06,<1,3,0,0,40
2011-07,0,2,0,0,11
2011-08,<1,2,0,0,44
2011-09,<1,3,0,0,59
2011-10,<1,3,0,0,54
2011-11,0,5,0,0,61
2011-12,0,2,0,0,38
2012-01,<1,2,0,0,48
2012-02,<1,4,0,0,55
2012-03,0,3,0,0,48
2012-04,<1,3,0,0,32
2012-05,0,3,0,0,56
2012-06,<1,3,0,0,38
2012-07,0,3,0,0,11
2012-08,<1,3,0,0,47
2012-09,<1,4,0,0,55
2012-10,0,4,0,0,45
2012-11,<1,6,0,0,56
2012-12,0,2,0,0,36
2013-01,<1,3,0,0,44
2013-02,<1,4,0,0,51
2013-03,<1,4,0,0,30
2013-04,<1,4,0,0,38
2013-05,<1,5,0,0,56
2013-06,<1,4,0,0,33
2013-07,0,3,0,0,10
2013-08,<1,3,0,0,30
2013-09,<1,4,0,0,38
2013-10,<1,5,0,0,36
2013-11,<1,7,0,0,50
2013-12,<1,3,0,0,32
2014-01,<1,4,0,0,40
2014-02,<1,4,0,0,50
2014-03,<1,4,0,0,33
2014-04,<1,4,0,0,28
2014-05,<1,5,0,0,52
2014-06,<1,4,0,0,40
2014-07,<1,3,0,0,11
2014-08,<1,4,0,0,28
2014-09,<1,4,0,0,38
2014-10,<1,5,0,0,33
2014-11,<1,6,0,0,45
2014-12,<1,4,0,0,34
2015-01,<1,4,0,0,39
2015-02,<1,5,0,0,52
2015-03,<1,5,0,0,31
2015-04,<1,5,0,0,30
2015-05,<1,4,0,0,50
2015-06,0,3,0,0,38
2015-07,<1,3,0,0,12
2015-08,<1,4,0,0,29
2015-09,<1,5,0,0,50
2015-10,<1,5,0,0,33
2015-11,<1,7,0,0,46
2015-12,0,3,0,0,35
2016-01,<1,4,0,0,37
2016-02,<1,4,0,0,52
2016-03,<1,4,0,0,24
2016-04,<1,4,0,0,35
2016-05,<1,4,0,0,49
2016-06,<1,3,0,0,34
2016-07,<1,3,0,0,10
2016-08,<1,4,0,0,29
2016-09,<1,4,0,0,49
2016-10,<1,6,0,0,35
2016-11,0,9,0,0,45
2016-12,0,4,0,0,30
2017-01,0,5,0,0,44
2017-02,<1,6,0,0,56
2017-03,<1,5,0,<1,34
2017-04,0,5,0,0,28
2017-05,0,6,0,0,57
2017-06,0,4,0,0,47
2017-07,0,3,0,<1,16
2017-08,0,4,0,0,38
2017-09,<1,6,0,0,50
2017-10,0,6,0,0,37
2017-11,0,8,0,0,45
2017-12,0,4,0,0,33
2018-01,<1,4,0,0,45
2018-02,<1,5,0,0,74
2018-03,0,5,0,<1,37
2018-04,0,6,0,<1,33
2018-05,0,7,0,<1,61
2018-06,0,4,0,<1,41
2018-07,0,4,0,<1,14
2018-08,0,5,0,<1,42
2018-09,0,7,0,0,51
2018-10,0,6,0,<1,35
2018-11,<1,8,0,<1,46
2018-12,0,4,0,<1,23
2019-01,<1,4,0,<1,37
2019-02,0,5,0,<1,77
2019-03,<1,5,0,<1,46
2019-04,<1,5,0,1,26
2019-05,<1,5,0,<1,46
2019-06,0,5,0,<1,33
2019-07,<1,4,0,<1,13
2019-08,<1,5,<1,<1,40
2019-09,<1,7,<1,<1,55
2019-10,<1,6,0,<1,37
2019-11,<1,7,0,<1,40
2019-12,<1,3,0,<1,21
2020-01,<1,3,0,<1,33
2020-02,<1,5,<1,1,82
2020-03,<1,5,0,<1,48
2020-04,<1,5,0,<1,44
2020-05,<1,6,0,<1,69
2020-06,<1,5,0,<1,41
2020-07,<1,4,0,<1,15
2020-08,<1,4,0,<1,19
2020-09,<1,5,0,<1,43
2020-10,<1,5,0,<1,63
2020-11,<1,5,0,<1,39
2020-12,1,4,0,<1,29
2021-01,1,3,0,<1,24
2021-02,1,4,0,0,78
2021-03,1,4,0,<1,82
2021-04,1,4,0,<1,42
2021-05,1,5,0,<1,57
2021-06,1,4,0,<1,48
2021-07,1,3,0,0,15
2021-08,1,4,<1,<1,19
2021-09,1,5,0,<1,33
2021-10,1,4,0,<1,29
2021-11,1,6,0,<1,39
2021-12,1,4,0,<1,20
2022-01,1,4,0,<1,32
2022-02,2,7,0,1,87
2022-03,2,7,0,<1,100
2022-04,2,6,0,<1,44
2022-05,2,7,0,<1,60
2022-06,2,5,0,<1,49
2022-07,2,4,0,<1,18
2022-08,2,5,0,<1,32
2022-09,2,6,0,<1,48
2022-10,2,6,<1,<1,42
2022-11,2,7,0,<1,50
2022-12,2,4,0,<1,23
2023-01,2,4,<1,<1,36
2023-02,2,6,0,<1,86
2023-03,3,6,0,<1,75
2023-04,4,4,0,<1,32
2023-05,5,6,0,0,48
2023-06,3,4,0,0,40
2023-07,3,3,0,0,15
2023-08,3,4,0,<1,28
2023-09,2,5,0,0,47
2023-10,3,5,0,<1,42
2023-11,2,7,<1,<1,42
2023-12,2,3,0,0,18
2024-01,2,4,0,0,26
2024-02,3,6,0,<1,69
2024-03,2,5,0,0,46
2024-04,3,5,0,0,38
2024-05,3,4,0,0,37
2024-06,3,4,0,0,27
2024-07,3,3,0,0,12
2024-08,3,4,0,0,21
2024-09,2,5,0,0,35
2024-10,2,5,0,<1,30
2024-11,3,5,0,0,28
2024-12,2,3,0,0,15
2025-01,2,4,0,<1,24
2025-02,3,5,0,0,40
2025-03,3,4,<1,<1,40
