类别：所有类别

月份,环境、社会和公司治理: (荷兰),企业社会责任: (荷兰),Impact investing: (荷兰),社會責任投資: (荷兰),可持续发展: (荷兰)
2005-01,3,10,0,0,3
2005-02,3,11,0,0,4
2005-03,2,12,0,0,5
2005-04,4,11,0,0,5
2005-05,4,8,0,0,5
2005-06,4,8,0,0,5
2005-07,0,7,0,0,3
2005-08,2,7,0,0,3
2005-09,3,9,0,0,5
2005-10,2,12,0,2,6
2005-11,2,9,0,0,4
2005-12,2,9,0,0,3
2006-01,2,8,0,0,4
2006-02,2,10,0,0,3
2006-03,3,10,0,0,4
2006-04,3,9,0,0,4
2006-05,2,8,0,0,5
2006-06,3,9,0,0,3
2006-07,2,7,0,0,3
2006-08,1,6,0,0,3
2006-09,1,9,0,0,4
2006-10,2,7,0,0,4
2006-11,2,9,0,0,4
2006-12,2,10,0,1,3
2007-01,2,10,0,0,3
2007-02,2,9,0,0,3
2007-03,1,10,0,0,3
2007-04,2,9,0,0,3
2007-05,2,10,0,0,4
2007-06,2,9,0,1,3
2007-07,1,7,0,1,2
2007-08,2,8,0,0,2
2007-09,3,11,0,0,3
2007-10,2,12,0,1,4
2007-11,2,11,0,1,4
2007-12,2,10,0,0,3
2008-01,3,9,0,1,3
2008-02,2,11,0,0,2
2008-03,1,10,0,1,4
2008-04,2,12,0,1,3
2008-05,2,11,0,0,4
2008-06,1,11,0,1,4
2008-07,1,8,0,0,1
2008-08,1,7,0,0,2
2008-09,1,10,0,0,3
2008-10,1,12,0,1,4
2008-11,1,13,0,1,3
2008-12,0,9,0,0,2
2009-01,1,10,0,0,3
2009-02,1,9,0,1,3
2009-03,1,12,0,0,4
2009-04,1,11,0,0,4
2009-05,1,9,0,0,3
2009-06,1,10,0,1,3
2009-07,1,6,0,1,2
2009-08,1,7,0,0,2
2009-09,1,13,0,0,3
2009-10,1,12,0,0,3
2009-11,1,12,0,0,3
2009-12,1,9,0,0,2
2010-01,1,11,0,1,3
2010-02,1,11,0,1,3
2010-03,1,12,0,1,4
2010-04,1,10,0,0,3
2010-05,1,10,0,1,3
2010-06,1,13,0,0,3
2010-07,1,7,0,0,2
2010-08,1,7,0,0,1
2010-09,1,11,0,0,3
2010-10,1,11,0,1,3
2010-11,1,11,0,1,3
2010-12,1,9,0,0,2
2011-01,1,10,0,0,2
2011-02,1,10,0,0,3
2011-03,1,12,0,<1,2
2011-04,1,10,0,0,2
2011-05,1,10,0,0,2
2011-06,1,10,0,<1,2
2011-07,1,7,0,<1,1
2011-08,1,7,0,<1,1
2011-09,1,11,0,0,2
2011-10,1,11,0,1,2
2011-11,1,11,0,<1,3
2011-12,1,8,0,<1,2
2012-01,1,9,0,<1,2
2012-02,1,10,0,0,2
2012-03,1,10,0,<1,2
2012-04,1,9,0,<1,2
2012-05,1,10,0,1,2
2012-06,1,9,0,1,2
2012-07,1,6,0,1,1
2012-08,1,6,0,<1,1
2012-09,1,10,0,<1,3
2012-10,1,10,<1,<1,2
2012-11,1,9,0,0,2
2012-12,1,8,0,<1,2
2013-01,1,8,0,<1,2
2013-02,1,10,0,1,2
2013-03,1,9,0,<1,2
2013-04,1,9,0,1,2
2013-05,1,9,0,1,2
2013-06,1,9,0,1,2
2013-07,1,6,0,<1,1
2013-08,1,5,0,<1,1
2013-09,1,9,0,0,2
2013-10,1,10,0,<1,2
2013-11,1,9,<1,1,2
2013-12,1,8,0,<1,1
2014-01,1,8,0,1,2
2014-02,1,9,0,<1,2
2014-03,1,10,<1,<1,2
2014-04,1,8,<1,1,2
2014-05,1,9,0,1,2
2014-06,1,9,<1,1,2
2014-07,1,5,0,<1,1
2014-08,1,5,0,1,2
2014-09,1,9,0,1,3
2014-10,1,9,<1,<1,2
2014-11,1,9,0,<1,2
2014-12,1,7,<1,<1,2
2015-01,1,8,<1,<1,2
2015-02,1,9,<1,<1,2
2015-03,1,9,<1,<1,3
2015-04,1,8,0,1,2
2015-05,1,9,0,<1,2
2015-06,1,9,0,<1,3
2015-07,1,6,0,1,1
2015-08,1,5,0,<1,2
2015-09,1,9,<1,<1,3
2015-10,1,9,0,1,3
2015-11,1,9,0,1,3
2015-12,1,6,0,1,2
2016-01,1,8,<1,<1,3
2016-02,1,8,<1,<1,3
2016-03,1,9,<1,<1,3
2016-04,1,8,<1,<1,3
2016-05,1,9,<1,<1,3
2016-06,1,8,<1,<1,3
2016-07,1,5,<1,<1,1
2016-08,1,5,<1,<1,2
2016-09,1,8,<1,<1,3
2016-10,1,8,0,<1,3
2016-11,1,9,<1,<1,43
2016-12,1,8,<1,1,30
2017-01,1,8,1,1,37
2017-02,1,10,<1,<1,50
2017-03,1,11,<1,1,53
2017-04,1,9,<1,<1,41
2017-05,1,12,<1,<1,49
2017-06,1,11,<1,<1,43
2017-07,1,6,<1,<1,30
2017-08,1,7,<1,<1,31
2017-09,1,9,<1,<1,46
2017-10,1,12,1,<1,57
2017-11,1,12,<1,1,100
2017-12,1,8,0,1,39
2018-01,1,11,<1,1,43
2018-02,1,10,<1,1,46
2018-03,1,12,0,1,51
2018-04,1,11,<1,1,47
