类别：所有类别

月份,环境、社会和公司治理: (挪威),企业社会责任: (挪威),Impact investing: (挪威),社會責任投資: (挪威),可持续发展: (挪威)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,63
2005-05,0,0,0,0,0
2005-06,0,0,0,0,53
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,50,0,0,0
2005-11,0,37,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,43,0,0,46
2006-05,0,30,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,35
2006-10,0,26,0,0,27
2006-11,0,62,0,0,31
2006-12,0,0,0,0,34
2007-01,0,0,0,0,28
2007-02,0,19,0,0,30
2007-03,0,30,0,0,48
2007-04,0,33,0,0,42
2007-05,0,23,0,0,54
2007-06,0,0,0,0,37
2007-07,0,0,0,0,0
2007-08,0,18,0,0,0
2007-09,0,0,0,0,0
2007-10,0,13,0,0,24
2007-11,0,21,0,0,27
2007-12,0,0,0,0,22
2008-01,0,23,0,0,26
2008-02,0,22,0,0,26
2008-03,0,43,0,0,35
2008-04,0,19,0,0,61
2008-05,0,32,0,0,69
2008-06,0,14,0,0,40
2008-07,0,0,0,0,0
2008-08,0,14,0,0,0
2008-09,0,25,0,0,18
2008-10,0,29,0,0,28
2008-11,0,41,0,0,37
2008-12,0,13,0,0,24
2009-01,0,30,0,0,30
2009-02,0,29,0,0,34
2009-03,0,22,0,0,37
2009-04,0,23,0,0,40
2009-05,0,23,0,0,71
2009-06,0,25,0,0,27
2009-07,0,12,0,0,0
2009-08,0,23,0,0,9
2009-09,0,25,0,0,30
2009-10,0,34,0,0,27
2009-11,0,40,0,0,24
2009-12,0,30,0,0,23
2010-01,0,20,0,0,25
2010-02,0,21,0,0,23
2010-03,0,29,0,0,36
2010-04,0,24,0,0,43
2010-05,0,24,0,0,54
2010-06,0,24,0,0,20
2010-07,0,10,0,0,0
2010-08,0,14,0,0,0
2010-09,0,69,0,0,29
2010-10,0,100,0,0,35
2010-11,0,48,0,0,24
2010-12,0,31,0,0,23
2011-01,0,23,0,0,24
2011-02,0,26,0,0,25
2011-03,0,22,0,0,41
2011-04,0,22,0,0,29
2011-05,4,22,0,0,72
2011-06,0,20,0,0,24
2011-07,0,8,0,0,7
2011-08,0,11,0,0,15
2011-09,0,44,0,0,31
2011-10,0,42,0,0,32
2011-11,0,39,0,0,36
2011-12,0,19,0,0,22
2012-01,0,18,0,0,25
2012-02,0,16,0,0,33
2012-03,0,20,0,0,40
2012-04,0,18,0,0,42
2012-05,0,15,0,0,62
2012-06,0,15,0,0,34
2012-07,0,12,0,0,8
2012-08,0,19,0,0,14
2012-09,0,34,0,0,39
2012-10,0,26,0,0,25
2012-11,0,34,0,0,31
2012-12,0,17,0,0,16
2013-01,0,16,0,0,24
2013-02,0,23,0,0,28
2013-03,0,20,0,0,30
2013-04,0,22,0,0,42
2013-05,3,26,0,0,53
2013-06,0,16,0,0,22
2013-07,0,9,0,0,0
2013-08,0,18,0,0,13
2013-09,0,41,0,0,33
2013-10,0,34,0,0,27
2013-11,0,30,0,0,27
2013-12,0,18,0,0,16
2014-01,0,21,0,0,22
2014-02,0,22,0,0,30
2014-03,0,22,0,0,32
2014-04,0,17,0,0,31
2014-05,3,23,0,0,50
2014-06,0,16,0,0,23
2014-07,4,10,0,0,5
2014-08,0,16,0,0,10
2014-09,0,34,0,0,30
2014-10,0,41,0,0,32
2014-11,3,23,0,0,33
2014-12,0,15,0,0,22
2015-01,0,18,0,0,35
2015-02,0,18,0,0,28
2015-03,3,20,0,0,37
2015-04,0,23,0,0,43
2015-05,0,19,0,0,59
2015-06,0,13,0,0,29
2015-07,0,7,0,0,6
2015-08,0,17,0,0,14
2015-09,0,23,0,0,35
2015-10,3,23,0,0,34
2015-11,0,29,0,0,33
2015-12,0,14,0,0,22
2016-01,0,18,0,0,25
2016-02,0,19,0,0,26
2016-03,3,17,0,0,29
2016-04,3,22,0,0,35
2016-05,3,22,0,0,53
2016-06,4,14,0,0,28
2016-07,0,8,0,0,5
2016-08,0,10,0,0,14
2016-09,3,19,0,0,30
2016-10,0,18,0,0,34
2016-11,0,30,0,0,34
2016-12,0,29,0,0,24
2017-01,0,18,0,0,30
2017-02,4,17,0,0,32
2017-03,2,23,0,0,42
2017-04,0,22,0,0,37
2017-05,0,25,0,0,55
2017-06,0,14,0,0,24
2017-07,0,9,0,0,4
2017-08,3,14,0,0,15
2017-09,3,22,0,0,43
2017-10,3,26,0,0,45
2017-11,3,19,0,0,42
2017-12,0,18,0,0,27
2018-01,3,15,0,0,36
2018-02,0,20,0,0,35
2018-03,3,18,0,0,36
2018-04,0,22,0,0,50
2018-05,3,22,0,0,54
2018-06,3,14,0,0,35
2018-07,0,8,0,0,6
2018-08,3,18,0,0,23
2018-09,5,22,0,0,54
2018-10,5,24,0,3,45
2018-11,4,18,0,0,45
2018-12,2,14,0,0,27
2019-01,4,14,0,0,40
2019-02,5,19,0,0,39
2019-03,5,13,0,2,44
2019-04,6,18,0,0,48
2019-05,6,19,0,0,54
2019-06,7,15,0,2,35
2019-07,3,9,0,0,6
2019-08,8,14,0,0,19
2019-09,9,21,0,0,48
2019-10,10,24,0,0,49
2019-11,9,20,0,0,48
2019-12,8,15,0,0,25
2020-01,10,15,0,3,50
2020-02,12,13,0,0,48
2020-03,7,16,0,0,48
2020-04,8,15,0,0,49
2020-05,8,16,0,2,59
2020-06,12,10,0,0,24
2020-07,8,12,0,2,6
2020-08,13,16,0,2,30
2020-09,21,23,0,0,58
2020-10,24,19,0,0,60
2020-11,17,21,0,0,55
2020-12,18,15,0,0,35
2021-01,21,14,0,3,50
2021-02,21,16,0,0,62
2021-03,19,12,0,2,63
2021-04,17,15,0,0,76
2021-05,16,14,0,0,72
2021-06,18,9,0,0,23
2021-07,13,7,0,0,6
2021-08,17,14,0,0,18
2021-09,24,20,0,0,48
2021-10,19,23,0,0,49
2021-11,25,20,0,0,55
2021-12,18,15,0,0,31
2022-01,28,17,2,0,51
2022-02,24,17,0,2,55
2022-03,29,19,0,0,67
2022-04,25,14,0,2,59
2022-05,30,19,0,2,83
2022-06,26,12,2,0,31
2022-07,16,8,0,2,5
2022-08,25,15,0,0,21
2022-09,42,22,0,0,52
2022-10,33,31,0,0,49
2022-11,30,21,2,0,51
2022-12,30,15,0,0,28
2023-01,35,8,0,0,46
2023-02,34,11,0,2,46
2023-03,32,11,0,0,61
2023-04,31,9,0,0,59
2023-05,30,9,0,0,61
2023-06,33,8,0,0,33
2023-07,16,7,0,0,5
2023-08,29,14,0,0,18
2023-09,37,19,0,0,36
2023-10,36,16,0,0,33
2023-11,36,17,0,2,36
2023-12,24,9,0,0,20
2024-01,30,9,0,0,32
2024-02,35,10,0,0,34
2024-03,28,8,0,0,39
2024-04,33,12,0,0,57
2024-05,31,9,0,0,54
2024-06,26,7,0,0,27
2024-07,21,6,0,0,4
2024-08,21,7,0,0,20
2024-09,31,11,0,2,31
2024-10,32,10,0,0,31
2024-11,31,11,0,2,28
2024-12,23,8,0,0,18
2025-01,26,7,0,0,29
2025-02,26,10,0,0,29
2025-03,32,7,<1,1,41
