类别：所有类别

月份,环境、社会和公司治理: (新加坡),企业社会责任: (新加坡),Impact investing: (新加坡),社會責任投資: (新加坡),可持续发展: (新加坡)
2005-01,0,0,0,0,0
2005-02,0,52,0,0,0
2005-03,0,68,0,0,0
2005-04,0,59,0,0,0
2005-05,0,38,0,0,0
2005-06,0,40,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,39,0,0,0
2005-10,0,31,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,30,0,0,0
2006-02,0,39,0,0,40
2006-03,0,31,0,0,0
2006-04,0,57,0,0,0
2006-05,0,25,0,0,29
2006-06,0,30,0,0,0
2006-07,0,31,0,0,0
2006-08,0,25,0,0,0
2006-09,0,48,0,0,0
2006-10,0,76,0,0,21
2006-11,0,51,0,0,0
2006-12,0,44,0,0,0
2007-01,0,68,0,0,19
2007-02,0,44,0,0,0
2007-03,0,39,0,0,0
2007-04,0,46,0,0,20
2007-05,0,53,0,0,0
2007-06,0,36,0,0,16
2007-07,0,59,0,0,0
2007-08,0,39,0,0,0
2007-09,0,62,0,0,16
2007-10,0,47,0,0,17
2007-11,0,37,0,0,0
2007-12,0,29,0,0,0
2008-01,0,62,0,0,24
2008-02,0,86,0,0,0
2008-03,0,93,0,0,16
2008-04,0,68,0,0,17
2008-05,0,47,0,0,12
2008-06,0,50,0,0,0
2008-07,0,46,0,0,22
2008-08,0,53,0,0,28
2008-09,0,68,0,0,12
2008-10,0,72,0,0,0
2008-11,0,48,0,0,12
2008-12,0,27,0,0,14
2009-01,0,52,0,0,11
2009-02,0,65,0,0,9
2009-03,0,65,0,0,14
2009-04,0,56,0,0,20
2009-05,0,34,0,0,18
2009-06,0,39,0,0,11
2009-07,0,35,0,0,10
2009-08,0,47,0,0,14
2009-09,0,58,0,0,21
2009-10,0,69,0,0,17
2009-11,0,48,0,0,15
2009-12,0,34,0,0,11
2010-01,0,45,0,0,19
2010-02,0,83,0,0,21
2010-03,0,92,0,0,16
2010-04,0,52,0,0,17
2010-05,0,46,0,0,13
2010-06,0,41,0,0,18
2010-07,0,44,0,0,12
2010-08,0,59,0,0,13
2010-09,0,62,0,0,16
2010-10,0,77,0,0,9
2010-11,0,53,0,0,11
2010-12,0,47,0,0,10
2011-01,0,55,0,0,9
2011-02,0,71,0,0,6
2011-03,0,70,0,0,9
2011-04,0,54,0,0,11
2011-05,0,53,0,0,7
2011-06,5,47,0,0,7
2011-07,0,42,0,0,10
2011-08,0,59,0,0,16
2011-09,0,61,0,0,12
2011-10,0,51,0,0,11
2011-11,0,41,0,0,13
2011-12,0,40,0,0,7
2012-01,0,43,0,4,8
2012-02,0,63,0,0,11
2012-03,4,54,0,3,12
2012-04,0,48,0,0,8
2012-05,3,54,3,0,7
2012-06,3,42,0,0,8
2012-07,0,43,0,0,5
2012-08,0,42,0,0,7
2012-09,0,51,0,0,9
2012-10,4,63,0,0,10
2012-11,0,53,0,0,9
2012-12,0,32,0,0,3
2013-01,3,60,0,0,7
2013-02,3,40,0,0,6
2013-03,0,54,0,0,7
2013-04,3,53,0,0,10
2013-05,0,38,0,0,8
2013-06,3,37,0,0,6
2013-07,0,47,0,0,5
2013-08,3,43,0,0,8
2013-09,3,53,0,0,7
2013-10,2,55,0,0,9
2013-11,0,40,0,0,10
2013-12,0,26,0,0,4
2014-01,0,41,0,0,7
2014-02,0,51,0,0,9
2014-03,3,52,2,0,7
2014-04,3,49,0,0,9
2014-05,2,47,0,0,5
2014-06,0,37,3,0,6
2014-07,4,41,0,0,4
2014-08,3,42,0,0,8
2014-09,2,45,2,0,9
2014-10,0,54,0,0,8
2014-11,0,50,0,0,7
2014-12,3,29,0,0,4
2015-01,4,44,2,0,10
2015-02,0,42,0,0,7
2015-03,0,45,0,0,8
2015-04,4,49,0,0,7
2015-05,2,38,0,0,8
2015-06,3,38,0,0,7
2015-07,3,38,0,0,7
2015-08,3,42,0,0,7
