类别：所有类别

月份,环境、社会和公司治理: (南非),企业社会责任: (南非),Impact investing: (南非),社會責任投資: (南非),可持续发展: (南非)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,65
2005-03,0,47,0,0,100
2005-04,0,52,0,0,61
2005-05,0,30,0,0,75
2005-06,0,37,0,29,0
2005-07,0,29,0,0,30
2005-08,0,0,0,0,37
2005-09,0,25,0,0,35
2005-10,0,0,0,0,25
2005-11,0,30,0,0,39
2005-12,0,0,0,0,0
2006-01,0,27,0,0,0
2006-02,0,33,0,0,30
2006-03,0,31,0,0,42
2006-04,0,28,0,0,45
2006-05,0,30,0,0,31
2006-06,0,22,0,24,29
2006-07,0,40,0,0,19
2006-08,0,59,0,16,21
2006-09,0,17,0,0,26
2006-10,0,27,0,13,26
2006-11,0,14,0,0,13
2006-12,0,0,0,0,0
2007-01,0,17,0,0,13
2007-02,0,16,0,0,18
2007-03,0,25,0,19,20
2007-04,0,21,0,0,24
2007-05,0,25,0,9,38
2007-06,0,28,0,10,28
2007-07,0,17,0,0,20
2007-08,0,19,0,10,29
2007-09,0,35,0,17,32
2007-10,0,25,0,9,25
2007-11,0,14,0,8,17
2007-12,0,0,0,0,0
2008-01,0,20,0,9,17
2008-02,0,28,0,11,14
2008-03,0,31,0,11,19
2008-04,0,30,0,15,33
2008-05,0,34,0,9,32
2008-06,0,23,0,0,19
2008-07,0,20,0,6,22
2008-08,0,36,0,13,29
2008-09,0,31,0,17,27
2008-10,0,22,0,10,21
2008-11,0,22,0,8,20
2008-12,0,9,0,10,11
2009-01,0,16,0,0,10
2009-02,0,35,0,18,15
2009-03,0,50,0,22,26
2009-04,0,33,0,8,20
2009-05,0,37,0,15,33
2009-06,0,23,0,8,22
2009-07,0,20,0,10,22
2009-08,0,29,0,14,23
2009-09,0,31,0,10,21
2009-10,0,23,0,10,20
2009-11,0,21,0,8,19
2009-12,0,12,0,0,9
2010-01,0,19,0,10,12
2010-02,0,37,0,15,19
2010-03,0,45,0,15,34
2010-04,0,27,0,10,27
2010-05,0,28,0,8,23
2010-06,0,22,0,0,12
2010-07,0,23,0,12,16
2010-08,0,25,0,10,32
2010-09,0,27,0,11,25
2010-10,0,27,0,8,20
2010-11,0,15,0,9,16
2010-12,0,15,0,8,0
2011-01,0,13,0,6,9
2011-02,0,39,0,14,14
2011-03,0,45,0,17,21
2011-04,0,30,0,10,19
2011-05,0,25,0,7,22
2011-06,0,21,0,5,12
2011-07,0,14,0,6,13
2011-08,0,28,0,7,24
2011-09,0,26,0,6,21
2011-10,2,23,0,8,20
2011-11,0,16,0,7,14
2011-12,0,8,0,0,6
2012-01,0,17,0,7,7
2012-02,0,46,0,21,15
2012-03,0,42,0,20,21
2012-04,0,27,0,9,27
2012-05,0,41,0,9,24
2012-06,3,21,0,6,14
2012-07,2,24,0,7,16
2012-08,0,24,0,6,23
2012-09,0,28,0,4,20
2012-10,0,23,0,7,17
2012-11,0,17,0,5,10
2012-12,0,9,0,2,6
2013-01,2,19,0,5,8
2013-02,0,38,0,14,14
2013-03,0,35,1,10,17
2013-04,0,32,1,5,17
2013-05,0,40,0,9,18
2013-06,1,19,0,4,11
2013-07,2,21,0,6,9
2013-08,0,31,0,6,20
2013-09,0,25,0,6,15
2013-10,1,21,0,5,12
2013-11,1,13,0,3,9
2013-12,0,6,0,1,3
2014-01,1,9,0,2,4
2014-02,1,18,0,4,8
2014-03,1,20,0,5,11
2014-04,0,33,0,8,13
2014-05,1,49,0,10,12
2014-06,1,29,0,6,8
2014-07,0,18,0,5,9
2014-08,1,28,0,4,21
2014-09,0,23,0,3,19
2014-10,1,18,0,4,9
2014-11,0,13,0,3,8
2014-12,1,8,0,2,2
2015-01,1,10,0,2,3
2015-02,0,16,1,4,8
2015-03,2,22,0,4,12
2015-04,0,26,0,5,13
2015-05,1,53,0,10,13
2015-06,0,24,0,4,8
2015-07,1,18,0,4,9
2015-08,1,23,0,4,21
2015-09,2,20,0,4,20
2015-10,1,15,0,3,11
2015-11,1,13,0,2,10
2015-12,0,6,0,1,4
2016-01,0,9,0,2,5
2016-02,2,19,0,4,7
2016-03,1,21,1,3,9
2016-04,1,46,0,8,12
2016-05,1,63,0,13,13
2016-06,1,18,0,3,9
2016-07,1,15,1,2,7
2016-08,2,22,1,4,17
2016-09,1,17,0,3,16
2016-10,1,13,0,2,9
2016-11,1,10,0,1,8
2016-12,1,6,0,1,4
2017-01,1,8,1,2,6
2017-02,1,17,0,1,9
2017-03,1,24,1,1,15
2017-04,0,35,0,1,13
2017-05,1,53,1,4,16
2017-06,1,25,1,3,9
2017-07,1,14,0,1,8
2017-08,1,26,1,2,23
2017-09,2,23,1,1,23
2017-10,2,17,1,1,13
2017-11,1,12,0,1,8
2017-12,1,6,0,0,3
2018-01,1,8,0,1,4
2018-02,1,16,0,1,11
2018-03,1,24,1,1,14
2018-04,1,41,0,2,17
2018-05,2,61,1,8,17
2018-06,2,18,1,4,10
2018-07,1,15,1,2,11
2018-08,2,21,1,3,25
2018-09,2,15,1,1,18
2018-10,2,14,1,1,11
2018-11,2,10,1,2,8
2018-12,1,5,0,1,3
2019-01,2,6,1,2,6
2019-02,2,12,1,2,10
2019-03,2,17,1,2,14
2019-04,2,25,1,5,14
2019-05,2,37,1,8,13
2019-06,2,13,1,3,8
2019-07,3,12,1,3,12
2019-08,2,22,1,8,25
2019-09,2,14,1,3,14
2019-10,3,12,1,2,9
2019-11,2,10,1,2,6
2019-12,1,4,1,1,2
2020-01,3,6,1,2,3
2020-02,3,13,1,3,9
2020-03,2,13,1,2,10
2020-04,2,15,1,2,9
2020-05,2,15,1,2,10
2020-06,3,16,1,1,11
2020-07,3,13,1,2,8
2020-08,3,19,1,1,10
2020-09,4,17,1,2,16
2020-10,4,14,1,1,15
