类别：所有类别

月份,环境、社会和公司治理: (韩国),企业社会责任: (韩国),Impact investing: (韩国),社會責任投資: (韩国),可持续发展: (韩国)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,50,0,0,0
2005-05,0,0,0,0,0
2005-06,0,59,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,35,0,0,0
2005-10,0,60,0,0,0
2005-11,0,51,0,0,32
2005-12,0,58,0,0,35
2006-01,0,38,0,0,0
2006-02,0,43,0,0,0
2006-03,0,50,0,0,0
2006-04,0,34,0,0,28
2006-05,0,29,0,0,0
2006-06,0,31,0,0,0
2006-07,0,40,0,0,0
2006-08,0,27,0,0,0
2006-09,0,25,0,0,0
2006-10,0,49,0,0,0
2006-11,0,31,0,0,24
2006-12,0,30,0,0,0
2007-01,0,60,0,0,27
2007-02,0,24,0,0,0
2007-03,0,34,0,0,30
2007-04,0,40,0,0,39
2007-05,0,32,0,0,0
2007-06,0,37,0,0,24
2007-07,0,25,0,0,0
2007-08,0,40,0,0,0
2007-09,0,29,0,0,0
2007-10,0,34,0,0,20
2007-11,0,44,0,0,0
2007-12,0,29,0,0,20
2008-01,0,50,0,0,0
2008-02,0,32,0,0,0
2008-03,0,40,0,0,12
2008-04,0,43,0,0,0
2008-05,0,38,0,0,0
2008-06,0,43,0,0,21
2008-07,0,48,0,0,12
2008-08,0,45,0,0,13
2008-09,0,54,0,0,16
2008-10,0,31,0,0,0
2008-11,0,54,0,0,12
2008-12,0,42,0,0,0
2009-01,0,23,0,0,0
2009-02,0,41,0,0,13
2009-03,12,44,0,0,0
2009-04,0,46,0,0,18
2009-05,0,44,0,0,15
2009-06,0,42,0,0,13
2009-07,0,35,0,0,15
2009-08,0,45,0,0,24
2009-09,0,20,0,0,15
2009-10,0,42,0,0,14
2009-11,0,49,0,0,22
2009-12,0,43,0,0,21
2010-01,0,36,0,0,16
2010-02,0,18,0,0,15
2010-03,0,34,0,0,0
2010-04,0,38,0,0,13
2010-05,0,50,0,0,15
2010-06,0,44,0,0,17
2010-07,0,35,0,0,11
2010-08,0,34,0,0,9
2010-09,0,18,0,0,9
2010-10,0,27,0,0,9
2010-11,0,29,0,0,7
2010-12,0,19,0,0,7
2011-01,0,17,0,0,3
2011-02,0,16,0,0,4
2011-03,0,26,0,0,4
2011-04,0,29,0,0,5
2011-05,0,29,0,0,6
2011-06,0,26,0,0,6
2011-07,0,22,0,0,6
2011-08,0,17,0,0,9
2011-09,0,25,0,0,3
2011-10,0,27,0,0,6
2011-11,0,32,0,0,3
2011-12,0,19,0,0,8
2012-01,0,15,0,0,3
2012-02,0,15,0,0,3
2012-03,0,19,0,0,3
2012-04,0,24,0,3,5
2012-05,0,30,0,0,8
2012-06,0,23,0,0,6
2012-07,2,26,0,0,6
2012-08,0,19,0,0,5
2012-09,0,20,0,0,8
2012-10,0,24,0,2,7
2012-11,2,28,0,0,6
2012-12,0,23,0,0,7
2013-01,0,17,0,2,4
2013-02,0,16,0,0,4
2013-03,0,21,0,0,6
2013-04,0,25,0,0,6
2013-05,0,26,0,0,7
2013-06,0,23,0,0,6
2013-07,3,20,0,0,5
2013-08,0,14,0,0,4
2013-09,0,18,0,0,5
2013-10,2,25,0,0,6
2013-11,0,28,0,0,6
2013-12,0,21,0,0,4
2014-01,0,18,0,0,5
2014-02,1,18,0,0,5
2014-03,0,24,0,0,6
2014-04,2,30,0,0,6
2014-05,0,32,0,0,6
2014-06,0,20,0,0,6
2014-07,0,20,0,0,4
2014-08,0,15,0,1,3
2014-09,0,20,0,0,6
2014-10,0,25,0,0,7
2014-11,0,26,0,0,8
2014-12,0,20,0,0,6
2015-01,0,17,0,1,4
2015-02,0,14,0,0,3
2015-03,0,29,0,0,8
2015-04,0,24,0,0,9
2015-05,0,28,0,0,11
2015-06,1,22,0,0,9
2015-07,0,17,0,0,6
2015-08,0,15,0,0,6
2015-09,0,19,0,0,8
2015-10,0,23,0,1,11
2015-11,0,25,0,0,8
2015-12,0,18,0,0,8
2016-01,0,16,0,0,5
2016-02,1,14,0,0,4
2016-03,1,26,2,0,9
2016-04,1,22,1,0,8
2016-05,1,26,0,0,11
2016-06,0,23,0,0,9
2016-07,0,18,0,0,5
2016-08,2,13,0,0,5
2016-09,1,21,0,0,6
2016-10,1,20,0,0,7
2016-11,1,29,0,0,12
2016-12,1,20,0,0,10
2017-01,0,15,0,0,5
2017-02,1,16,0,0,5
2017-03,1,24,0,0,9
2017-04,0,25,0,0,9
2017-05,0,22,0,0,9
2017-06,2,19,0,0,10
2017-07,2,15,0,0,7
2017-08,1,16,0,0,7
2017-09,3,19,0,0,10
2017-10,1,19,0,0,12
2017-11,2,24,0,0,11
2017-12,2,18,0,0,8
2018-01,2,16,0,0,7
2018-02,2,12,1,0,4
2018-03,2,20,1,0,7
2018-04,1,19,1,0,7
2018-05,2,23,0,0,9
2018-06,2,20,0,0,8
2018-07,1,17,1,0,5
2018-08,2,15,0,0,5
2018-09,2,17,0,0,8
2018-10,2,21,0,0,8
2018-11,3,24,1,1,9
2018-12,2,18,0,0,6
2019-01,2,16,0,1,4
2019-02,3,14,0,1,4
2019-03,4,21,1,1,8
2019-04,3,22,0,0,9
2019-05,3,24,1,0,9
2019-06,3,21,1,1,10
2019-07,3,16,0,2,8
2019-08,2,14,0,2,6
2019-09,2,21,1,1,8
2019-10,3,22,1,1,9
2019-11,3,24,2,1,11
2019-12,4,19,1,2,10
2020-01,4,15,1,2,7
2020-02,5,15,1,3,6
2020-03,5,17,1,2,6
2020-04,4,22,1,2,8
2020-05,4,24,1,3,8
2020-06,5,25,1,3,10
2020-07,5,18,1,3,7
2020-08,5,14,1,2,7
2020-09,7,19,1,5,10
2020-10,13,22,2,5,11
2020-11,18,24,0,2,11
2020-12,18,17,1,2,12
2021-01,37,13,0,3,6
2021-02,51,13,1,3,6
2021-03,57,17,1,2,10
2021-04,64,21,2,2,11
2021-05,71,20,1,1,12
2021-06,74,20,2,2,11
2021-07,70,16,1,1,9
2021-08,61,13,1,1,9
2021-09,77,17,1,1,12
2021-10,76,18,1,1,12
2021-11,87,19,1,1,12
2021-12,67,15,1,1,12
2022-01,70,16,0,1,8
2022-02,75,19,1,1,7
2022-03,97,21,1,1,13
2022-04,85,25,<1,1,11
2022-05,90,24,1,1,15
2022-06,86,22,0,1,12
2022-07,76,20,1,1,14
2022-08,68,18,1,1,9
2022-09,90,19,1,1,14
2022-10,85,20,1,1,15
2022-11,100,18,0,1,15
2022-12,73,18,1,1,13
2023-01,66,14,0,1,7
2023-02,71,14,1,1,7
2023-03,86,19,1,1,13
2023-04,75,20,1,1,11
2023-05,84,22,2,3,16
2023-06,75,21,3,4,16
2023-07,78,22,2,4,17
2023-08,77,19,3,3,13
2023-09,84,22,3,3,15
2023-10,86,22,2,4,17
2023-11,93,23,2,4,19
2023-12,79,20,2,3,16
2024-01,75,19,3,4,13
2024-02,71,22,2,4,11
2024-03,87,24,2,4,15
2024-04,92,23,2,6,15
2024-05,85,22,2,5,17
2024-06,72,24,2,4,15
2024-07,80,18,2,5,16
2024-08,73,19,2,5,14
2024-09,77,18,1,4,17
2024-10,73,19,1,3,18
2024-11,78,19,1,3,17
2024-12,55,15,0,1,14
2025-01,46,11,1,1,8
2025-02,56,16,2,3,10
2025-03,59,15,<1,1,12
