类别：所有类别

月份,环境、社会和公司治理: (西班牙),企业社会责任: (西班牙),Impact investing: (西班牙),社會責任投資: (西班牙),可持续发展: (西班牙)
2005-01,0,57,0,0,82
2005-02,0,44,0,0,94
2005-03,0,64,0,0,62
2005-04,0,64,0,0,83
2005-05,0,68,0,0,94
2005-06,0,59,0,0,70
2005-07,0,60,0,0,41
2005-08,0,49,0,0,45
2005-09,10,50,0,0,49
2005-10,0,61,0,0,68
2005-11,0,73,0,0,79
2005-12,0,51,0,0,51
2006-01,0,47,0,0,69
2006-02,0,52,0,0,64
2006-03,0,62,0,0,57
2006-04,0,62,0,0,53
2006-05,6,73,0,0,65
2006-06,0,75,0,0,68
2006-07,0,60,0,0,32
2006-08,0,50,0,0,27
2006-09,0,52,0,0,32
2006-10,0,60,0,0,57
2006-11,6,53,0,0,59
2006-12,0,43,0,0,56
2007-01,0,42,0,0,46
2007-02,0,48,0,0,51
2007-03,4,50,0,0,46
2007-04,0,47,0,0,38
2007-05,5,53,0,0,61
2007-06,0,52,0,0,48
2007-07,5,51,0,0,28
2007-08,0,43,0,0,25
2007-09,6,51,0,0,33
2007-10,3,50,0,0,58
2007-11,6,57,0,0,59
2007-12,0,42,0,0,48
2008-01,4,52,0,0,52
2008-02,0,44,0,0,52
2008-03,3,46,0,0,46
2008-04,4,51,0,0,56
2008-05,3,43,0,0,59
2008-06,4,41,0,0,48
2008-07,4,41,0,0,33
2008-08,3,27,0,0,30
2008-09,3,44,0,0,38
2008-10,4,44,0,0,55
2008-11,4,47,0,0,56
2008-12,4,34,0,0,38
2009-01,0,36,0,0,39
2009-02,6,41,0,0,47
2009-03,0,39,0,0,54
2009-04,2,39,0,0,51
2009-05,3,40,0,0,74
2009-06,0,38,0,0,55
2009-07,3,36,0,0,32
2009-08,2,28,0,0,31
2009-09,3,42,0,0,47
2009-10,3,46,0,2,57
2009-11,3,42,0,0,62
2009-12,0,31,0,0,44
2010-01,2,34,0,0,44
2010-02,3,37,0,0,53
2010-03,3,41,0,0,56
2010-04,4,44,0,0,57
2010-05,3,43,0,0,67
2010-06,2,33,0,0,52
2010-07,3,29,0,0,27
2010-08,3,24,0,0,36
2010-09,6,40,0,0,45
2010-10,6,47,0,2,59
2010-11,3,44,0,2,51
2010-12,5,30,0,1,39
2011-01,4,32,0,0,33
2011-02,4,36,0,0,35
2011-03,4,42,0,2,37
2011-04,2,39,0,0,33
2011-05,4,35,0,0,50
2011-06,5,35,0,0,53
2011-07,5,29,0,0,18
2011-08,4,22,0,0,13
2011-09,4,35,0,0,26
2011-10,5,47,0,0,30
2011-11,4,44,0,0,37
2011-12,6,36,0,0,34
2012-01,4,31,0,0,34
2012-02,3,37,0,0,37
2012-03,5,35,0,0,36
2012-04,5,35,0,1,29
2012-05,4,36,0,0,42
2012-06,5,33,0,0,29
2012-07,5,30,0,0,17
2012-08,4,21,0,0,11
2012-09,4,37,0,0,23
2012-10,4,47,0,0,26
2012-11,5,39,0,0,27
2012-12,4,31,0,0,23
2013-01,4,30,0,0,24
2013-02,5,32,0,0,26
2013-03,4,33,0,1,24
2013-04,3,36,0,0,30
2013-05,5,36,0,1,33
2013-06,5,30,0,0,27
2013-07,5,25,0,0,10
2013-08,3,18,0,0,9
2013-09,6,32,0,0,18
2013-10,5,54,0,1,24
2013-11,5,48,0,1,27
2013-12,4,41,0,0,21
2014-01,4,33,0,0,24
2014-02,5,35,0,1,23
2014-03,5,36,0,0,24
2014-04,5,36,0,0,26
2014-05,4,40,0,0,36
2014-06,5,31,0,0,28
2014-07,6,27,0,0,13
2014-08,4,21,0,0,11
2014-09,3,37,0,0,21
2014-10,4,54,0,0,25
2014-11,2,47,0,0,28
2014-12,4,39,0,0,20
2015-01,4,33,0,0,25
2015-02,4,37,0,0,29
2015-03,5,38,0,1,28
2015-04,4,35,0,0,31
2015-05,4,39,0,1,33
2015-06,4,32,0,1,28
2015-07,3,24,0,0,12
2015-08,4,20,0,0,11
2015-09,2,36,0,0,23
2015-10,4,52,0,0,28
2015-11,4,49,0,0,32
2015-12,2,35,0,0,25
2016-01,3,33,0,0,27
2016-02,4,37,1,0,36
2016-03,4,39,0,0,29
2016-04,4,38,0,1,31
2016-05,4,39,0,1,33
2016-06,3,34,0,0,30
2016-07,3,25,0,0,13
2016-08,3,18,0,0,13
2016-09,4,40,0,0,19
2016-10,3,50,0,0,30
2016-11,1,80,0,0,34
2016-12,0,55,0,1,27
2017-01,0,54,0,0,30
2017-02,0,60,0,1,36
2017-03,1,60,0,1,41
2017-04,1,50,0,0,32
2017-05,1,63,0,1,38
2017-06,2,42,0,1,32
2017-07,1,29,0,0,15
2017-08,1,20,0,0,11
2017-09,2,48,0,0,24
2017-10,1,70,0,0,29
2017-11,2,70,1,0,33
2017-12,1,47,0,0,23
2018-01,2,47,0,1,29
2018-02,2,50,0,2,40
2018-03,2,49,0,3,42
2018-04,0,49,0,4,43
2018-05,0,55,0,4,53
2018-06,0,39,0,4,40
2018-07,1,32,0,3,25
2018-08,0,24,1,2,17
2018-09,1,49,0,2,28
2018-10,1,72,1,1,42
2018-11,1,67,1,3,46
2018-12,1,45,1,2,32
2019-01,3,47,0,3,37
2019-02,3,53,0,4,54
2019-03,2,52,0,5,51
2019-04,3,45,1,5,47
2019-05,4,50,0,6,59
2019-06,3,44,1,6,48
2019-07,2,30,0,4,31
2019-08,2,22,1,3,23
2019-09,3,49,0,4,41
2019-10,2,72,1,5,57
2019-11,3,64,0,5,58
2019-12,2,42,1,5,41
2020-01,3,44,1,7,55
2020-02,4,50,1,8,61
2020-03,4,50,1,6,57
2020-04,3,53,1,6,55
2020-05,3,58,1,6,71
2020-06,4,40,0,7,51
2020-07,4,28,1,5,30
2020-08,3,20,1,4,21
2020-09,6,44,1,8,37
2020-10,5,70,0,8,52
2020-11,7,69,0,4,53
2020-12,8,42,0,5,46
2021-01,11,42,0,5,42
2021-02,16,47,0,5,57
2021-03,17,47,0,4,60
2021-04,14,45,1,4,53
2021-05,17,55,1,4,69
2021-06,18,35,1,3,51
2021-07,18,26,0,3,24
2021-08,11,20,0,2,19
2021-09,22,49,1,7,47
2021-10,21,72,0,10,64
2021-11,24,75,0,12,63
2021-12,18,51,0,9,54
2022-01,22,56,0,12,62
2022-02,28,60,1,15,81
2022-03,32,64,1,12,82
2022-04,30,55,1,7,72
2022-05,33,68,1,8,87
2022-06,34,46,1,7,77
2022-07,27,30,1,5,37
2022-08,18,23,0,4,24
2022-09,33,55,1,7,69
2022-10,30,75,0,6,86
2022-11,33,85,1,7,96
2022-12,26,51,1,5,68
2023-01,32,51,1,6,80
2023-02,40,55,1,7,100
2023-03,39,56,1,4,94
2023-04,33,50,1,2,74
2023-05,34,56,1,3,87
2023-06,38,43,1,2,72
2023-07,32,26,1,2,37
2023-08,24,21,1,2,25
2023-09,38,52,1,2,66
2023-10,40,80,1,2,84
2023-11,39,75,2,2,84
2023-12,29,48,0,1,59
2024-01,34,49,1,2,69
2024-02,48,57,1,2,82
2024-03,39,45,1,2,77
2024-04,42,50,1,1,83
2024-05,40,57,1,2,85
2024-06,38,39,2,3,72
2024-07,32,27,1,2,32
2024-08,22,20,1,2,21
2024-09,39,47,2,2,63
2024-10,45,73,1,3,92
2024-11,42,63,1,3,82
2024-12,33,43,1,2,58
2025-01,40,46,1,2,65
2025-02,43,43,2,2,74
2025-03,40,43,1,3,72
