类别：所有类别

月份,环境、社会和公司治理: (瑞典),企业社会责任: (瑞典),Impact investing: (瑞典),社會責任投資: (瑞典),可持续发展: (瑞典)
2005-01,0,0,0,0,19
2005-02,0,11,0,0,26
2005-03,0,9,0,0,27
2005-04,0,11,0,0,26
2005-05,0,12,0,0,27
2005-06,0,0,0,0,18
2005-07,0,0,0,0,14
2005-08,0,0,0,0,17
2005-09,0,0,0,0,30
2005-10,0,12,0,0,31
2005-11,0,14,0,0,26
2005-12,0,9,0,0,30
2006-01,0,0,0,0,26
2006-02,0,10,0,0,25
2006-03,0,10,0,0,33
2006-04,0,10,0,0,22
2006-05,0,8,0,0,31
2006-06,0,0,0,0,20
2006-07,0,0,0,0,19
2006-08,0,0,0,0,22
2006-09,0,7,0,0,26
2006-10,0,10,0,0,28
2006-11,0,10,0,0,30
2006-12,0,8,0,0,32
2007-01,0,7,0,0,30
2007-02,0,8,0,0,26
2007-03,0,11,0,0,29
2007-04,0,12,0,0,26
2007-05,0,8,0,0,31
2007-06,0,8,0,0,23
2007-07,0,11,0,0,17
2007-08,0,8,0,0,22
2007-09,0,11,0,0,32
2007-10,0,12,0,2,33
2007-11,0,14,0,0,37
2007-12,0,10,0,0,30
2008-01,0,12,0,0,31
2008-02,0,12,0,0,34
2008-03,0,13,0,0,32
2008-04,0,15,0,0,36
2008-05,0,15,0,0,34
2008-06,0,9,0,0,22
2008-07,0,6,0,0,19
2008-08,0,11,0,0,25
2008-09,0,17,0,0,35
2008-10,0,15,0,0,36
2008-11,0,19,0,0,36
2008-12,0,11,0,0,40
2009-01,0,13,0,0,33
2009-02,0,18,0,0,34
2009-03,2,13,0,0,39
2009-04,0,14,0,0,39
2009-05,0,18,0,2,40
2009-06,0,10,0,0,29
2009-07,2,6,0,0,25
2009-08,0,9,0,0,32
2009-09,0,14,0,0,44
2009-10,0,15,0,0,38
2009-11,0,15,1,0,51
2009-12,0,10,0,0,47
2010-01,0,11,0,0,40
2010-02,1,14,0,0,44
2010-03,0,15,0,0,44
2010-04,0,15,0,0,43
2010-05,1,14,0,0,45
2010-06,0,11,0,0,35
2010-07,0,9,0,0,28
2010-08,0,9,0,0,35
2010-09,2,16,0,0,44
2010-10,0,16,0,0,43
2010-11,1,16,0,0,41
2010-12,0,13,0,0,51
2011-01,0,14,0,0,46
2011-02,2,15,0,0,43
2011-03,1,17,0,0,42
2011-04,0,15,0,0,47
2011-05,0,16,0,1,46
2011-06,0,8,0,0,39
2011-07,0,6,0,0,33
2011-08,1,8,0,0,42
2011-09,3,16,0,0,46
2011-10,0,16,0,0,49
2011-11,0,15,0,0,47
2011-12,0,13,0,0,56
