类别：所有类别

月份,环境、社会和公司治理: (泰国),企业社会责任: (泰国),Impact investing: (泰国),社會責任投資: (泰国),可持续发展: (泰国)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,41
2005-03,0,0,0,0,60
2005-04,0,0,0,0,0
2005-05,0,0,0,0,31
2005-06,0,0,0,0,58
2005-07,0,0,0,0,55
2005-08,0,0,0,0,48
2005-09,0,0,0,0,49
2005-10,0,0,0,0,42
2005-11,0,0,0,0,48
2005-12,0,0,0,0,41
2006-01,0,0,0,0,50
2006-02,0,0,0,0,46
2006-03,0,27,0,0,35
2006-04,0,0,0,0,34
2006-05,0,35,0,0,34
2006-06,0,18,0,0,45
2006-07,0,0,0,0,37
2006-08,0,20,0,0,27
2006-09,0,22,0,0,41
2006-10,0,32,0,0,39
2006-11,0,29,0,0,40
2006-12,0,27,0,0,21
2007-01,0,37,0,0,53
2007-02,0,28,0,0,28
2007-03,0,29,0,0,16
2007-04,0,32,0,0,22
2007-05,0,37,0,0,13
2007-06,0,54,0,0,27
2007-07,0,52,0,0,31
2007-08,0,49,0,0,30
2007-09,7,51,0,0,38
2007-10,0,46,0,0,34
2007-11,0,61,0,0,29
2007-12,0,44,0,0,21
2008-01,0,58,0,0,29
2008-02,0,71,0,0,25
2008-03,0,49,0,0,19
2008-04,0,70,0,0,17
2008-05,0,58,0,0,14
2008-06,0,66,0,0,28
2008-07,0,74,0,0,24
2008-08,0,66,0,0,26
2008-09,0,81,0,0,32
2008-10,0,58,0,0,15
2008-11,0,59,0,0,18
2008-12,0,66,0,0,23
2009-01,0,74,0,0,23
2009-02,0,90,0,0,22
2009-03,0,67,0,0,16
2009-04,0,47,0,0,13
2009-05,0,57,0,0,11
2009-06,0,86,0,0,21
2009-07,0,77,0,0,19
2009-08,0,76,0,0,24
2009-09,0,91,0,0,29
2009-10,0,63,0,0,19
2009-11,0,83,0,0,22
2009-12,0,62,0,0,13
2010-01,0,79,0,0,22
2010-02,0,85,0,0,16
2010-03,0,60,0,0,14
2010-04,0,56,0,0,12
2010-05,0,52,0,0,10
2010-06,0,81,0,0,24
2010-07,0,90,0,0,18
2010-08,0,80,0,0,21
2010-09,0,88,0,0,33
2010-10,0,62,0,0,15
2010-11,0,86,0,0,23
2010-12,0,60,0,0,16
2011-01,0,56,0,0,24
2011-02,0,65,0,0,23
2011-03,0,49,0,0,10
2011-04,0,43,0,0,8
2011-05,0,43,0,0,11
2011-06,0,58,0,0,12
2011-07,0,53,0,0,11
2011-08,0,56,0,0,20
2011-09,0,55,0,0,24
2011-10,0,41,0,0,12
2011-11,0,38,0,0,18
2011-12,0,35,0,0,16
2012-01,0,46,0,0,20
2012-02,0,46,0,0,21
2012-03,0,44,0,0,11
2012-04,0,33,0,0,7
2012-05,0,42,0,0,7
2012-06,0,43,0,0,13
2012-07,0,56,0,0,14
2012-08,0,48,0,0,14
2012-09,0,54,0,0,18
2012-10,1,38,0,0,10
2012-11,0,44,0,0,13
2012-12,0,38,0,0,9
2013-01,1,41,0,0,14
2013-02,0,49,0,0,17
2013-03,0,38,0,0,7
2013-04,1,36,0,0,6
2013-05,0,39,0,0,6
2013-06,0,46,0,0,9
2013-07,0,51,0,0,8
2013-08,1,48,0,0,12
2013-09,0,54,0,0,16
2013-10,0,40,0,0,10
2013-11,1,43,0,0,12
2013-12,2,36,0,0,11
2014-01,1,47,0,0,11
2014-02,1,45,0,0,13
2014-03,1,39,0,0,10
2014-04,1,30,0,0,6
2014-05,1,31,0,0,6
2014-06,1,35,0,0,7
2014-07,1,35,0,0,7
2014-08,2,40,0,0,10
2014-09,1,49,0,0,11
2014-10,2,44,0,0,11
2014-11,2,46,0,0,13
2014-12,1,33,0,1,9
2015-01,1,38,0,0,9
2015-02,1,43,0,0,12
2015-03,1,37,0,0,9
2015-04,1,38,0,0,8
2015-05,1,36,0,0,8
2015-06,1,32,0,0,7
2015-07,1,36,0,0,9
2015-08,1,33,0,0,11
2015-09,1,48,0,0,14
2015-10,1,38,0,0,11
2015-11,1,47,0,0,15
2015-12,1,34,0,0,11
2016-01,1,31,0,0,11
2016-02,1,44,0,0,14
2016-03,1,38,0,0,11
2016-04,1,39,0,0,9
2016-05,1,38,0,0,10
2016-06,1,34,0,0,11
2016-07,1,29,0,0,10
2016-08,1,37,0,0,13
2016-09,2,44,0,0,14
2016-10,1,38,0,0,12
2016-11,0,58,0,0,14
2016-12,0,30,0,0,12
2017-01,0,39,0,0,13
2017-02,1,48,0,0,15
2017-03,0,54,0,0,15
2017-04,1,44,0,0,11
2017-05,1,42,0,1,10
2017-06,1,41,0,0,10
2017-07,1,43,0,0,12
2017-08,0,47,0,0,12
2017-09,1,53,0,0,14
2017-10,0,47,0,0,12
2017-11,0,55,0,0,14
2017-12,0,38,0,0,12
2018-01,0,44,0,0,13
2018-02,1,49,0,0,14
2018-03,0,44,0,0,14
2018-04,0,33,0,0,12
2018-05,0,35,0,0,11
2018-06,1,35,0,0,9
2018-07,1,34,0,0,11
2018-08,1,40,0,1,14
2018-09,1,46,0,0,16
2018-10,1,40,0,0,12
2018-11,1,43,1,0,13
2018-12,1,30,0,0,10
2019-01,2,35,0,1,13
2019-02,2,39,0,1,14
2019-03,2,34,1,1,13
2019-04,2,31,1,1,9
2019-05,2,32,1,1,9
2019-06,2,36,0,2,11
2019-07,3,36,1,1,12
2019-08,3,43,1,2,13
2019-09,4,49,1,2,13
2019-10,4,36,2,2,10
2019-11,5,38,1,2,10
2019-12,5,25,1,3,10
2020-01,5,33,1,4,13
2020-02,5,33,1,3,14
2020-03,5,31,2,4,11
2020-04,6,26,2,3,8
2020-05,3,19,1,3,7
2020-06,5,22,2,4,8
2020-07,5,29,1,3,9
2020-08,5,31,2,3,13
2020-09,6,33,2,3,13
2020-10,4,36,1,2,14
2020-11,6,30,1,1,12
2020-12,5,23,0,1,9
2021-01,6,25,0,0,10
2021-02,6,26,1,1,12
2021-03,7,29,1,3,14
2021-04,7,20,1,1,8
2021-05,8,23,1,2,10
2021-06,9,20,1,2,12
2021-07,9,22,2,2,13
2021-08,8,23,1,2,23
2021-09,13,25,2,2,23
2021-10,11,24,1,1,23
2021-11,13,24,1,1,23
2021-12,9,20,0,1,25
2022-01,12,30,1,1,39
2022-02,14,36,0,1,58
2022-03,13,34,<1,1,45
2022-04,12,33,0,1,23
2022-05,12,29,1,1,21
2022-06,12,33,1,1,26
2022-07,13,33,0,0,30
2022-08,13,37,0,0,35
2022-09,17,37,0,1,42
2022-10,17,30,0,1,26
2022-11,18,31,0,1,29
2022-12,14,26,0,1,26
2023-01,18,29,1,1,33
2023-02,21,35,0,1,42
2023-03,18,30,0,1,34
2023-04,15,22,0,0,17
2023-05,17,28,0,<1,17
2023-06,20,32,0,0,17
2023-07,22,31,0,0,23
2023-08,23,36,0,0,25
2023-09,27,37,0,0,31
2023-10,25,30,0,<1,22
2023-11,43,31,0,1,20
2023-12,76,25,0,1,18
2024-01,35,35,0,0,23
2024-02,37,38,0,0,27
2024-03,36,33,0,0,25
2024-04,29,29,0,0,17
2024-05,33,32,0,0,21
2024-06,37,33,0,1,23
2024-07,46,36,1,1,29
2024-08,49,38,0,0,28
2024-09,58,40,0,1,27
2024-10,55,34,0,0,21
2024-11,67,31,0,1,26
2024-12,100,27,0,0,20
2025-01,44,30,0,1,25
2025-02,44,32,0,0,28
2025-03,57,30,<1,<1,23
