类别：所有类别

月份,环境、社会和公司治理: (土耳其),企业社会责任: (土耳其),Impact investing: (土耳其),社會責任投資: (土耳其),可持续发展: (土耳其)
2005-01,0,0,0,0,100
2005-02,0,0,0,0,0
2005-03,0,59,0,0,0
2005-04,0,64,0,0,0
2005-05,0,60,0,0,70
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,49
2005-11,0,39,0,0,66
2005-12,0,64,0,0,46
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,38,0,0,29
2006-04,0,38,0,0,31
2006-05,0,39,0,0,35
2006-06,0,35,0,0,27
2006-07,0,0,0,0,0
2006-08,0,26,0,0,31
2006-09,0,0,0,0,0
2006-10,0,40,0,0,0
2006-11,0,38,0,0,32
2006-12,0,32,0,0,16
2007-01,0,20,0,0,28
2007-02,0,22,0,0,17
2007-03,0,40,0,0,24
2007-04,0,19,0,0,19
2007-05,0,21,0,0,23
2007-06,0,18,0,0,13
2007-07,0,17,0,0,12
2007-08,0,16,0,0,10
2007-09,0,18,0,0,12
2007-10,0,21,0,0,10
2007-11,0,35,0,0,17
2007-12,0,41,0,0,16
2008-01,0,37,0,0,18
2008-02,0,21,0,0,0
2008-03,0,29,0,0,14
2008-04,0,27,0,0,14
2008-05,0,26,0,0,19
2008-06,0,29,0,0,11
2008-07,0,21,0,0,0
2008-08,0,29,0,0,9
2008-09,0,29,0,0,10
2008-10,0,36,0,0,10
2008-11,0,26,0,9,13
2008-12,0,30,0,0,10
2009-01,0,24,0,0,0
2009-02,0,18,0,0,0
2009-03,0,26,0,0,13
2009-04,0,29,0,0,16
2009-05,0,30,0,0,16
2009-06,0,24,0,0,0
2009-07,0,25,0,0,0
2009-08,7,19,0,0,9
2009-09,0,17,0,0,0
2009-10,0,27,0,0,15
2009-11,0,35,0,0,13
2009-12,0,32,0,0,12
2010-01,0,30,0,0,6
2010-02,0,28,0,0,0
2010-03,0,28,0,6,11
2010-04,0,22,0,0,12
2010-05,0,27,0,0,19
2010-06,0,14,0,0,7
2010-07,0,17,0,0,0
2010-08,0,12,0,0,0
2010-09,0,17,0,0,6
2010-10,0,23,0,0,11
2010-11,0,24,0,0,9
2010-12,0,27,0,0,12
2011-01,0,16,0,0,9
2011-02,0,19,0,0,8
2011-03,0,19,0,0,9
2011-04,3,15,0,0,10
2011-05,0,20,0,0,10
2011-06,0,14,0,0,6
2011-07,0,15,0,0,6
