类别：所有类别

月份,环境、社会和公司治理: (阿拉伯联合酋长国),企业社会责任: (阿拉伯联合酋长国),Impact investing: (阿拉伯联合酋长国),社會責任投資: (阿拉伯联合酋长国),可持续发展: (阿拉伯联合酋长国)
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,47,0,0,0
2007-04,0,46,0,0,0
2007-05,0,54,0,0,0
2007-06,0,67,0,0,0
2007-07,0,48,0,0,0
2007-08,0,0,0,0,0
2007-09,0,38,0,0,0
2007-10,0,55,0,0,0
2007-11,0,63,0,0,0
2007-12,0,50,0,0,0
2008-01,0,63,0,0,0
2008-02,0,60,0,0,0
2008-03,0,45,0,0,31
2008-04,0,50,0,0,0
2008-05,0,79,0,0,0
2008-06,0,39,0,0,0
2008-07,0,46,0,0,0
2008-08,0,47,0,0,0
2008-09,0,49,0,0,0
2008-10,0,79,0,0,21
2008-11,0,64,0,0,0
2008-12,0,36,0,0,0
2009-01,0,37,0,0,0
2009-02,0,35,0,0,25
2009-03,0,27,0,0,23
2009-04,0,44,0,0,34
2009-05,0,58,0,0,0
2009-06,0,40,0,0,0
2009-07,0,33,0,0,0
2009-08,0,25,0,0,0
2009-09,0,39,0,0,0
2009-10,0,60,0,0,19
2009-11,0,66,0,0,17
2009-12,0,52,0,0,14
2010-01,0,36,0,0,14
2010-02,0,38,0,0,15
2010-03,0,41,0,0,35
2010-04,0,56,0,0,21
2010-05,0,57,0,0,26
2010-06,0,27,0,0,19
2010-07,0,24,0,0,0
2010-08,0,33,0,0,0
2010-09,0,37,0,0,18
2010-10,0,49,0,0,24
2010-11,0,26,0,0,24
2010-12,0,39,0,0,0
2011-01,0,29,0,0,22
2011-02,0,41,0,0,21
2011-03,0,50,0,0,0
2011-04,0,56,0,0,27
2011-05,0,56,0,0,31
2011-06,0,41,0,0,12
2011-07,0,27,0,0,0
2011-08,0,24,0,0,12
2011-09,0,28,0,0,15
2011-10,0,49,0,0,26
2011-11,0,36,0,0,14
2011-12,0,46,0,0,9
2012-01,0,49,0,0,18
2012-02,0,42,0,0,17
2012-03,0,40,0,0,17
2012-04,0,47,0,0,20
2012-05,6,46,0,0,29
2012-06,0,41,0,0,16
2012-07,0,36,0,0,7
2012-08,0,31,0,0,8
2012-09,0,42,0,0,13
2012-10,0,52,0,0,13
2012-11,0,54,0,0,14
2012-12,0,40,0,0,11
2013-01,0,49,0,0,16
2013-02,0,47,0,0,15
2013-03,0,52,0,0,14
2013-04,0,40,0,0,15
2013-05,0,51,0,4,20
2013-06,0,38,0,0,10
2013-07,0,35,0,0,10
2013-08,0,27,0,0,5
2013-09,0,45,0,0,11
2013-10,0,50,0,0,12
2013-11,0,56,0,0,16
2013-12,0,47,0,0,9
2014-01,0,44,0,0,12
2014-02,0,47,0,0,14
2014-03,0,56,0,0,13
2014-04,0,51,0,0,17
2014-05,0,50,0,0,19
2014-06,0,46,0,0,12
2014-07,0,36,0,0,5
2014-08,0,33,0,0,0
2014-09,0,48,0,0,13
2014-10,0,42,0,0,13
2014-11,0,45,0,0,18
2014-12,0,43,0,0,15
2015-01,0,38,0,0,11
2015-02,0,49,0,0,15
2015-03,0,54,0,0,16
2015-04,0,52,0,0,17
2015-05,4,48,0,0,27
2015-06,0,43,0,0,17
2015-07,0,28,0,0,7
2015-08,0,26,0,0,6
2015-09,0,38,0,0,22
2015-10,0,44,0,0,24
2015-11,4,45,0,0,24
2015-12,0,35,0,0,11
2016-01,0,33,3,0,12
2016-02,0,38,0,0,16
2016-03,3,41,0,0,12
2016-04,4,44,0,0,29
2016-05,0,42,0,0,28
2016-06,4,35,0,0,17
2016-07,0,27,0,0,9
2016-08,0,31,0,0,9
2016-09,0,37,0,0,15
2016-10,0,43,0,0,32
2016-11,3,44,0,0,35
2016-12,0,35,0,0,16
2017-01,0,44,0,0,37
2017-02,3,47,0,0,35
2017-03,0,41,0,0,27
2017-04,4,45,0,0,46
2017-05,0,39,0,0,50
2017-06,0,46,0,0,16
2017-07,3,32,0,0,11
2017-08,0,33,0,0,14
2017-09,0,37,0,0,26
2017-10,0,45,0,0,27
2017-11,3,41,0,0,27
2017-12,0,30,0,0,19
2018-01,3,39,0,0,57
2018-02,4,50,0,0,48
2018-03,0,50,0,0,30
2018-04,0,54,0,0,38
2018-05,0,42,0,0,35
2018-06,0,31,0,0,18
2018-07,0,39,0,0,18
2018-08,0,30,0,0,17
2018-09,0,39,0,0,27
2018-10,4,44,0,0,41
2018-11,4,40,0,0,35
2018-12,0,32,0,0,18
2019-01,3,35,0,0,43
2019-02,0,41,0,0,47
2019-03,3,32,0,0,37
2019-04,3,47,0,3,32
2019-05,5,37,0,4,26
2019-06,3,29,0,0,25
2019-07,5,33,0,3,23
2019-08,4,30,0,0,24
2019-09,4,39,0,0,32
2019-10,5,41,0,0,28
2019-11,5,42,0,0,30
2019-12,8,31,0,0,17
2020-01,9,34,0,2,47
2020-02,10,35,0,2,45
2020-03,5,32,0,0,36
2020-04,9,36,0,3,41
2020-05,7,30,0,4,37
2020-06,10,38,0,4,30
2020-07,9,26,0,3,20
2020-08,8,24,0,3,20
2020-09,15,36,0,0,30
2020-10,12,40,0,4,34
2020-11,13,35,0,0,37
2020-12,15,31,0,0,23
2021-01,17,34,0,3,83
2021-02,17,31,0,0,74
2021-03,20,35,0,0,71
2021-04,21,28,0,0,36
2021-05,22,33,0,0,39
2021-06,27,36,0,0,33
2021-07,23,21,0,2,21
2021-08,20,23,0,0,41
2021-09,31,29,0,4,41
2021-10,26,35,2,3,40
2021-11,29,30,0,0,39
2021-12,23,26,0,0,21
2022-01,36,32,0,0,100
2022-02,36,32,0,0,87
2022-03,39,41,2,0,48
2022-04,37,38,0,3,40
2022-05,35,26,0,0,49
2022-06,38,37,0,0,40
2022-07,31,27,0,0,27
2022-08,31,29,0,0,40
2022-09,38,32,0,0,48
2022-10,38,36,0,2,45
2022-11,38,44,0,0,45
2022-12,37,28,0,0,22
2023-01,46,31,0,0,90
2023-02,46,30,0,0,78
2023-03,40,34,0,2,36
2023-04,36,33,0,0,36
2023-05,47,31,0,0,53
2023-06,39,27,0,2,37
2023-07,39,23,0,0,23
2023-08,44,26,0,0,37
2023-09,46,32,0,3,44
2023-10,41,35,0,2,50
2023-11,47,35,0,3,50
2023-12,44,27,0,0,28
2024-01,42,31,0,0,83
2024-02,48,38,2,0,68
2024-03,42,31,2,0,35
2024-04,39,28,0,2,39
2024-05,45,32,0,0,42
2024-06,37,32,0,0,32
2024-07,40,27,0,2,26
2024-08,39,23,0,0,35
2024-09,46,32,0,3,44
2024-10,44,34,0,3,40
2024-11,39,32,0,0,42
2024-12,35,26,0,0,20
2025-01,41,26,0,3,69
2025-02,37,30,0,0,55
2025-03,36,24,1,1,24
