类别：所有类别

月份,环境、社会和公司治理: (英国),企业社会责任: (英国),Impact investing: (英国),社會責任投資: (英国),可持续发展: (英国)
2005-01,10,64,0,5,69
2005-02,11,87,0,0,73
2005-03,12,77,0,0,73
2005-04,8,85,0,0,75
2005-05,7,81,0,0,68
2005-06,8,55,0,4,44
2005-07,5,52,0,0,48
2005-08,5,63,0,0,42
2005-09,5,55,0,0,46
2005-10,7,65,0,0,54
2005-11,3,76,0,4,71
2005-12,4,56,0,3,46
2006-01,4,63,0,3,54
2006-02,0,77,0,3,55
2006-03,5,83,0,3,60
2006-04,4,75,0,0,47
2006-05,3,77,0,0,58
2006-06,5,57,0,0,43
2006-07,4,56,0,0,33
2006-08,5,56,0,0,30
2006-09,0,54,0,2,31
2006-10,5,62,0,2,48
2006-11,7,74,0,0,51
2006-12,5,56,0,0,38
2007-01,4,67,0,2,47
2007-02,4,73,0,3,43
2007-03,2,72,0,2,53
2007-04,6,70,0,2,40
2007-05,5,80,0,3,40
2007-06,5,57,0,3,37
2007-07,6,57,0,2,30
2007-08,4,55,0,3,28
2007-09,4,56,0,3,29
2007-10,4,75,0,3,45
2007-11,5,78,0,2,44
2007-12,3,60,0,4,38
2008-01,4,71,0,2,41
2008-02,4,71,0,2,43
2008-03,4,82,0,2,42
2008-04,4,76,0,3,47
2008-05,4,72,0,3,46
2008-06,5,51,0,2,40
2008-07,5,52,0,2,31
2008-08,4,52,0,2,31
2008-09,4,50,0,2,36
2008-10,5,58,0,1,48
2008-11,4,63,0,3,45
2008-12,4,48,0,2,34
2009-01,5,60,0,2,39
2009-02,4,61,0,2,41
2009-03,7,63,0,2,51
2009-04,6,63,0,2,49
2009-05,4,60,0,2,51
2009-06,5,51,0,2,40
2009-07,5,47,0,2,29
2009-08,4,43,0,3,33
2009-09,5,45,0,2,40
2009-10,4,55,0,2,47
2009-11,5,68,0,3,53
2009-12,4,52,0,1,39
2010-01,6,57,0,2,39
2010-02,6,63,0,2,48
2010-03,7,68,0,2,49
2010-04,5,66,0,3,48
2010-05,5,69,0,3,52
2010-06,7,50,1,2,37
2010-07,7,44,0,2,27
2010-08,6,46,0,2,30
2010-09,8,53,0,3,38
2010-10,7,93,0,3,42
2010-11,7,80,0,2,49
2010-12,6,51,0,2,31
2011-01,7,65,0,2,28
2011-02,8,81,0,3,29
2011-03,8,94,1,3,34
2011-04,8,77,0,3,24
2011-05,8,80,1,3,27
2011-06,7,70,1,2,21
2011-07,8,50,1,3,15
2011-08,6,52,1,2,14
2011-09,7,49,1,3,18
2011-10,7,60,1,3,25
2011-11,7,73,1,3,27
2011-12,6,56,0,2,18
2012-01,6,57,1,2,24
2012-02,8,68,1,3,25
2012-03,7,73,1,4,26
2012-04,7,65,1,2,22
2012-05,8,67,1,3,24
2012-06,7,43,<1,2,16
2012-07,8,54,1,2,13
2012-08,7,49,1,2,12
2012-09,6,48,1,2,13
2012-10,7,57,1,2,20
2012-11,6,69,1,3,23
2012-12,5,48,1,1,15
2013-01,7,57,1,2,18
2013-02,9,62,1,4,19
2013-03,7,66,1,3,21
2013-04,7,63,1,2,21
2013-05,7,69,1,3,19
2013-06,7,48,1,3,13
2013-07,8,48,1,3,9
2013-08,7,45,<1,2,8
2013-09,7,46,1,2,11
2013-10,8,57,1,2,17
2013-11,7,70,1,2,20
2013-12,6,54,1,2,14
2014-01,11,54,1,3,18
2014-02,8,61,1,3,17
2014-03,8,66,1,3,20
2014-04,8,64,1,3,16
2014-05,9,59,1,3,16
2014-06,11,51,1,4,12
2014-07,9,44,1,2,10
2014-08,8,49,1,3,8
2014-09,8,52,2,3,13
2014-10,9,61,2,4,15
2014-11,8,66,1,3,19
2014-12,7,53,1,3,14
2015-01,9,57,1,3,17
2015-02,9,59,2,4,16
2015-03,10,75,1,3,19
2015-04,9,65,1,3,17
2015-05,9,62,1,3,16
2015-06,9,52,1,3,13
2015-07,9,48,1,3,11
2015-08,8,45,1,2,10
2015-09,10,52,1,3,18
2015-10,9,60,1,3,20
2015-11,8,66,1,2,22
2015-12,7,53,1,2,14
2016-01,9,59,1,3,19
2016-02,10,70,2,3,20
2016-03,9,62,1,4,19
2016-04,10,69,2,3,20
2016-05,9,62,2,3,19
2016-06,9,52,2,3,13
2016-07,9,48,2,3,10
2016-08,9,48,2,2,9
2016-09,10,50,1,3,13
2016-10,10,61,2,3,16
2016-11,3,65,2,4,23
2016-12,2,55,1,3,17
2017-01,2,57,2,4,23
2017-02,3,65,3,4,23
2017-03,4,69,3,4,27
2017-04,4,63,2,4,22
