类别：所有类别

月份,环境、社会和公司治理: (美国),企业社会责任: (美国),Impact investing: (美国),社會責任投資: (美国),可持续发展: (美国)
2005-01,5,31,0,8,14
2005-02,5,38,0,8,15
2005-03,4,33,0,9,14
2005-04,4,35,0,9,17
2005-05,5,35,0,9,15
2005-06,5,30,0,7,11
2005-07,6,28,0,8,10
2005-08,4,29,0,7,12
2005-09,4,33,0,5,15
2005-10,4,34,0,6,16
2005-11,3,32,0,6,15
2005-12,4,28,0,5,12
2006-01,4,30,0,6,11
2006-02,6,33,0,7,14
2006-03,4,31,0,7,11
2006-04,4,33,0,7,14
2006-05,5,30,0,5,12
2006-06,7,29,0,6,9
2006-07,5,29,0,6,10
2006-08,5,27,0,4,9
2006-09,5,29,0,6,11
2006-10,5,34,0,6,13
2006-11,4,31,0,5,11
2006-12,4,25,0,6,9
2007-01,4,29,0,7,10
2007-02,4,33,0,6,11
2007-03,4,31,0,6,10
2007-04,4,33,0,7,11
2007-05,5,30,0,6,12
2007-06,5,30,0,7,9
2007-07,5,28,0,5,9
2007-08,4,29,0,5,10
2007-09,4,35,0,4,13
2007-10,4,35,0,5,14
2007-11,4,33,0,5,13
2007-12,4,27,0,4,11
2008-01,4,31,0,5,12
2008-02,4,37,0,5,13
2008-03,4,34,0,4,11
2008-04,5,37,0,5,15
2008-05,4,32,0,4,14
2008-06,5,32,0,4,12
2008-07,5,32,0,3,10
2008-08,5,31,0,4,12
2008-09,4,36,0,4,17
2008-10,4,38,0,4,17
2008-11,4,34,0,4,18
2008-12,4,30,0,2,12
2009-01,5,30,0,3,12
2009-02,4,37,0,3,17
2009-03,5,37,0,3,17
2009-04,4,36,0,3,17
2009-05,4,31,0,3,18
2009-06,5,33,0,2,17
2009-07,4,29,0,3,12
2009-08,4,29,0,3,16
2009-09,5,36,<1,3,21
2009-10,4,40,0,3,21
2009-11,3,38,<1,3,22
2009-12,4,30,0,3,14
2010-01,4,32,0,2,14
2010-02,4,38,0,3,17
2010-03,4,39,<1,3,18
2010-04,4,37,<1,3,21
2010-05,4,36,<1,3,22
2010-06,5,34,<1,3,17
2010-07,4,29,<1,2,11
2010-08,4,30,<1,2,15
2010-09,4,32,<1,2,19
2010-10,4,34,<1,2,20
2010-11,4,34,<1,3,21
2010-12,3,27,<1,2,13
2011-01,4,28,1,3,7
2011-02,5,34,1,3,8
2011-03,4,33,1,3,7
2011-04,4,33,1,3,8
2011-05,4,30,1,2,7
2011-06,4,30,1,2,6
2011-07,3,29,1,2,5
2011-08,4,27,1,2,5
2011-09,4,30,1,2,8
2011-10,4,31,1,2,7
2011-11,4,30,1,2,7
2011-12,4,27,1,1,6
2012-01,5,28,1,2,7
2012-02,5,31,1,2,8
2012-03,4,27,1,2,7
2012-04,4,34,1,2,8
2012-05,4,27,1,2,7
2012-06,4,26,1,2,6
2012-07,4,32,1,2,4
2012-08,4,26,1,2,5
2012-09,3,30,1,2,7
2012-10,4,33,1,1,8
2012-11,3,31,1,2,8
2012-12,3,24,1,1,6
2013-01,4,28,1,2,6
2013-02,4,32,1,2,7
2013-03,3,29,1,2,7
2013-04,4,40,1,2,8
2013-05,4,33,1,2,7
2013-06,3,31,1,1,5
2013-07,3,31,1,2,4
2013-08,4,28,1,2,5
2013-09,3,36,2,2,7
2013-10,3,36,2,2,8
2013-11,3,35,2,2,7
2013-12,3,29,1,2,7
2014-01,3,33,1,2,7
2014-02,4,37,1,2,8
2014-03,3,33,1,2,6
2014-04,4,37,2,2,8
2014-05,4,35,1,2,7
2014-06,4,32,2,2,5
2014-07,4,32,2,2,5
2014-08,4,30,1,1,5
2014-09,4,38,2,2,8
2014-10,4,41,2,2,8
2014-11,4,39,1,2,7
2014-12,3,29,1,2,7
2015-01,3,32,1,2,7
2015-02,4,39,2,2,8
2015-03,4,40,2,2,9
2015-04,4,40,2,2,9
2015-05,4,34,2,2,9
2015-06,5,36,2,2,6
2015-07,4,34,2,2,5
2015-08,4,31,1,2,6
2015-09,4,40,2,2,13
2015-10,4,41,2,2,12
2015-11,4,38,2,2,10
2015-12,4,32,2,2,8
2016-01,4,32,2,2,7
2016-02,5,38,2,2,8
2016-03,5,36,2,2,8
2016-04,4,38,2,2,9
2016-05,4,34,2,2,8
2016-06,5,33,2,2,5
2016-07,4,31,2,2,5
2016-08,4,31,2,1,5
2016-09,5,36,2,2,9
2016-10,5,38,2,2,8
2016-11,5,31,2,2,9
2016-12,4,27,2,2,8
2017-01,4,29,2,2,8
2017-02,5,40,3,2,10
2017-03,5,35,2,2,10
2017-04,5,37,3,2,10
2017-05,6,33,2,2,9
2017-06,6,31,2,2,7
2017-07,5,31,2,2,6
2017-08,6,30,2,2,7
2017-09,5,35,3,2,10
2017-10,6,42,3,2,10
2017-11,6,34,3,2,10
2017-12,5,26,2,2,8
2018-01,6,29,3,2,8
2018-02,7,38,3,2,10
2018-03,6,40,2,2,10
2018-04,7,36,3,3,11
2018-05,7,31,2,3,11
2018-06,7,31,2,3,7
2018-07,7,29,2,3,6
2018-08,7,28,2,3,8
2018-09,7,35,3,3,12
2018-10,8,34,3,3,10
2018-11,8,31,3,3,12
2018-12,6,27,2,2,10
2019-01,7,31,2,3,9
2019-02,9,36,3,4,12
2019-03,10,32,2,5,11
2019-04,10,34,3,5,13
2019-05,10,29,3,6,12
2019-06,10,30,2,4,7
2019-07,10,28,2,3,7
2019-08,9,26,2,3,8
2019-09,11,34,3,4,10
2019-10,12,34,3,4,9
2019-11,10,28,2,4,9
2019-12,10,26,2,4,8
2020-01,14,29,2,6,8
2020-02,15,32,2,7,9
2020-03,10,26,2,4,7
2020-04,11,27,2,4,9
2020-05,11,25,2,4,8
2020-06,16,27,2,6,6
2020-07,18,27,2,5,5
2020-08,16,26,2,4,6
2020-09,20,35,3,4,9
2020-10,19,29,2,3,9
2020-11,18,26,2,3,8
2020-12,18,22,2,3,7
2021-01,28,20,2,3,7
2021-02,28,30,2,3,8
2021-03,33,28,2,3,8
2021-04,35,30,2,4,9
2021-05,36,28,2,4,9
2021-06,39,29,2,3,6
2021-07,37,25,2,3,4
2021-08,33,27,2,3,7
2021-09,38,35,2,4,10
2021-10,43,33,2,4,10
2021-11,36,31,2,5,9
2021-12,34,25,2,3,7
2022-01,45,29,2,3,8
2022-02,61,36,2,3,10
2022-03,58,36,2,3,11
2022-04,59,38,2,3,15
2022-05,71,29,2,3,12
2022-06,60,30,2,2,7
2022-07,64,27,2,3,6
2022-08,56,28,2,2,8
2022-09,67,35,2,3,11
2022-10,63,36,2,3,11
2022-11,54,32,2,2,11
2022-12,54,31,2,2,9
2023-01,58,31,2,2,9
2023-02,74,39,2,2,11
2023-03,100,35,2,2,12
2023-04,59,34,2,2,12
2023-05,66,30,2,2,12
2023-06,78,29,2,2,8
2023-07,57,29,2,2,7
2023-08,54,28,2,2,8
2023-09,42,37,2,2,12
2023-10,44,37,2,2,12
2023-11,42,33,2,2,11
2023-12,35,28,2,2,10
2024-01,46,30,2,2,10
2024-02,41,38,3,2,12
2024-03,42,33,2,2,11
2024-04,39,35,2,3,14
2024-05,33,31,2,3,13
2024-06,32,36,2,2,8
2024-07,30,26,2,2,7
2024-08,32,26,2,3,8
2024-09,34,34,2,3,13
2024-10,31,33,2,2,13
2024-11,31,29,2,2,12
2024-12,26,31,2,3,11
2025-01,32,31,2,3,11
2025-02,34,37,3,3,14
2025-03,31,34,3,3,13
