Month,ESG,CSR,ImpactInvesting,SRI,SustainableDevelopment,Country
2004-01,0,61,0,0,17,Australia
2004-02,0,70,0,0,32,Australia
2004-03,0,75,0,0,52,Australia
2004-04,0,83,0,0,56,Australia
2004-05,0,77,0,0,66,Australia
2004-06,0,62,0,0,53,Australia
2004-07,0,78,0,0,30,Australia
2004-08,0,87,0,0,48,Australia
2004-09,0,77,0,0,50,Australia
2004-10,0,73,0,0,39,Australia
2004-11,0,82,0,0,37,Australia
2004-12,0,54,0,0,17,Australia
2005-01,0,58,0,0,24,Australia
2005-02,0,73,0,0,24,Australia
2005-03,0,87,0,0,41,Australia
2005-04,0,86,0,0,39,Australia
2005-05,0,90,0,9,49,Australia
2005-06,0,73,0,7,29,Australia
2005-07,0,75,0,0,19,Australia
2005-08,0,76,0,0,38,Australia
2005-09,0,87,0,6,42,Australia
2005-10,0,79,0,0,33,Australia
2005-11,0,77,0,0,27,Australia
2005-12,0,55,0,0,0,Australia
2006-01,0,68,0,0,17,Australia
2006-02,0,68,0,0,15,Australia
2006-03,0,72,0,0,38,Australia
2006-04,0,75,0,0,30,Australia
2006-05,0,87,0,0,35,Australia
2006-06,0,73,0,0,19,Australia
2006-07,0,73,0,0,15,Australia
2006-08,0,76,0,0,21,Australia
2006-09,0,89,0,0,24,Australia
2006-10,5,77,0,0,20,Australia
2006-11,0,69,0,4,19,Australia
2006-12,0,50,0,0,10,Australia
2007-01,0,60,0,0,12,Australia
2007-02,5,64,0,0,13,Australia
2007-03,0,68,0,0,25,Australia
2007-04,0,77,0,0,26,Australia
2007-05,0,87,0,3,30,Australia
2007-06,0,66,0,0,22,Australia
2007-07,0,64,0,0,13,Australia
2007-08,3,77,0,0,20,Australia
2007-09,0,100,0,5,22,Australia
2007-10,3,79,0,4,25,Australia
2007-11,0,67,0,3,17,Australia
2007-12,0,45,0,0,10,Australia
2008-01,0,59,0,3,8,Australia
2008-02,0,65,0,3,12,Australia
2008-03,0,69,0,5,20,Australia
2008-04,3,91,0,0,25,Australia
2008-05,0,89,0,4,24,Australia
2008-06,4,60,0,3,18,Australia
2008-07,3,64,0,0,12,Australia
2008-08,2,65,0,0,19,Australia
2008-09,0,85,0,3,21,Australia
2008-10,4,79,0,0,20,Australia
2008-11,0,61,0,0,16,Australia
2008-12,0,50,0,0,7,Australia
2009-01,3,51,0,0,12,Australia
2009-02,0,58,0,0,10,Australia
2009-03,5,62,0,0,20,Australia
2009-04,4,64,0,0,18,Australia
2009-05,4,68,0,0,20,Australia
2009-06,5,54,0,3,20,Australia
2009-07,5,55,0,0,11,Australia
2009-08,5,63,0,2,18,Australia
2009-09,5,69,0,2,18,Australia
2009-10,4,65,0,0,18,Australia
2009-11,6,51,0,0,14,Australia
2009-12,4,35,0,0,7,Australia
2010-01,3,47,0,0,10,Australia
2010-02,4,51,0,0,12,Australia
2010-03,4,59,0,2,17,Australia
2010-04,4,66,0,2,16,Australia
2010-05,5,72,0,3,18,Australia
2010-06,3,58,0,2,11,Australia
2010-07,2,51,0,0,9,Australia
2010-08,4,59,0,2,16,Australia
2010-09,5,63,0,2,14,Australia
2010-10,3,62,0,3,15,Australia
2010-11,5,51,0,2,11,Australia
2010-12,2,37,0,0,7,Australia
2011-01,4,38,0,1,6,Australia
2011-02,4,52,0,0,7,Australia
2011-03,3,58,0,2,14,Australia
2011-04,3,48,0,2,12,Australia
2011-05,3,61,0,2,17,Australia
2011-06,4,46,0,2,14,Australia
2011-07,5,41,0,2,10,Australia
2011-08,4,57,0,0,14,Australia
2011-09,2,57,0,2,16,Australia
2011-10,4,64,0,1,13,Australia
2011-11,3,44,0,1,11,Australia
2011-12,2,33,0,0,6,Australia
2012-01,2,35,0,2,7,Australia
2012-02,2,38,0,0,8,Australia
2012-03,2,50,0,2,15,Australia
2012-04,3,58,0,1,11,Australia
2012-05,3,62,0,2,17,Australia
2012-06,2,43,0,1,10,Australia
2012-07,2,44,0,1,9,Australia
2012-08,2,51,0,1,12,Australia
2012-09,2,52,0,1,14,Australia
2012-10,3,55,0,1,13,Australia
2012-11,3,44,0,1,8,Australia
2012-12,3,26,0,0,4,Australia
2013-01,5,30,0,1,5,Australia
2013-02,2,41,0,1,8,Australia
2013-03,2,44,0,1,13,Australia
2013-04,2,52,0,1,12,Australia
2013-05,2,52,0,2,14,Australia
2013-06,2,43,0,2,10,Australia
2013-07,2,38,1,2,8,Australia
2013-08,2,51,0,2,11,Australia
2013-09,2,48,0,1,11,Australia
2013-10,2,52,1,2,10,Australia
2013-11,2,42,0,2,8,Australia
2013-12,2,28,0,1,4,Australia
2014-01,2,33,1,1,4,Australia
2014-02,2,40,1,1,8,Australia
2014-03,2,45,1,1,10,Australia
2014-04,2,49,1,2,11,Australia
2014-05,3,53,1,2,13,Australia
2014-06,2,44,1,2,10,Australia
2014-07,3,40,1,3,8,Australia
2014-08,2,53,1,2,12,Australia
2014-09,2,55,2,1,10,Australia
2014-10,2,55,2,2,11,Australia
2014-11,2,46,2,1,8,Australia
2014-12,2,34,1,1,4,Australia
2015-01,2,36,1,2,5,Australia
2015-02,2,45,2,1,7,Australia
2015-03,3,58,3,2,12,Australia
2015-04,3,63,1,2,11,Australia
2015-05,2,67,2,2,13,Australia
2015-06,3,52,2,2,10,Australia
2015-07,4,40,3,1,8,Australia
2015-08,4,56,2,1,11,Australia
2015-09,4,62,3,2,13,Australia
2015-10,4,59,3,1,14,Australia
2015-11,4,52,2,2,11,Australia
2015-12,4,33,2,1,6,Australia
2016-01,3,34,2,2,5,Australia
2016-02,4,41,3,1,9,Australia
2016-03,4,55,3,1,12,Australia
2016-04,6,63,2,2,13,Australia
2016-05,4,71,2,2,15,Australia
2016-06,3,48,3,2,11,Australia
2016-07,4,39,2,2,9,Australia
2016-08,5,53,2,2,15,Australia
2016-09,6,62,2,2,14,Australia
2016-10,5,58,3,3,16,Australia
2016-11,3,36,3,3,13,Australia
2016-12,3,24,2,2,6,Australia
2017-01,2,27,2,2,7,Australia
2017-02,2,41,3,3,12,Australia
2017-03,2,55,3,3,17,Australia
2017-04,2,50,3,3,18,Australia
2017-05,5,56,3,3,20,Australia
2017-06,5,44,2,3,14,Australia
2017-07,4,38,2,3,12,Australia
2017-08,5,43,2,2,20,Australia
2017-09,5,51,4,2,17,Australia
2017-10,4,49,3,2,17,Australia
2017-11,5,46,4,2,14,Australia
2017-12,6,30,2,1,5,Australia
2018-01,4,32,2,2,7,Australia
2018-02,5,34,2,2,11,Australia
2018-03,5,51,2,3,19,Australia
2018-04,5,56,3,3,17,Australia
2018-05,6,63,3,4,21,Australia
2018-06,6,50,2,3,16,Australia
2018-07,5,41,3,4,14,Australia
2018-08,6,44,3,4,25,Australia
2018-09,6,37,2,3,19,Australia
2018-10,5,33,3,4,20,Australia
2018-11,5,35,3,3,17,Australia
2018-12,4,34,2,3,8,Australia
2019-01,4,33,2,3,7,Australia
2019-02,6,48,1,4,14,Australia
2019-03,7,52,2,4,19,Australia
2019-04,6,54,2,6,18,Australia
2019-05,7,66,2,6,24,Australia
2019-06,6,53,2,3,17,Australia
2019-07,6,45,2,3,14,Australia
2019-08,6,46,2,3,21,Australia
2019-09,7,42,2,3,14,Australia
2019-10,8,41,3,3,13,Australia
2019-11,7,35,2,3,11,Australia
2019-12,6,21,1,3,6,Australia
2020-01,7,21,2,4,6,Australia
2020-02,10,28,2,5,9,Australia
2020-03,6,29,1,3,11,Australia
2020-04,6,32,1,3,11,Australia
2020-05,7,36,2,4,15,Australia
2020-06,10,34,2,4,12,Australia
2020-07,9,32,2,3,9,Australia
2020-08,11,30,1,3,13,Australia
2020-09,12,32,2,3,12,Australia
2020-10,11,30,1,3,14,Australia
2020-11,12,23,2,3,11,Australia
2020-12,9,16,1,2,5,Australia
2021-01,12,16,1,2,6,Australia
2021-02,15,21,2,2,8,Australia
2021-03,17,20,2,3,11,Australia
2021-04,17,19,1,2,11,Australia
2021-05,20,22,1,3,14,Australia
2021-06,22,18,1,3,8,Australia
2021-07,20,15,1,2,5,Australia
2021-08,21,21,2,2,14,Australia
2021-09,24,19,2,3,14,Australia
2021-10,24,19,2,2,15,Australia
2021-11,27,17,2,2,12,Australia
2021-12,17,11,1,2,5,Australia
2022-01,21,11,2,2,6,Australia
2022-02,33,22,2,3,12,Australia
2022-03,34,31,2,3,21,Australia
2022-04,35,27,2,3,22,Australia
2022-05,43,30,2,3,26,Australia
2022-06,38,25,2,2,17,Australia
2022-07,36,20,2,2,14,Australia
2022-08,44,31,2,3,26,Australia
2022-09,41,27,2,3,22,Australia
2022-10,42,27,2,3,22,Australia
2022-11,37,25,2,3,15,Australia
2022-12,26,14,2,2,7,Australia
2023-01,27,14,1,3,9,Australia
2023-02,36,25,2,2,14,Australia
2023-03,44,48,2,3,23,Australia
2023-04,39,41,2,2,20,Australia
2023-05,46,53,2,3,25,Australia
2023-06,42,38,2,3,18,Australia
2023-07,44,34,2,2,15,Australia
2023-08,44,40,2,2,24,Australia
2023-09,43,37,2,2,20,Australia
2023-10,39,43,2,2,19,Australia
2023-11,32,34,2,2,15,Australia
2023-12,24,18,1,1,7,Australia
2024-01,28,16,1,1,10,Australia
2024-02,36,26,2,3,14,Australia
2024-03,38,34,2,2,23,Australia
2024-04,37,34,2,3,21,Australia
2024-05,40,38,2,4,25,Australia
2024-06,33,33,2,3,15,Australia
2024-07,31,29,1,3,15,Australia
2024-08,34,32,2,3,21,Australia
2024-09,36,32,2,3,21,Australia
2024-10,36,34,2,3,20,Australia
2024-11,28,26,1,2,16,Australia
2024-12,18,17,1,1,9,Australia
2025-01,25,18,1,3,8,Australia
2025-02,29,22,2,3,17,Australia
2025-03,32,26,1,3,21,Australia
2004-01,0,0,0,0,35,Brazil
2004-02,0,0,0,0,66,Brazil
2004-03,0,12,0,0,84,Brazil
2004-04,0,12,0,0,75,Brazil
2004-05,0,10,0,0,80,Brazil
2004-06,0,11,0,0,80,Brazil
2004-07,0,0,0,0,51,Brazil
2004-08,0,8,0,0,76,Brazil
2004-09,0,9,0,0,87,Brazil
2004-10,0,8,0,0,82,Brazil
2004-11,4,7,0,0,100,Brazil
2004-12,0,5,0,0,50,Brazil
2005-01,0,0,0,0,25,Brazil
2005-02,0,7,0,0,41,Brazil
2005-03,0,5,0,0,75,Brazil
2005-04,0,8,0,0,72,Brazil
2005-05,3,6,0,0,84,Brazil
2005-06,3,7,0,0,88,Brazil
2005-07,0,5,0,0,35,Brazil
2005-08,4,5,0,0,66,Brazil
2005-09,2,7,0,0,70,Brazil
2005-10,0,7,0,0,65,Brazil
2005-11,3,8,0,0,74,Brazil
2005-12,3,6,0,0,39,Brazil
2006-01,3,3,0,0,23,Brazil
2006-02,2,6,0,0,37,Brazil
2006-03,2,6,0,0,61,Brazil
2006-04,2,8,0,0,58,Brazil
2006-05,2,7,0,0,60,Brazil
2006-06,0,9,0,0,54,Brazil
2006-07,2,4,0,0,26,Brazil
2006-08,3,6,0,0,50,Brazil
2006-09,3,6,0,0,49,Brazil
2006-10,3,8,0,0,48,Brazil
2006-11,2,6,0,0,57,Brazil
2006-12,1,5,0,0,25,Brazil
2007-01,1,4,0,0,15,Brazil
2007-02,1,4,0,0,34,Brazil
2007-03,2,8,0,0,55,Brazil
2007-04,2,6,0,0,52,Brazil
2007-05,2,6,0,0,61,Brazil
2007-06,1,6,0,0,61,Brazil
2007-07,2,5,0,0,32,Brazil
2007-08,2,6,0,0,59,Brazil
2007-09,1,6,0,0,62,Brazil
2007-10,1,6,0,0,57,Brazil
2007-11,2,6,0,0,62,Brazil
2007-12,2,5,0,0,26,Brazil
2008-01,2,3,0,0,20,Brazil
